TOPIC_CD,adam_param_code,SDTM_DOMAIN,activity,activity_instance,specimen,legacy_description,sub_domain_class,GENERAL_DOMAIN_CLASS
EGFR_CKD_EPI_SERUM,GFRES2,LB,"Glomerular Filtration Rate, Estimated",eGFR Using CKD-EPI Formula,SERUM,"This code can both be used as derived and as non-derived. Please, see definition for both below:_x000D_
The CKD-EPI equation, is (x indicates multiplication):_x000D_
GFR = 141 x min(Scr/kappa,1)alpha x max(Scr/kappa, 1) -1.209 x 0.993 Age x 1.018 [if female] X 1.159 [if Black or Afro-American], where Scr is serum creatinine (mg/dL), kappa is 0.7 for females and 0.9 for males, alpha is 0.329 for females and 0.411 for males, min indicates the minimum of Scr/kappa or 1, and max indicates the maximum of Scr/kappa or 1._x000D_
_x000D_
Code:C110935_x000D_
CDISC Code Value: GFRE_x000D_
CDISC Value Label: Glomerular Filtration Rate, Estimated_x000D_
CDISC synonym(s): Glomerular Filtration Rate, Estimated_x000D_
CDISC definition:  A kidney function test that estimates the fluid volume that is filtered from the kidney glomeruli to the Bowman's capsule per unit of time._x000D_
NCI preferred term: Estimated Glomerular Filtration Rate",NUMERIC FINDING,FINDINGS
ELEVATED_BLOOD_LEVELS_OF_PANCREATIC_ENZYMES,LEVELENZ,ZA,"Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL","Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL",,"Elevated blood levels of pancreatic enzymes (lipase, amylase) >/= 3xUNL",CATEGORIC FINDING,FINDINGS
ELIGIBILITY CRITERIA MET,ELICRIMT,DS,Eligibility Criteria Met,Subject Eligible to Continue the Trial,,"Having evaluated all the criteria, the subject is eligible to continue the trial",DISPOSITION,EVENTS
END_OF_TRIAL,EOT,DS,End of Study,End of Study,,End of Study,DISPOSITION,EVENTS
EOSINOPHIL_ABS_BLOOD,EOSB,LB,Eosinophils,Eosinophils Blood,BLOOD,"Eosinophils count in blood_x000D_
CDISC code: C64550_x000D_
CDISC submission value: EOS_x000D_
CDISC synonym(s): Eosinophils_x000D_
CDISC Description: A measurement of the eosinophils in a biological specimen._x000D_
NCI preferred term: Eosinophil Count",NUMERIC FINDING,FINDINGS
EOS_CELL_COUNT,EOS2,LB,Eosinophils,Eosinophils cell count (AE),,Eosinophils cell count,NUMERIC FINDING,FINDINGS
ERCS_BLOOD,RBCB,LB,Erythrocytes,Erythrocytes,BLOOD,"CDISC code: C51946_x000D_
CDISC submission value: RBC_x000D_
CDISC synonym(s): Erythrocytes; Red Blood Cells_x000D_
CDISC Description: A measurement of the total erythrocytes in a biological specimen._x000D_
NCI preferred term: Erythrocyte Count",NUMERIC FINDING,FINDINGS
ESTIMATED_GFR_EGFR,GFRE2,LB,"Glomerular Filtration Rate, Estimated","Glomerular Filtration Rate, Estimated",,"CDISC: C110935_x000D_
A kidney function test that estimates the fluid volume that is filtered from the kidney glomeruli to the Bowman's capsule per unit of time._x000D_
_x000D_
For Lab codes in AE Requiring Additional Data, there should be no SCATS",NUMERIC FINDING,FINDINGS
ETHNIC,ETHNIC,,Ethnicity,Ethnicity,,CDISC: Ethnicity of subject.,CATEGORIC FINDING,FINDINGS
EVALUATED EVENT ONSET DATE,EVALDATE,ZA,Evaluated Event Onset Date,Evaluated Event Onset Date,,Sponsor defined: Used for Event Adjudication,TEXTUAL FINDING,FINDINGS
EVENT_CONFIRMATION,EVENCONF,ZA,Event Confirmation,Event Confirmation,,"Confirmation of event: _x000D_
Full documentation for meeting criteria available in source documents_x000D_
or_x000D_
Full documentation for meeting criteria NOT available in source documents, medical judgment applied",CATEGORIC FINDING,FINDINGS
FIRST_TRIAL_PROD_DATE,FSTTRPDT,DS,First Date on Trial Product,First Date on Trial Product,,First date on trial product,DISPOSITION,EVENTS
FPG_PLASMA,FPG,LB,Glucose,Fasting Plasma Glucose,PLASMA,"CDISC code: C105585_x000D_
CDISC submission value: GLUC_x000D_
CDISC synonym(s): Glucose_x000D_
CDISC Description: A measurement of the glucose in a biological specimen._x000D_
NCI preferred term: Glucose Measurement",NUMERIC FINDING,FINDINGS
FSG_SERUM,FSG,LB,Glucose,Fasting Serum Glucose,SERUM,"Molecular Weight (MW): Copied from GLUCOSE_SERUM_x000D_
Fasting Serum Glucose._x000D_
CDISC code: GLUC (for generic code glucose)._x000D_",NUMERIC FINDING,FINDINGS
FSI_SERUM,FSI,LB,Insulin,Insulin Serum-Fasting,SERUM,Fasting insulin in serum.,NUMERIC FINDING,FINDINGS
GFRCKDEPI_SERUM,GFRES,LB,"Glomerular Filtration Rate, Estimated",Est. GFR Using CKD-EPI Formula in Serum,SERUM,"DO NOT USE_x000D_
_x000D_
Estimated GFR using CKD-EPI formula based on serum creatinine._x000D_
The CKD-EPI (Chronic Kidney Disease Epidemiology Collaboration) formula was published in May 2009. _x000D_
The CKD-EPI equation, expressed as a single equation, is:_x000D_
\mbox{eGFR} = \mbox{141}\ \times \ \mbox{min(SCr/k,1)}^{a} \ \times \ \mbox{max(SCr/k,1)}^{-1.209} \ \times \ \mbox{0.993}^{Age} \ \times \ {[1.018\ if\ Female]} \ \times \ {[1.159\ if\ Black]} \",NUMERIC FINDING,FINDINGS
GGT,GGT,LB,Gamma Glutamyl Transferase,Gamma Glutamyl Transferase,,"CDISC code:C64847_x000D_
CDISC submission value: GGT_x000D_
CDISC synonym(s): Gamma Glutamyl Transferase_x000D_
CDISC definition: A measurement of the gamma glutamyl transferase in a biological specimen._x000D_
NCI preferred term: Gamma Glutamyl Transpeptidase Measurement",NUMERIC FINDING,FINDINGS
GGT_SERUM,GGTS,LB,Gamma Glutamyl Transferase,GGT,SERUM,"CDISC code:C64847_x000D_
CDISC submission value: GGT_x000D_
CDISC synonym(s): Gamma Glutamyl Transferase_x000D_
CDISC definition: A measurement of the gamma glutamyl transferase in a biological specimen._x000D_
NCI preferred term: Gamma Glutamyl Transpeptidase Measurement",NUMERIC FINDING,FINDINGS
GLUCAGON_PLASMA,GLUCANP,LB,Glucagon,Glucagon,PLASMA,"CDISC code: C74859_x000D_
CDISC submission value: GLUCAGON_x000D_
CDISC synonym(s): Glucagon_x000D_
CDISC Description: A measurement of the glucagon hormone in a biological specimen._x000D_
NCI preferred term: Glucagon Measurement",NUMERIC FINDING,FINDINGS
GLUCAGON_SERUM,GLUCAGNS,LB,Glucagon,Serum Glucagon,SERUM,"CDISC code: C74859_x000D_
CDISC submission value: GLUCAGON_x000D_
CDISC synonym(s): Glucagon_x000D_
CDISC Description: A measurement of the glucagon hormone in a biological specimen._x000D_
NCI preferred term: Glucagon Measurement",NUMERIC FINDING,FINDINGS
GLUCOSE,GLUC05,LB,Glucose,Glucose,,A measurement of the glucose in a biological specimen._x000D_,NUMERIC FINDING,FINDINGS
GLUCOSE_BLOOD,GLUCB,LB,Glucose,Blood Glucose,BLOOD,"CDISC Submission value: GLUC_x000D_
CDISC synonym: Glucose_x000D_
CDISC code: C41376_x000D_
CDISC definition: A measurement of the glucose in a biological specimen._x000D_",NUMERIC FINDING,FINDINGS
GLUCOSE_C_URINE,GLUCU,LB,Glucose,Glucose Urine,URINE,"CDISC code: C105585_x000D_
CDISC submission value: GLUC_x000D_
CDISC synonym(s): Glucose_x000D_
CDISC Description: A measurement of the glucose in a biological specimen._x000D_
NCI preferred term: Glucose Measurement",CATEGORIC FINDING,FINDINGS
GLUCOSE_PLASMA,GLUCP,LB,Glucose,"Glucose, Plasma",PLASMA,"CDISC code: C105585_x000D_
CDISC submission value: GLUC_x000D_
CDISC synonym(s): Glucose_x000D_
CDISC Description: A measurement of the glucose in a biological specimen._x000D_
NCI preferred term: Glucose Measurement",NUMERIC FINDING,FINDINGS
GLUCOSE_SERUM,GLUCS,LB,Glucose,"Glucose, Serum",SERUM,"CDISC submission value: GLUC_x000D_
CDISC synonym: Glucose_x000D_
CDISC Code: C65047_x000D_
CDISC: A measurement of the glucose in a biological specimen._x000D_",NUMERIC FINDING,FINDINGS
GLUC_UR,GLUCU2,LB,Glucose,Glucose dipstick,URINE,Sponsordefined: The investigators evaluation of a measurement of the glucose in urine_x000D_,CATEGORIC FINDING,FINDINGS
HBA1C_BLOOD,HBA1CB,LB,HbA1c,HbA1c,BLOOD,"HbA1c in blood_x000D_
CDISC code: C64849_x000D_
CDISC submission value: HBA1C_x000D_
CDISC synonym(s): Hemoglobin A1C_x000D_
CDISC Description: A measurement of the glycosylated hemoglobin in a biological specimen._x000D_
NCI preferred term: Glycosylated Hemoglobin Measurement",NUMERIC FINDING,FINDINGS
HEART_FAILURE_CLASSIFICATION,HTFAILCL,ZA,Heart Failure Classification,Heart Failure Classification,,"Heart failure (HF) is routinely classified according to left ventricular ejection fraction (LVEF) as HF with reduced LVEF (HFrEF) or HF with preserved LVEF (HFpEF)._x000D_
Ponikowski P et al. Eur Heart J 2016; 37:2129-2200 is the one which defines HFrEF, HFmrEF and HFpEF. https://onlinelibrary.wiley.com/doi/full/10.1002/ejhf.592_x000D_
CDISC Definition: The percent or fraction of the left ventricular end diastolic volume ejected during systole that can be measured by visual estimation or calculation. _x000D_",CATEGORIC FINDING,FINDINGS
HEIGHT,HEIGHT,VS,Height,Height,,"CDISC code: C25347_x000D_
CDISC submission value: HEIGHT_x000D_
CDISC synonym(s): Height_x000D_
CDISC Description: The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension. (NCI)_x000D_
NCI preferred term: Height",NUMERIC FINDING,FINDINGS
HIP_CIRCUMFERENCE,HIPCIR,VS,Hip Circumference,Hip Circumference,,"CDISC code: C100947_x000D_
CDISC submission value: HIPCIR_x000D_
CDISC synonym(s): Hip Circumference_x000D_
CDISC definition:The distance around an individual's pelvic area or hips._x000D_
NCI preferred term: Hip Circumference",NUMERIC FINDING,FINDINGS
HOSPITALIZATION DATE,HOSPDT,HO,Hospitalisation,Hospitalisation,,Date of admission to hospital.,PERIODIC,EVENTS
HYPO_FEEL_BETTER,FEELBETT,ZA,Did the Subject Feel Better After the Treatment,Did the Subject Feel Better After the Treatment,,Event adjudication: Subject feel better after treatment,CATEGORIC FINDING,FINDINGS
INFORMED_CONSENT_DATE,INFCONDT,DS,Informed Consent Obtained,Informed Consent Obtained Date,,Date of informed consent obtained,DISPOSITION,EVENTS
INR,INR,LB,Prothrombin Intl. Normalized Ratio,International Normalized Ratio,,"Sponsor defined:_x000D_
International Normalized Ratio",NUMERIC FINDING,FINDINGS
INR_PLASMA,INRP,LB,Prothrombin Intl. Normalized Ratio,INR,PLASMA,"CDISC code:C64805_x000D_
CDISC Submission value: INR _x000D_
CDISC synonum(s): Prothrombin Intl. Normalized Ratio_x000D_
CDISC Description: A ratio that represents the prothrombin time for a plasma specimen, divided by the result for a control plasma specimen, further standardized for the International Sensitivity Index of the tissue factor(thromboplastin) used in the test._x000D_
CDISC Synonym(s): Prothrombin Intl. Normalized Ratio_x000D_
NCI preferred term: International Normalized Ratio of Prothrombin Time_x000D_",NUMERIC FINDING,FINDINGS
INSULIN_H_SERUM,INSULNS,LB,Insulin,Human Insulin,SERUM,"CDISC code: C74788_x000D_
CDISC submission value: INSULIN_x000D_
CDISC synonym(s): Insulin_x000D_
CDISC Description: A measurement of the insulin in a biological specimen._x000D_
NCI preferred term: Insulin Measurement",NUMERIC FINDING,FINDINGS
INSULIN_SERUM,INSULNS2,LB,Insulin,Insulin Serum,SERUM,"Molecular Weight (MW): Confirmed by CHHE, Maaloev, 06-06-2013_x000D_
CDISC code: C74788_x000D_
CDISC submission value: INSULIN_x000D_
CDISC synonym(s): Insulin_x000D_
CDISC Description: A measurement of the insulin in a biological specimen._x000D_
NCI preferred term: Insulin Measurement",NUMERIC FINDING,FINDINGS
LAST_TRIAL_PROD_DATE,LDRGDT,DS,Last Date on Trial Product,Last Date on Trial Product,,Last date on trial product,DISPOSITION,EVENTS
LEGAL OR AUTHORISED REPRESENTATIVE,LEGALCON,DS,Informed Consent Obtained,Legal or Authorised Representative,,Informed Consent obtained by legal or authorised representative_x000D_,DISPOSITION,EVENTS
LIPASET,LIPASET,LB,Lipase,Lipase,,A measurement of the total lipase in a biological specimen._x000D_,NUMERIC FINDING,FINDINGS
LIPASE_SERUM,LIPASETS,LB,Lipase,Lipase,SERUM,"New version:C117748_x000D_
OLD version_x000D_
CDISC code: C64807_x000D_
CDISC submission value: LIPASE_x000D_
CDISC synonym(s): Triacylglycerol Lipase_x000D_
CDISC Description: A measurement of the pancreatic lipase in a biological specimen._x000D_
NCI preferred term: Triacylglycerol Lipase Measurement",NUMERIC FINDING,FINDINGS
MEASURED_GFR_MGFR,GFR,LB,Glomerular Filtration Rate,Glomerular Filtration Rate,,"CDISC: C90505_x000D_
A kidney function test that measures the fluid volume that is filtered from the kidney glomeruli to the Bowman's capsule per unit of time._x000D_
_x000D_
For Lab codes in AE Requiring Additional Data, there should be no SCATS",NUMERIC FINDING,FINDINGS
MEDICAL_HISTORY,MEDHIST,MH,Medical History/Concomitant Illness,Medical History/Concomitant Illness,,Medical history/Concomitant illness,MEDICAL HISTORY,EVENTS
METHOD OF CORONARY REVASCULARISATION,METHOCRV,ZA,Method of Coronary Revascularisation,Method of Coronary Revascularisation,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
NITRITE,NITRITE,LB,Nitrite,Nitrite,,"CDISC: C64810_x000D_
A measurement of the nitrite in a urine specimen._x000D_
_x000D_
For Lab codes in AE Requiring Additional Data, there should be no SCATS",TEXTUAL FINDING,FINDINGS
NITRITE_C_URINE,NITRIEU,LB,Nitrite,Urine Nitrite,URINE,"NITRITE/ Urinalysis C_x000D_
CDISC Not Exact Match_x000D_
CDISC Submission Value: NITRITE_x000D_
CDISC Code: C65047 _x000D_
CDISC Synonyms: Nitrite_x000D_
CDISC - A measurement of the nitrite in a urine specimen._x000D_",CATEGORIC FINDING,FINDINGS
NITRITE_UR,NITRIEU2,LB,Nitrite,Nitrite,URINE,"Sponsordefined: The investigators evaluation of a measurement of the nitrite in a urine specimen._x000D_
_x000D_
CDISC Code: C64810_x000D_
CDISC Submission Value: NITRITE_x000D_
CDISC Synonym(s): Nitrite_x000D_
CDISC Definition: A measurement of the nitrite in a urine specimen._x000D_
NCI Preferred Term: Nitrite Measurement",CATEGORIC FINDING,FINDINGS
OTHER ADJUDICATED EVENT TYPE,OTADEVTY,ZA,Other Adjudicated Event Type,Other Adjudicated Event Type,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
OXYGEN_SATURATION,OXYSAT,VS,Oxygen Saturation,Oxygen Saturation,,"Oxygen saturation_x000D_
_x000D_
To be used for assessments by pulse oximetry (small clip on e.g. finger), not assessment based on blood sample.",NUMERIC FINDING,FINDINGS
PAIN01_02_HOW_WOULD_YOU_RATE_THE_PAIN_AT_ITS_WORST_IN_YOUR_TARGET_KNEE,PAIN0102,QS,Pain Rating - How Would You Rate the Pain at Its Worst in Your Target Knee,Pain Rating - How Would You Rate the Pain at Its Worst in Your Target Knee,,Pain Rating - How would you rate the pain at its worst in your target knee in the past 24 hours,CATEGORIC FINDING,FINDINGS
PANCREATITIS,PAN,CE,Pancreatitis,Pancreatitis,,AE Requiring Additional Data for Pancreatitis,PERIODIC,EVENTS
PANCREATITIS ABDOMINAL PAIN,PANABPN,FA,Significant Upper Abdominal Pain,Significant Upper Abdominal Pain,,Did the subject have significant upper abdominal pain ?,CATEGORIC FINDING,FINDINGS
PANCREATITIS ACUTE COMPLICATION,PANACOMP,FA,Any Acute Complications,Any Acute Complications,,Were any acute complications present during the course of the event?,CATEGORIC FINDING,FINDINGS
PANCREATITIS ACUTE OTHER IMAGING FINDING,PANCONOT,FA,Other Acute Pancreatitis Symptom,Other Acute Pancreatitis Symptom,,Other acute pancreatitis symptom,CATEGORIC FINDING,FINDINGS
PANCREATITIS ALCOHOL CONSUMPTION,PANALCON,FA,Risk Factor - Alcohol Consumption,Risk Factor - Alcohol Consumption,,Alcohol consumption,CATEGORIC FINDING,FINDINGS
PANCREATITIS ATROPHY OF THE PANCREAS,PANATROP,FA,Atrophy of the Pancreas,Atrophy of the Pancreas,,"CDISC Not Found: _x000D_
Sponsor defined: Atrophy of the pancreas",CATEGORIC FINDING,FINDINGS
PANCREATITIS CALCIFICATION OF PANCREAS,PANCALCI,FA,Calcification of Pancreas,Calcification of Pancreas,,Calcification of pancreas,CATEGORIC FINDING,FINDINGS
PANCREATITIS CHRONIC OTHER IMAGING FINDING,PANCHROT,FA,Other Chronic Pancreatitis Symptom,Other Chronic Pancreatitis Symptom,,Other chronic pancreatitis symptom,CATEGORIC FINDING,FINDINGS
PANCREATITIS CT SCAN,PANCT,FA,Imaging Method - CT Scan,Imaging Method - CT Scan,,Imaging method -  CT scan,CATEGORIC FINDING,FINDINGS
PANCREATITIS DILATATION OF PANCREATIC DUCTS,PANDILPD,FA,Dilatation of Pancreatic Ducts,Dilatation of Pancreatic Ducts,,Dilatation of pancreatic ducts,CATEGORIC FINDING,FINDINGS
PANCREATITIS DILATED COMMON BILE DUCT,PANDILDU,FA,Dilated Common Bile Duct,Dilated Common Bile Duct,,Dilated common bile duct,CATEGORIC FINDING,FINDINGS
PANCREATITIS FAMILY HISTORY OF PANCREATITIS,PANFHISP,FA,Risk Factor -Family Hist of Pancreatitis,Risk Factor -Family Hist of Pancreatitis,,Family history of pancreatitis,CATEGORIC FINDING,FINDINGS
PANCREATITIS FEVER,PANFEVER,FA,Fever as Symptom,Fever as Symptom,,Pancreatitis Signs/symptoms  - Fever,CATEGORIC FINDING,FINDINGS
PANCREATITIS GASTROINTESTINAL HAEMORRHAGE,PANGIHEM,FA,Acute Complications - GI Haemorrhage,Acute Complications - GI Haemorrhage,,"CDISC Not Found: _x000D_
Sponsor defined: Gastrointestinal haemorrhage",CATEGORIC FINDING,FINDINGS
PANCREATITIS HISTORY OF GALLSTONES,PANHGALS,FA,Risk Factor - History of Gallstones,Risk Factor - History of Gallstones,,History of gallstones,CATEGORIC FINDING,FINDINGS
PANCREATITIS HYPER-CALCAEMIA,PANHYCAL,FA,Risk factor - Hyper-Calcaemia,Risk factor - Hyper-Calcaemia,,Hyper-calcaemia,CATEGORIC FINDING,FINDINGS
PANCREATITIS HYPER-TRIGLYCERIDEMIA,PANHTGLY,FA,Risk Factor - Hyper-Triglyceridemia,Risk Factor - Hyper-Triglyceridemia,,Hyper-triglyceridemia,CATEGORIC FINDING,FINDINGS
PANCREATITIS IMAGE CONSISTENT WITH ACUTE PANCREATITIS,PANIACON,FA,Imaging Consistent with Acute Pan,Imaging Consistent with Acute Pan,,Was imaging consistent with acute pancreatitis?,CATEGORIC FINDING,FINDINGS
PANCREATITIS IMAGE CONSISTENT WITH CHRONIC PANCREATITIS,PANICCON,FA,Imaging Consistent with Chronic Pan,Imaging Consistent with Chronic Pan,,Was imaging consistent with chronic pancreatitis?,CATEGORIC FINDING,FINDINGS
PANCREATITIS IMAGE CONSISTENT WITH GALLSTONE,PANIGON2,FA,Imaging Consistent with Gallstone,Imaging Consistent with Gallstone,,Was imaging consistent with presence of gallstones?,CATEGORIC FINDING,FINDINGS
PANCREATITIS IMAGING PERFORMED,PANIMAPE,FA,Was Imaging Performed,Was Imaging Performed,,Was imaging performed in relation to pancreatitis?,CATEGORIC FINDING,FINDINGS
PANCREATITIS MRI,PANMRI,FA,Imaging Method - MRI,Imaging Method - MRI,,Imaging method - MRI,CATEGORIC FINDING,FINDINGS
PANCREATITIS NAUSEA,PANNASEA,FA,Nausea as Symptom,Nausea as Symptom,,Pancreatitis signs/symptoms  - Nausea,CATEGORIC FINDING,FINDINGS
PANCREATITIS NECROTISING,PANNECRP,FA,Necrotising Pancreatitis,Necrotising Pancreatitis,,Necrotising pancreatitis,CATEGORIC FINDING,FINDINGS
PANCREATITIS OBSTRUCTIVE GALL-STONE,PANOBSTR,FA,Obstructive Gall-Stone,Obstructive Gall-Stone,,Obstructive gall-stone,CATEGORIC FINDING,FINDINGS
PANCREATITIS OEDEMATOUS OR INTERSTITIAL PANCREATITIS,PANOEDIP,FA,Oedematous or Interstitial Pancreatitis,Oedematous or Interstitial Pancreatitis,,Oedematous or interstitial pancreatitis,CATEGORIC FINDING,FINDINGS
PANCREATITIS OTHER,PANIMAOT,FA,Imaging Method - Other,Imaging Method - Other,,Other imaging method,CATEGORIC FINDING,FINDINGS
PANCREATITIS OTHER COMPLIATION,PANACOOT,FA,Acute Complications - Other,Acute Complications - Other,,Other acute complication,CATEGORIC FINDING,FINDINGS
PANCREATITIS OTHER RISK,PANRISOT,FA,Risk Factor - Other,Risk Factor - Other,,Other risk/confounding factor,CATEGORIC FINDING,FINDINGS
PANCREATITIS OTHER SYMPTOM,PANSYOT,FA,Other Symptom,Other Symptom,,Pancreatitis signs/symptoms  - Other,CATEGORIC FINDING,FINDINGS
PANCREATITIS PERI-PANCREATIC FLUID,PANPERPF,FA,Peri-Pancreatic Fluid,Peri-Pancreatic Fluid,,Peri-pancreatic fluid,CATEGORIC FINDING,FINDINGS
PANCREATITIS PSEUDOCYSTS,PANPSEUD,FA,Pseudocysts,Pseudocysts,,Pseudocysts,CATEGORIC FINDING,FINDINGS
PANCREATITIS RENAL FAILURE REQUIRING DIALYSIS,PANRENFD,FA,Acute Complications - Renal Failure,Acute Complications - Renal Failure,,Renal failure requiring dialysis,CATEGORIC FINDING,FINDINGS
PANCREATITIS RESPIRATORY FAILURE REQUIRING VENTILATION,PANRESFV,FA,Acute Complications -Respiratory Failure,Acute Complications -Respiratory Failure,,Respiratory failure requiring ventilation,CATEGORIC FINDING,FINDINGS
PANCREATITIS RISK FACTORS,PANRRFAC,FA,Pancreatitis Risk factors,Pancreatitis Risk factors,,Were there any relevant risk/confounding factors identified?,CATEGORIC FINDING,FINDINGS
PANCREATITIS SEPSIS,PANSEPSI,FA,Acute Complications - Sepsis,Acute Complications - Sepsis,,Sepsis,CATEGORIC FINDING,FINDINGS
PANCREATITIS SYMPTOMS,PANSYMP,FA,Symptoms Present During Event,Symptoms Present During Event,,Were other signs/symptoms present during the course of the event?,CATEGORIC FINDING,FINDINGS
PANCREATITIS TRAUMA TO THE PANCREAS,PANTRUMA,FA,Risk factor - Trauma to the Pancreas,Risk factor - Trauma to the Pancreas,,Trauma to the pancreas (incl. endoscopic retrograde cholangiopancreatography (ERCP)),CATEGORIC FINDING,FINDINGS
PANCREATITIS TREATMENT,PANTRT,FA,Treatment Type,Treatment Type,,What treatment(s) did the subject receive for this condition?,CATEGORIC FINDING,FINDINGS
PANCREATITIS ULTRASOUND,PANULTRA,FA,Imaging method - Ultrasound,Imaging method - Ultrasound,,Imaging method - ultrasound.,CATEGORIC FINDING,FINDINGS
PANCREATITIS VOMITING,PANVOMIT,FA,Vomiting as Symptom,Vomiting as Symptom,,Pancreatitis signs/symptoms  - Vomiting,CATEGORIC FINDING,FINDINGS
PH_UR,PHU2,LB,pH,PH Dipstick,URINE,"Sponsor defined: The investigators evaluation of the negative logarithm (base 10) of the concentration of hydronium ions, which is used as a measure of the acidity or alkalinity of a fluid._x000D_",CATEGORIC FINDING,FINDINGS
PH_URINE,PHU,LB,pH,Urine pH,URINE,"CDISC code: C45997_x000D_
CDISC submission value: PH_x000D_
CDISC synonym(s): pH_x000D_
CDISC Description: A measure of the acidity or alkalinity of a fluid on a scale of 0 to 14.(NCI)_x000D_
NCI preferred term: pH",NUMERIC FINDING,FINDINGS
PLATELETS,PLAT,LB,Platelets,Platelets,,A measurement of the platelets (non-nucleated thrombocytes)_x000D_,NUMERIC FINDING,FINDINGS
POTASSIUM,K,LB,Potassium,Potassium,,A measurement of the potassium_x000D_,NUMERIC FINDING,FINDINGS
POTASSIUM_SERUM,KS,LB,Potassium,Potassium,SERUM,"CDISC code: C64853_x000D_
CDISC submission value: K_x000D_
CDISC synonym(s): Potassium_x000D_
CDISC Description: A measurement of the potassium in a biological specimen._x000D_
NCI preferred term: Potassium Measurement",NUMERIC FINDING,FINDINGS
PROTEIN_URINE,PROTU4,LB,Protein,Protein,URINE,"CDISC: C64858_x000D_
A measurement of the total protein in a biological specimen._x000D_
_x000D_
For Lab codes in AE Requiring Additional Data, there should be no SCATS",NUMERIC FINDING,FINDINGS
PROTHROMBIN_TIME,PT,LB,Prothrombin Time,Prothrombin Time,,A blood clotting measurement that evaluates the extrinsic pathway of coagulation_x000D_,NUMERIC FINDING,FINDINGS
PROT_UR,PROTU2,LB,Protein,Protein urine,URINE,"The investigators evaluation of a measurement of a group of complex organic macromolecules composed of one or more alpha-L-amino acid chains in urine._x000D_
Code:C64858_x000D_
CDISC Code Value: PROT_x000D_
CDISC Value Label: Protein_x000D_
CDISC synonym(s): Protein_x000D_
CDISC definition: A measurement of the total protein in a biological specimen._x000D_
NCI preferred term: Total Protein Measurement_x000D_",CATEGORIC FINDING,FINDINGS
PT_PLASMA,PTP,LB,Prothrombin Time,Prothrombin Time,PLASMA,"CDISC submission value: PT_x000D_
CDISC synonym: Prothrombin Time_x000D_
CDISC code: C62656_x000D_
CDISC definition: A blood clotting measurement that evaluates the extrinsic pathway of coagulation and is expressed in units of time or percent activity.",NUMERIC FINDING,FINDINGS
PULSE,PULSE,VS,Pulse Rate,Pulse,,"CDISC code: C49676_x000D_
CDISC submission value: PULSE_x000D_
CDISC synonym(s): Pulse Rate_x000D_
CDISC Description: The rate of the pulse as observed in an artery, expressed as beats per minute. It can be measured at several anatomical sites, including the wrist, neck, temple, groin, behind the knees, or on top of the foot. (NCI)_x000D_
NCI preferred term: Pulse Rate",NUMERIC FINDING,FINDINGS
RACE,RACE,,Race,Race,,"CDISC: Race of the subject. In cases of mixed race, primary race should be listed. If additional race values are collected, they should be represented as separate records in the Subject Characteristics domain with TESTCD of ""RACEOTH"". The variable itself is required by FDA, but with ongoing discussions in Europe about the permissibility of collecting this data, the variable may be optional in future.",CATEGORIC FINDING,FINDINGS
RANDOMISATION_DATE,RANDDT,DS,Randomized,Randomisation Date,,Date of randomisation_x000D_,DISPOSITION,EVENTS
RBC,RBCU5,LB,Erythrocytes,Erythrocytes in Urine,,"CDISC Code: C51946_x000D_
_x000D_
A measurement of the total erythrocytes in a biological specimen._x000D_
_x000D_
For Lab codes in AE Requiring Additional Data, there should be no SCATS",TEXTUAL FINDING,FINDINGS
RBC_UR,RBCU2,LB,Erythrocytes,Erythrocytes in urine,URINE,"Sponsordefined: The investigators evaluation of the concentration of cells in urine specialized for oxygen transport, having a high concentration of hemoglobin in the cytoplasm and little else; biconcave, anucleate discs, 7nm diameter in mammals._x000D_
_x000D_
CDISC Code: C51946_x000D_
CDISC Submission Value: RBC_x000D_
CDISC Synonym(s): Erythrocytes; Red Blood Cells_x000D_
CDISC Definition: A measurement of the total erythrocytes in a biological specimen._x000D_
NCI Preferred Term: Erythrocyte Count",CATEGORIC FINDING,FINDINGS
REASON FOR UNDETERMINED DEATH CAUSE 1,REASDEA1,ZA,Reason for Undetermined Death Cause 1,Reason for Undetermined Death Cause 1,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS
RESPIRATORY_RATE,RESP,VS,Respiratory Rate,Respiratory Rate,,"CDISC code:C49678_x000D_
CDISC Submission Value: RESP_x000D_
CDISC synonym(s): Respiratory Rate_x000D_
CDISC: The rate of breathing (inhalation and exhalation) measured within in a unit time, usually expressed as breaths per minute. (NCI) _x000D_
NCI preferred term: Respiratory Rate_x000D_
_x000D_",NUMERIC FINDING,FINDINGS
SEIZURE,HYSEIZUR,ZA,Seizure,Seizure,,Did the subject have a seizure,CATEGORIC FINDING,FINDINGS
