basic_std;table;column;label;order;type;length;displayformat;xmldatatype;xmlcodelist;core;origin;origintype;originsource;role;term;algorithm;qualifiers;isnotcdiscstd;comment;IGcomment;map_var_flag;fixed_mapping;include_in_raw;nn_internal;incl_cre_domain;xmlcodelistvalues
Y;EVENTS;__TOXGR;Toxicity Grade;460;C;80;;text;;Perm;Assigned;Assigned;Sponsor;Record Qualifier;*;;UPPERCASE;;Records toxicity grade using a standard toxicity scale (such as the NCI CTCAE). Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define.xml document.;Records toxicity grade using a standard toxicity scale (such as the NCI CTCAE). Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define.XML document.;Y;;Y;;;
Y;FINDINGS;__TESTCD;Short Name of Measurement, Test or Examination;10;C;8;;text;;Req;Assigned;Assigned;Sponsor;Topic;*;;UPPERCASE;;Short character value for --TEST used as a column name when converting a dataset from a vertical format to a horizontal format. The short value can be up to 8 characters. Examples: PLAT, SYSBP, RRMIN, EYEEXAM.;"Short character value for --TEST used as a column name when converting a dataset from a vertical format to a horizontal format. The short value can be up to 8 characters. Examples: ""PLAT"", ""SYSBP"", ""RRMIN"", ""EYEEXAM"".";Y;;Y;;Y;
Y;FINDINGS;__TEST;Name of Measurement, Test or Examination;20;C;40;;text;;Req;Assigned;Assigned;Sponsor;Synonym Qualifier;*;;MIXEDCASE;;Long name For --TESTCD. Examples: Platelet, Systolic Blood Pressure, Summary (Min) RR Duration, Eye Examination.;Long name For --TESTCD. Examples: Platelet, Systolic Blood Pressure, Summary (Min) RR Duration, Eye Examination.;Y;;Y;;Y;
Y;FINDINGS;__MODIFY;Modified Term;30;C;200;;text;;Perm;;;;Synonym Qualifier;;;UPPERCASE;;If the value of --ORRES is modified for coding purposes, then the modified text is placed here.;If the value of --ORRES is modified for coding purposes, then the modified text is placed here.;;;;;;
Y;FINDINGS;__TSTDTL;Measurement, Test or Examination Detail;40;C;200;;text;;Perm;;;;Record Qualifier;;;UPPERCASE;;;"Further description of --TESTCD and --TEST. Example: ""The percentage of cells with +1 intensity of staining"" when MITEST = ""Thyroid Transcription Factor 1"".";;;;;;
Y;FINDINGS;__CAT;Category;50;C;60;;text;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;Used to define a category of topic-variable values. Examples: HEMATOLOGY, URINALYSIS, CHEMISTRY, HAMILTON DEPRESSION SCALE, SF36.;"Used to define a category of topic-variable values. Examples: ""HEMATOLOGY"", ""URINALYSIS"", ""CHEMISTRY"", ""HAMD 17"", ""SF36 V2.0 ACUTE"", ""EGFR MUTATION ANALYSIS"".";Y;;Y;;Y;
Y;FINDINGS;__SCAT;Subcategory;60;C;60;;text;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;Used to define a further categorization of --CAT values. Example: DIFFERENTIAL.;"Used to define a further categorization of --CAT values. Example: ""WBC DIFFERENTIAL"".";Y;;Y;;Y;
Y;FINDINGS;__POS;Position of Subject During Observation;70;C;40;;text;POSITION;Perm;;;;Record Qualifier;(POSITION);;UPPERCASE;;Position of the subject during a measurement or examination. Examples: SUPINE, STANDING, SITTING.;"Position of the subject during a measurement or examination. Examples: ""SUPINE"", ""STANDING"", ""SITTING"".";;;;;;
Y;FINDINGS;__BODSYS;Body System or Organ Class;80;C;200;;text;;Perm;;;;Record Qualifier;MedDRA;;MIXEDCASE;;Body System or Organ Class that is involved for a finding from the standard hierarchy for dictionary-coded results. Example: MedDRA SOC.;Body System or Organ Class that is involved for a finding from the standard hierarchy for dictionary-coded results. Example: MedDRA SOC.;;;;;;
Y;FINDINGS;__ORRES;Result or Finding in Original Units;90;C;200;;text;NY;Exp;CRF;Collected;Investigator;Result Qualifier;(NY);;UPPERCASE;;Result of the measurement or finding as originally received or collected. Examples: 120, <1, POS.;"Result of the measurement or finding as originally received or collected. Examples: ""120"", ""<1"", ""POS"".";Y;;Y;;Y;
Y;FINDINGS;__ORRESU;Original Units;100;C;40;;text;UNIT;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;(UNIT);;MIXEDCASE;;Unit for --ORRES. Examples: IN, LB, kg/L.;"Unit for --ORRES and --ORREF. Examples: ""in"", ""LB"", ""kg/L"".";Y;;Y;;Y;
Y;FINDINGS;__ORNRLO;Normal Range Lower Limit-Original Units;110;C;40;;text;;Exp;CRF;Collected;Investigator;Variable Qualifier;;;UPPERCASE;;Lower end of normal range or reference range for results stored in --ORRES.;Lower end of normal range or reference range for results stored in --ORRES.;;;;;;
Y;FINDINGS;__ORNRHI;Normal Range Upper Limit-Original Units;120;C;40;;text;;Exp;CRF;Collected;Investigator;Variable Qualifier;;;UPPERCASE;;Upper end of normal range or reference range for results stored in --ORRES.;Upper end of normal range or reference range for results stored in --ORRES.;;;;;;
Y;FINDINGS;__ORREF;Reference Result in Original Units;130;C;200;;text;;Perm;;;;Variable Qualifier;;;UPPERCASE;;;Reference value for the result or finding as originally received or collected. --ORREF uses the same units as --ORRES, if applicable. Examples: value from predicted normal value in spirometry tests.;;;;;;
Y;FINDINGS;__STRESC;Result or Finding in Standard Format;140;C;200;;text;;Exp;Derived;Derived;Sponsor;Result Qualifier;;;UPPERCASE;;"Contains the result value for all findings, copied or derived from --ORRES in a standard format or in standard units. --STRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in --STRESN. For example, if various tests have results ""NONE"", ""NEG"", and ""NEGATIVE"" in --ORRES and these results effectively have the same meaning, they could be represented in standard format in --STRESC as ""NEGATIVE"".";"Contains the result value for all findings, copied or derived from --ORRES in a standard format or in standard units. --STRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in --STRESN. For example, if various tests have results ""NONE"", ""NEG"", and ""NEGATIVE"" in --ORRES and these results effectively have the same meaning, they could be represented in standard format in --STRESC as ""NEGATIVE"".";Y;;Y;;Y;
Y;FINDINGS;__CONCU;Agent Concentration Units;150;C;40;;text;UNIT;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;(UNIT);;MIXEDCASE;;;"Units for value of the agent concentration listed in MSCONC. Example: ""mg/L"".";;;;;;
Y;FINDINGS;__STRESN;Numeric Result/Finding in Standard Units;160;N;8;8,3;float;;Exp;;;;Result Qualifier;;;;;"Used for continuous or numeric results or findings in standard format; copied in numeric format from --STRESC. --STRESN should store all numeric test results or findings.";"Used for continuous or numeric results or findings in standard format; copied in numeric format from --STRESC. --STRESN should store all numeric test results or findings.";;;;;Y;
Y;FINDINGS;__CONC;Agent Concentration;170;C;200;;text;;Perm;;;;Variable Qualifier;;;UPPERCASE;;;Numeric concentration of agent listed in MSAGENT.;;;;;;
Y;FINDINGS;__STRESU;Standard Units;180;C;40;;text;UNIT;Exp;Assigned;Assigned;Sponsor;Variable Qualifier;(UNIT);;MIXEDCASE;;Standardized units used for --STRESC and --STRESN. Example: mol/L.;"Standardized units used for --STRESC, --STRESN, --STREFC, and --STREFN. Example: ""mol/L"".";;;;;Y;
Y;FINDINGS;__STNRLO;Normal Range Lower Limit-Standard Units;190;N;8;8,3;float;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;;;;;Lower end of normal range or reference range for standardized results (e.g., --STRESC, --STRESN) represented in standardized units (--STRESU).;Lower end of normal range or reference range for standardized results (e.g., --STRESC, --STRESN) represented in standardized units (--STRESU).;;;;;;
Y;FINDINGS;__STNRHI;Normal Range Upper Limit-Standard Units;200;N;8;8,3;float;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;;;;;Upper end of normal range or reference range for standardized results (e.g., --STRESC, --STRESN) represented in standardized units (--STRESU).;Upper end of normal range or reference range for standardized results (e.g., --STRESC, --STRESN) represented in standardized units (--STRESU).;;;;;;
Y;FINDINGS;__STNRC;Normal Range for Character Results;210;C;40;;text;;Perm;;;;Variable Qualifier;;;UPPERCASE;;Normal range or reference range for results stored in --STRESC that are character in ordinal or categorical scale. Example: Negative to Trace.;"Normal range or reference range for results stored in --STRESC that are character in ordinal or categorical scale. Example: ""Negative to Trace"".";;;;;;
Y;FINDINGS;__NRIND;Normal/Reference Range Indicator;220;C;20;;text;NRIND;Exp;;;;Variable Qualifier;(NRIND);;UPPERCASE;;"Used to indicate the value is outside the normal range or reference range. May be defined by --ORNRLO and --ORNRHI or other objective criteria. Examples: Y, N; HIGH, LOW; NORMAL; ABNORMAL.";"Used to indicate the value is outside the normal range or reference range. May be defined by --ORNRLO and --ORNRHI or other objective criteria. Examples: ""Y"", ""N""; ""HIGH"", ""LOW""; ""NORMAL"", ""ABNORMAL"".";;;;;;
Y;FINDINGS;__STREFC;Reference Result in Standard Format;230;C;200;;text;;Perm;;;;Variable Qualifier;;;UPPERCASE;;;Reference value for the result or finding copied or derived from --ORREF in a standard format.;;;;;;
Y;FINDINGS;__RESCAT;Result Category;240;C;60;;text;;Perm;;;;Variable Qualifier;*;;UPPERCASE;;Used to categorize the result of a finding. Example: MALIGNANT or BENIGN for tumor findings.;"Used to categorize the result of a finding. Example: ""MALIGNANT"" or ""BENIGN"" for tumor findings.";;;;;;
Y;FINDINGS;__STREFN;Numeric Reference Result in Std Units;250;N;8;8,3;float;;Perm;;;;Variable Qualifier;;;;;;Reference value for continuous or numeric results or findings in standard format or in standard units. --STREFN uses the same units as --STRESN, if applicable.;;;;;;
Y;FINDINGS;__STAT;Completion Status;260;C;40;;text;ND;Perm;;;;Record Qualifier;(ND);;UPPERCASE;;Used to indicate that a question was not asked or a test was not done, or a test was attempted but did not generate a result. Should be null or have a value of NOT DONE.;"Used to indicate that a question was not asked or a test was not done, or a test was attempted but did not generate a result. Should be null or have a value of ""NOT DONE"".";Y;;Y;;Y;
Y;FINDINGS;__REASND;Reason Not Done;270;C;200;;text;;Perm;;;;Record Qualifier;;;UPPERCASE;;Reason not done. Used in conjunction with --STAT when value is NOT DONE.;"Reason not done. Used in conjunction with --STAT when value is ""NOT DONE"".";Y;;Y;;Y;
Y;FINDINGS;__CHRON;Chronicity of Finding;280;C;40;;text;;Perm;;;;Variable Qualifier;;;UPPERCASE;;;"Characterization of the duration of a biological process resulting in a particular finding. Examples: ""ACUTE"", ""CHRONIC"", ""SUBACUTE"".";;;;;;
Y;FINDINGS;__XFN;External File Path;290;C;200;;text;;Perm;CRF;Collected;Investigator;Record Qualifier;;;UPPERCASE;;Filename for an external file, such as one for an ECG waveform or a medical image.;Filename for an external file, such as one for an ECG waveform or a medical image.;;;;;;
Y;FINDINGS;__DISTR;Distribution Pattern of Finding;300;C;40;;text;;Perm;;;;Variable Qualifier;;;UPPERCASE;;;"Description of the distribution pattern of a finding within the examined area. Examples: ""FOCAL"", ""MULTIFOCAL"", ""DIFFUSE"", ""FOCAL"", ""MULTIFOCAL"".";;;;;;
Y;FINDINGS;__NAM;Laboratory/Vendor Name;310;C;40;;text;;Perm;;;;Record Qualifier;;;UPPERCASE;;Name or identifier of the vendor (e.g., laboratory) that provided the test results.;Name or identifier of the vendor (e.g., laboratory) that provided the test results.;;;;;;
Y;FINDINGS;__LOINC;LOINC Code;320;C;200;;text;;Perm;Assigned;Assigned;Sponsor;Synonym Qualifier;*;;UPPERCASE;;Logical Observation Identifiers Names and Codes (LOINC) code for the topic variable such as a lab test.;Logical Observation Identifiers Names and Codes (LOINC) code for the topic variable such as a lab test.;;;;;;
Y;FINDINGS;__SPEC;Specimen Material Type;330;C;80;;text;SPECTYPE;Perm;;;;Record Qualifier;(SPECTYPE);;UPPERCASE;;Defines the type of specimen used for a measurement. Examples: SERUM, PLASMA, URINE.;"Defines the type of specimen used for a measurement. Examples: ""SERUM"", ""PLASMA"", ""URINE"", ""DNA"", ""RNA"".";;;;;;
Y;FINDINGS;__ANTREG;Anatomical Region;340;C;40;;text;;Perm;;;;Variable Qualifier;;;UPPERCASE;;;Defines the specific anatomical or biological region of a tissue, organ specimen or the region from which the specimen is obtained, as defined in the protocol, such as a section or part of what is described in the --SPEC variable. Examples: CORTEX, MEDULLA, MUCOSA;;;;;;
Y;FINDINGS;__SPCCND;Specimen Condition;350;C;40;;text;SPECCOND;Perm;;;;Record Qualifier;(SPECCOND);;UPPERCASE;;Defines the condition of the specimen. Example: CLOUDY.;Defines the condition of the specimen. Example: CLOUDY.;;;;;;
Y;FINDINGS;__SPCUFL;Specimen Usability for the Test;360;C;2;;text;NY;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;Describes the usability of the specimen for the test. The value will be N if the specimen is not usable, and null if the specimen is usable.;"Describes the usability of the specimen for the test. The value will be ""N"" if the specimen is not usable, and null if the specimen is usable.";;;;;;N
Y;FINDINGS;__LOC;Location Used for the Measurement;370;C;100;;text;LOC;Perm;;;;Record Qualifier;(LOC);;UPPERCASE;;Anatomical location of the subject relevant to the collection of the measurement. Examples: RECTAL for temperature, ARM for blood pressure.;"Anatomical location of the subject relevant to the collection of the measurement. Examples: ""RECTAL"" for temperature, ""ARM"" for blood pressure.";;;;;;
Y;FINDINGS;__LAT;Laterality;380;C;40;;text;LAT;Perm;;;;Variable Qualifier;(LAT);;UPPERCASE;;Qualifier for anatomical location or specimen further detailing laterality. Examples: RIGHT, LEFT, BILATERAL;"Qualifier for anatomical location or specimen further detailing laterality. Examples: ""RIGHT"", ""LEFT"", ""BILATERAL"".";Y;;Y;;;
Y;FINDINGS;__DIR;Directionality;390;C;40;;text;DIR;Perm;;;;Variable Qualifier;(DIR);;UPPERCASE;;Qualifier for anatomical location or specimen further detailing directionality. Examples: ANTERIOR, LOWER, PROXIMAL;"Qualifier for anatomical location or specimen further detailing directionality. Examples: ""ANTERIOR"", ""LOWER"", ""PROXIMAL"".";;;;;;
Y;FINDINGS;__PORTOT;Portion or Totality;400;C;40;;text;PORTOT;Perm;;;;Variable Qualifier;(PORTOT);;UPPERCASE;;Qualifier for anatomical location or specimen further detailing the distribution, which means arrangement of, apportioning of. . Examples: ENTIRE, SINGLE, SEGMENT, MANY.;"Qualifier for anatomical location or specimen further detailing the distribution, which means arrangement of, apportioning of. Examples: ""ENTIRE"", ""SINGLE"", ""SEGMENT"", ""MANY"".";;;;;;
Y;FINDINGS;__METHOD;Method of Test or Examination;410;C;80;;text;METHOD;Perm;;;;Record Qualifier;(METHOD);;UPPERCASE;;Method of the test or examination. Examples: EIA (Enzyme Immunoassay), ELECTROPHORESIS, DIPSTICK;"Method of the test or examination. Examples: ""EIA"" (enzyme immunoassay), ""ELECTROPHORESIS"", ""DIPSTICK"".";;;;;;
Y;FINDINGS;__RUNID;Run ID;420;C;40;;text;;Perm;;;;Record Qualifier;;;UPPERCASE;;;A unique identifier for a particular run of a test on a particular batch of samples.;;;;;;
Y;FINDINGS;__ANMETH;Analysis Method;430;C;80;;text;;Perm;;;;Record Qualifier;*;;UPPERCASE;;;Analysis method applied to obtain a summarized result. Analysis method describes the method of secondary processing applied to a complex observation result (e.g. an image or a genetic sequence).;;;;;;
Y;FINDINGS;__LEAD;Lead Identified to Collect Measurements;440;C;40;;text;LOC;Perm;;;;Record Qualifier;(LOC);;UPPERCASE;;Lead or leads identified to capture the measurement for a test from an instrument. Examples: LEAD I, LEAD V2, LEAD CM5.;"Lead or leads identified to capture the measurement for a test from an instrument. Examples: ""LEAD I"", ""LEAD V2"", ""LEAD CM5"".";;;;;;
Y;FINDINGS;__CSTATE;Consciousness State;450;C;40;;text;;Perm;;;;Record Qualifier;;;UPPERCASE;;The consciousness state of the subject at the time of measurement. Examples: CONSCIOUS, SEMI-CONSCIOUS, UNCONSCIOUS;"The consciousness state of the subject at the time of measurement. Examples: ""CONSCIOUS"", ""SEMI-CONSCIOUS"", ""UNCONSCIOUS"".";;;;;;
Y;FINDINGS;__BLFL;Baseline Flag;460;C;2;;text;NY;Exp;Derived;Derived;Sponsor;Record Qualifier;(NY);;UPPERCASE;;Indicator used to identify a baseline value. Should be Y or null.;Indicator used to identify a baseline value. Should be Y or null.;;;;;;Y
Y;FINDINGS;__FAST;Fasting Status;470;C;2;;text;NY;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;Indicator used to identify fasting status. Valid values include Y, N, U or null if not relevant.;"Indicator used to identify fasting status. Valid values include ""Y"", ""N"", ""U"", or null if not relevant.";;;;;;
Y;FINDINGS;__DRVFL;Derived Flag;480;C;2;;text;NY;Perm;Assigned;Assigned;Sponsor;Record Qualifier;(NY);;UPPERCASE;;Used to indicate a derived record (e.g., a record that represents the average of other records such as a computed baseline). Should be Y or null.;"Used to indicate a derived record (e.g., a record that represents the average of other records such as a computed baseline). Should be ""Y"" or null.";;;;;;Y
Y;FINDINGS;__EVAL;Evaluator;490;C;40;;text;EVAL;Perm;;;;Record Qualifier;(EVAL);;UPPERCASE;;Role of the person who provided the evaluation. Used only for results that are subjective (e.g., assigned by a person or a group). Examples: ADJUDICATION COMMITTEE, INDEPENDENT ASSESSOR, RADIOLOGIST.;"Role of the person who provided the evaluation. Used only for results that are subjective (e.g., assigned by a person or a group). Examples: ""ADJUDICATION COMMITTEE"", ""INDEPENDENT ASSESSOR"", ""RADIOLOGIST"".";Y;;Y;;Y;
Y;FINDINGS;__EVALID;Evaluator Identifier;500;C;40;;text;MEDEVAL;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;(MEDEVAL);;UPPERCASE;;Used to distinguish multiple evaluators with the same role recorded in --EVAL. Examples: RADIOLOGIST1 or RADIOLOGIST2;"Used to distinguish multiple evaluators with the same role recorded in --EVAL. Examples: ""RADIOLOGIST1"", ""RADIOLOGIST2"".";Y;;Y;;Y;
Y;FINDINGS;__ACPTFL;Accepted Record Flag;510;C;2;;text;NY;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;In cases where more than one assessor provides an evaluation of a result or response, this flag identifies the record that is considered, by an independent assessor, to be the accepted evaluation. Expected to be Y or null.;"In cases where more than one assessor provides an evaluation of a result or response, this flag identifies the record that is considered to be the accepted evaluation. Expected values can include ""Y"", ""N"", or null. This is not intended to be an analysis flag to indicate acceptability for a given analysis.";Y;;Y;;;
Y;FINDINGS;__LOBXFL;Last Observation Before Exposure Flag;520;C;1;;text;NY;Exp;Derived;Derived;Sponsor;Record Qualifier;(NY);;UPPERCASE;;;"Operationally-derived indicator used to identify the last non-missing value prior to RFXSTDTC. The value should be ""Y"" or null.";;;;;;Y
Y;FINDINGS;__TOX;Toxicity;530;C;80;;text;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;*;;UPPERCASE;;Description of toxicity quantified by --TOXGR such as NCI CTCAE Short Name. Examples: HYPERCALCEMIA, HYPOCALCEMIA. Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define.xml document.;"Description of toxicity quantified by --TOXGR such as NCI CTCAE Short Name. Examples: ""HYPERCALCEMIA"", ""HYPOCALCEMIA"". Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define-XML document.";;;;;;
Y;FINDINGS;__TOXGR;Toxicity Grade;540;C;80;;text;;Perm;Assigned;Assigned;Sponsor;Record Qualifier;*;;UPPERCASE;;Records toxicity grade using a standard toxicity scale (such as the NCI CTCAE). Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define data definition document. Example: 2.;Records toxicity grade using a standard toxicity scale (such as the NCI CTCAE). Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define data definition document. Example: 2.;;;;;;
Y;FINDINGS;__SEV;Severity;550;C;80;;text;;Perm;;;;Record Qualifier;*;;UPPERCASE;;Describes the severity or intensity of a particular finding. Examples: MILD, MODERATE, SEVERE.;"Describes the severity or intensity of a particular finding. Examples: ""MILD"", ""MODERATE"", ""SEVERE"".";;;;;;
Y;FINDINGS;__DTHREL;Relationship to Death;560;C;2;;text;NY;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;Describes the relationship of a particular finding to the death of a subject. Examples: Y, N or U.;;;;;;
Y;FINDINGS;__LLOQ;Lower Limit of Quantitation;570;N;8;8,3;float;;Perm;;;;Variable Qualifier;;;;;Indicates the lower limit of quantitation for an assay. Units will be those used for --STRESU.;Indicates the lower limit of quantitation for an assay. Units will be those used for --STRESU.;;;;;;
Y;FINDINGS;__ULOQ;Upper Limit of Quantitation;580;N;8;8,3;integer;;Perm;;;;Variable Qualifier;;;;;;Indicates the upper limit of quantitation for an assay. Units will be those used for --STRESU.;;;;;;
Y;FINDINGS;__EXCLFL;Exclude from Statistics;590;C;2;;text;NY;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;Indicates whether the values in the result variables for this record should be excluded from summary statistical calculations such as Mean, Standard Deviation, and Count (and others). Expected to be Y or null. --EXCLFL should not be used when - -STAT is NOT DONE. Not to be used with human clinical trials.;;;;;;Y
Y;FINDINGS;__OBJ;Object of the Observation;600;C;200;;text;;Req;;Assigned;Sponsor;Record Qualifier;;;UPPERCASE;;"Used in domains modeled as Findings About Events or Findings About Interventions. Describes the event or intervention whose property is being measured in --TESTCD/--TEST. Example: an event of vomiting which has findings, where --OBJ = ""VOMIT"" and the volume of VOMIT is being measured where --TESTCD = ""VOLUME"".";"Used in domains modeled as Findings About Events or Findings About Interventions. Describes the event or intervention whose property is being measured in --TESTCD/--TEST. Example: an event of vomiting which has findings, where --OBJ = ""VOMIT"" and the volume of VOMIT is being measured where --TESTCD = ""VOLUME"".";;;;;;
Y;FINDINGS;__REPNUM;Repetition Number;610;N;8;;integer;;Perm;Assigned;Assigned;Sponsor;Record Qualifier;;;;;;The incidence number of a test that is repeated within a given timeframe for the same test. The level of granularity can vary, e.g., within a time point or within a visit. For example, multiple measurements of blood pressure or multiple analyses of a sample.;Y;;Y;;;
Y;FINDINGS1;__ORRESU;Original Units;10;C;40;;text;UNIT;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;(UNIT);;MIXEDCASE;;;"Unit for --ORRES and --ORREF. Examples: ""in"", ""LB"", ""kg/L"".";Y;;Y;;Y;
Y;FINDINGS1;__STRESN;Numeric Result/Finding in Standard Units;20;N;8;8,3;float;;Perm;;;;Result Qualifier;;;;;;"Used for continuous or numeric results or findings in standard format; copied in numeric format from --STRESC. --STRESN should store all numeric test results or findings.";;;;;;
Y;FINDINGS1;__STRESU;Standard Units;30;C;40;;text;UNIT;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;(UNIT);;MIXEDCASE;;;"Standardized units used for --STRESC, --STRESN, --STREFC, and --STREFN. Example: ""mol/L"".";;;;;;
Y;FINDINGS1;__BLFL;Baseline Flag;40;C;2;;text;NY;Perm;Derived;Derived;Sponsor;Record Qualifier;(NY);;UPPERCASE;;;Indicator used to identify a baseline value. Should be Y or null.;;;;;;Y
Y;FT;__CAT;Category;10;C;60;;text;;Req;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;"Used to define a category of topic-variable values. Examples: ""HEMATOLOGY"", ""URINALYSIS"", ""CHEMISTRY"", ""HAMD 17"", ""SF36 V2.0 ACUTE"", ""EGFR MUTATION ANALYSIS"".";Y;;Y;;Y;
Y;IDENTIFIERS;STUDYID;Study Identifier;10;C;40;;text;;Req;Protocol;Protocol;Sponsor;Identifier;;;UPPERCASE;;Unique identifier for a study.;Unique identifier for a study.;*;;Y;;Y;
Y;IDENTIFIERS;DOMAIN;Domain Abbreviation;20;C;8;;text;;Req;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;Two-character abbreviation for the domain most relevant to the observation. The Domain abbreviation is also used as a prefix for variables to ensure uniqueness when datasets are merged.;Two-character abbreviation for the domain most relevant to the observation. The Domain abbreviation is also used as a prefix for variables to ensure uniqueness when datasets are merged.;*;;Y;;Y;
Y;IDENTIFIERS;USUBJID;Unique Subject Identifier;30;C;60;;text;;Req;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;Concatenation of STUDYID and DM.SUBJID;Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.;*;;Y;;Y;
Y;IDENTIFIERS;POOLID;Pool Identifier;40;C;40;;text;;Exp;;;;Identifier;;;UPPERCASE;;An identifier used to identify a result from a group of subjects that is not assignable to a specific subject.;An identifier used to identify a result from a group of subjects that is not assignable to a specific subject.;;;;;;
Y;IDENTIFIERS;SPDEVID;Sponsor Device Identifier;50;C;80;;text;;Req;;;;Identifier;;;UPPERCASE;;;Sponsor-defined identifier for a device;;;;;Y;
Y;IDENTIFIERS;__SEQ;Sequence Number;60;N;8;;integer;;Req;Derived;Derived;Sponsor;Identifier;;;;;Sequence number to ensure uniqueness of records within a dataset for a subject (or within a parameter, in the case of the Trial Summary domain). May be any valid number (including decimals) and does not have to start at 1.;Sequence number to ensure uniqueness of records within a dataset for a subject (or within a parameter, in the case of the Trial Summary domain). May be any valid number (including decimals) and does not have to start at 1.;*;;Y;;Y;
Y;IDENTIFIERS;__GRPID;Group ID;70;C;60;;text;;Perm;;;;Identifier;;;UPPERCASE;;Optional group identifier, used to link together a block of related records within a subject in a domain. Also used to link together a block of related records in the Trial Summary dataset (Section 3.4).;Optional group identifier, used to link together a block of related records within a subject in a domain. Also used to link together a block of related records in the Trial Summary Information (Section 3.3).;Y;;Y;;Y;
Y;IDENTIFIERS;TSVAL;Parameter Value;80;C;200;;text;;Exp;Protocol;Protocol;Sponsor;Result Qualifier;*;;MIXEDCASE;;;;;;;;;
Y;IDENTIFIERS;__REFID;Reference ID;90;C;80;;text;;Perm;CRF;Collected;Investigator;Identifier;;;UPPERCASE;;Optional internal or external identifier such as lab specimen ID, or UUID for an ECG waveform or a medical image.;Optional internal or external identifier such as lab specimen ID, or UUID for an ECG waveform or a medical image.;Y;;Y;;Y;
Y;IDENTIFIERS;__SPID;Sponsor-Defined Identifier;100;C;40;;text;;Perm;;;;Identifier;;;UPPERCASE;;Sponsor-defined identifier. Example: pre-printed line identifier on a Concomitant Medications page.;Sponsor-defined identifier. Example: pre-printed line identifier on a Concomitant Medications page.;*;;Y;;Y;
Y;IDENTIFIERS;__LNKID;Link ID;110;C;60;;text;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;Identifier used to link a feature (such as a tumor) initially recorded as a result in one findings domain to assessments of that feature in another findings domain. This may be a one-to-one or a one-to-many relationship. For Example: A single tumor may have multiple measurements/assessment performed at each study visit.;Identifier used to link related records across domains. This may be a one-to-one or a one-to-many relationship. For example, a single tumor may have multiple measurements/assessments performed at each study visit.;Y;;Y;;;
Y;IDENTIFIERS;__LNKGRP;Link Group ID;120;C;60;;text;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;A grouping identifier used to identify a group of assessment results in one domain that are evaluated, as a group, and contribute to a (summary) result in another domain. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record.;Identifier used to link related records across domains. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record.;;;;;;
Y;IDENTIFIERS;ELEMENT;Description of Element;130;C;40;;text;;Req;Protocol;Protocol;Sponsor;Synonym Qualifier;*;;UPPERCASE;;;The name of the Element.;;;;;;
Y;INTERVENTIONS;__TRT;Name of Treatment;10;C;200;;text;;Req;;Assigned;Sponsor;Topic;*;;UPPERCASE;;The topic for the intervention observation, usually the verbatim name of the treatment, drug, medicine, or therapy given during the dosing interval for the observation.;The topic for the intervention observation, usually the verbatim name of the treatment, drug, medicine, or therapy given during the dosing interval for the observation.;Y;;Y;;Y;
Y;INTERVENTIONS;__MODIFY;Modified Treatment Name;20;C;200;;text;;Perm;;;;Synonym Qualifier;;;UPPERCASE;;If the value for --TRT is modified for coding purposes, then the modified text is placed here.;If the value for --TRT is modified for coding purposes, then the modified text is placed here.;Y;;Y;;Y;
