"basic_std","table","column","activity_item_class","label","order","type","length","displayformat","xmldatatype","xmlcodelist","core","origin","role","term","algorithm","qualifiers","comment","IGcomment","map_var_flag","fixed_mapping","include_in_raw","nn_internal","incl_cre_domain","xmlcodelistvalues"
"Y","Events","__TOXGR","toxicity_grade","Toxicity Grade","460","C","80","","text","","Perm","Assigned","RecordQualifier","*","","UPPERCASE","Records toxicity grade using a standard toxicity scale (such as the NCI CTCAE). Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define.xml document.","Records toxicity grade using a standard toxicity scale (such as the NCI CTCAE). Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define- XML document.","Y","","Y","","",""
"Y","Findings","__TESTCD","test_name_code","Short Name of Measurement, Test or Examination","10","C","8","","text","","Req","Assigned","Topic","*","","UPPERCASE","Short character value for --TEST used as a column name when converting a dataset from a vertical format to a horizontal format. The short value can be up to 8 characters. Examples: PLAT, SYSBP, RRMIN, EYEEXAM.","Short character value for --TEST used as a column name when converting a dataset from a vertical format to a horizontal format. The short value can be up to 8 characters. Examples: PLAT, SYSBP, RRMIN, EYEEXAM.","Y","","Y","","Y",""
"","Findings","__REPNUM","","Repetition Number","20","N","8","","integer","","Perm","Assigned","RecordQualifier","","","","","The incidence number of a test that is repeated within a given timeframe for the same test. The level of granularity can vary, e.g., within a time point or within a visit. For example, multiple measurements of blood pressure or multiple analyses of a sample.","Y","","Y","","",""
"Y","Findings","__TEST","test_name_code","Name of Measurement, Test or Examination","30","C","40","","text","","Req","Assigned","SynonymQualifier","*","","MIXEDCASE","Long name For --TESTCD. Examples: Platelet, Systolic Blood Pressure, Summary (Min) RR Duration, Eye Examination.","Long name For --TESTCD. Examples: Platelet, Systolic Blood Pressure, Summary (Min) RR Duration, Eye Examination.","Y","","Y","","Y",""
"Y","Findings","__MODIFY","","Modified Term","40","C","200","","text","","Perm","","SynonymQualifier","","","UPPERCASE","If the value of --ORRES is modified for coding purposes, then the modified text is placed here.","If the value of --ORRES is modified for coding purposes, then the modified text is placed here.","","","","","",""
"Y","Findings","__TSTDTL","test_detail","Measurement, Test or Examination Detail","50","C","200","","text","","Perm","","RecordQualifier","","","UPPERCASE","","Further description of --TESTCD and --TEST. Example: ""The percentage of cells with +1 intensity of staining"" when MITESTCD = TTF1.","","","","","",""
"Y","Findings","__CAT","category","Category","60","C","60","","text","","Perm","Assigned","GroupingQualifier","*","","UPPERCASE","Used to define a category of topic-variable values. Examples: HEMATOLOGY, URINALYSIS, CHEMISTRY, HAMILTON DEPRESSION SCALE, SF36.","Used to define a category of topic-variable values. Examples: HEMATOLOGY, URINALYSIS, CHEMISTRY, HAMILTON DEPRESSION SCALE, SF36, MICRO ARRAY, EGFR MUTATION ANALYSIS","Y","src.cat","Y","","Y",""
"Y","Findings","__SCAT","subcategory","Subcategory","70","C","60","","text","","Perm","Assigned","GroupingQualifier","*","","UPPERCASE","Used to define a further categorization of --CAT values. Example: DIFFERENTIAL.","Used to define a further categorization of --CAT values. Example: DIFFERENTIAL.","Y","src.sub_cat","Y","","Y",""
"Y","Findings","__POS","position","Position of Subject During Observation","80","C","40","","text","POSITION","Perm","","RecordQualifier","(POSITION)","","UPPERCASE","Position of the subject during a measurement or examination. Examples: SUPINE, STANDING, SITTING.","Position of the subject during a measurement or examination. Examples: SUPINE, STANDING, SITTING.","","","","","",""
"Y","Findings","__BODSYS","","Body System or Organ Class","90","C","200","","text","","Perm","","RecordQualifier","MedDRA","","MIXEDCASE","Body System or Organ Class that is involved for a finding from the standard hierarchy for dictionary-coded results. Example: MedDRA SOC.","Body System or Organ Class that is involved for a finding from the standard hierarchy for dictionary-coded results. Example: MedDRA SOC.","","","","","",""
"Y","Findings","__ORRES","original_result","Result or Finding in Original Units","100","C","200","","text","NY","Exp","CRF","ResultQualifier","(NY)","","UPPERCASE","Result of the measurement or finding as originally received or collected. Examples: 120, <1, POS.","Result of the measurement or finding as originally received or collected. Examples: 120, <1, POS.","Y","","Y","","Y",""
"Y","Findings","__ORRESU","original_unit","Original Units","110","C","40","","text","UNIT","Exp","Assigned","VariableQualifier","(UNIT)","","MIXEDCASE","Unit for --ORRES. Examples: IN, LB, kg/L.","Unit for --ORRES. Examples: IN, LB, kg/L.","Y","","Y","","Y",""
"Y","Findings","__ORNRLO","normal_range_lower_limit","Normal Range Lower Limit-Original Units","120","C","40","","text","","Exp","CRF","VariableQualifier","","","UPPERCASE","Lower end of normal range or reference range for results stored in --ORRES.","Lower end of normal range or reference range for results stored in --ORRES.","","","","","",""
"Y","Findings","__ORNRHI","normal_range_upper_limit","Normal Range Upper Limit-Original Units","130","C","40","","text","","Exp","CRF","VariableQualifier","","","UPPERCASE","Upper end of normal range or reference range for results stored in --ORRES.","Upper end of normal range or reference range for results stored in --ORRES.","","","","","",""
"Y","Findings","__STRESC","","Result or Finding in Standard Format","140","C","200","","text","","Exp","Derived","ResultQualifier","","","UPPERCASE","Contains the result value for all findings, copied or derived from --ORRES in a standard format or in standard units. --STRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in --STRESN. For example, if various tests have results ""NONE"", ""NEG"", and ""NEGATIVE"" in --ORRES and these results effectively have the same meaning, they could be represented in standard format in --STRESC as ""NEGATIVE"".","Contains the result value for all findings, copied or derived from --ORRES in a standard format or in standard units. --STRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in -- STRESN. For example, if various tests have results ""NONE"", ""NEG"", and ""NEGATIVE"" in --ORRES and these results effectively have the same meaning, they could be represented in standard format in --STRESC as ""NEGATIVE"".","Y","","Y","","Y",""
"Y","Findings","__STRESN","","Numeric Result/Finding in Standard Units","150","N","8","8.3","float","","Exp","","ResultQualifier","","","","Used for continuous or numeric results or findings in standard format; copied in numeric format from --STRESC. --STRESN should store all numeric test results or findings.","Used for continuous or numeric results or findings in standard format; copied in numeric format from --STRESC. --STRESN should store all numeric test results or findings.","","","","","Y",""
"Y","Findings","__STRESU","standard_unit","Standard Units","160","C","40","","text","UNIT","Exp","Assigned","VariableQualifier","(UNIT)","","MIXEDCASE","Standardized units used for --STRESC and --STRESN. Example: mol/L.","Standardized units used for --STRESC and --STRESN. Example: mol/L.","","","","","Y",""
"Y","Findings","__STNRLO","","Normal Range Lower Limit-Standard Units","170","N","8","8.1","float","","Exp","Assigned","VariableQualifier","","","","Lower end of normal range or reference range for standardized results (e.g., --STRESC, --STRESN) represented in standardized units (--STRESU).","Lower end of normal range or reference range for standardized results (e.g., --STRESC, --STRESN) represented in standardized units (--STRESU).","","","","","",""
"Y","Findings","__STNRHI","","Normal Range Upper Limit-Standard Units","180","N","8","8.1","float","","Exp","Assigned","VariableQualifier","","","","Upper end of normal range or reference range for standardized results (e.g., --STRESC, --STRESN) represented in standardized units (--STRESU).","Upper end of normal range or reference range for standardized results (e.g., --STRESC, --STRESN) represented in standardized units (--STRESU).","","","","","",""
"Y","Findings","__STNRC","","Normal Range for Character Results","190","C","40","","text","","Perm","","VariableQualifier","","","UPPERCASE","Normal range or reference range for results stored in --STRESC that are character in ordinal or categorical scale. Example: Negative to Trace.","Normal range or reference range for results stored in --STRESC that are character in ordinal or categorical scale. Example: Negative to Trace.","","","","","",""
"Y","Findings","__NRIND","normal_range_indicator","Normal/Reference Range Indicator","200","C","20","","text","NRIND","Exp","","VariableQualifier","(NRIND)","","UPPERCASE","Used to indicate the value is outside the normal range or reference range. May be defined by --ORNRLO and --ORNRHI or other objective criteria. Examples: Y, N; HIGH, LOW; NORMAL; ABNORMAL.","Used to indicate the value is outside the normal range or reference range. May be defined by --ORNRLO and --ORNRHI or other objective criteria. Examples: Y, N; HIGH, LOW; NORMAL; ABNORMAL.","","","","","",""
"Y","Findings","__RESCAT","result_category","Result Category","210","C","60","","text","","Perm","","VariableQualifier","*","","UPPERCASE","Used to categorize the result of a finding. Example: MALIGNANT or BENIGN for tumor findings.","Used to categorize the result of a finding. Example: MALIGNANT or BENIGN for tumor findings. RESISTANCE VARIANT for genetic variation.","","","","","",""
"Y","Findings","__STAT","completion_status","Completion Status","220","C","40","","text","ND","Perm","","RecordQualifier","(ND)","","UPPERCASE","Used to indicate that a question was not asked or a test was not done, or a test was attempted but did not generate a result. Should be null or have a value of NOT DONE.","Used to indicate that a question was not asked or a test was not done, or a test was attempted but did not generate a result. Should be null or have a value of NOT DONE.","Y","","Y","","Y",""
"Y","Findings","__REASND","reason_not_done","Reason Not Done","230","C","200","","text","","Perm","","RecordQualifier","","","UPPERCASE","Reason not done. Used in conjunction with --STAT when value is NOT DONE.","Reason not done. Used in conjunction with --STAT when value is NOT DONE.","Y","","Y","","Y",""
"Y","Findings","__XFN","","External File Path","240","C","200","","text","","Perm","CRF","RecordQualifier","","","UPPERCASE","Filename for an external file, such as one for an ECG waveform or a medical image.","Filename for an external file, such as one for an ECG waveform or a medical image.","","","","","",""
"Y","Findings","__NAM","vendor_name","Laboratory/Vendor Name","250","C","40","","text","","Perm","","RecordQualifier","","","UPPERCASE","Name or identifier of the vendor (e.g., laboratory) that provided the test results.","Name or identifier of the vendor (e.g., laboratory) that provided the test results.","","","","","",""
"Y","Findings","__LOINC","loinc","LOINC Code","260","C","200","","text","","Perm","Assigned","SynonymQualifier","*","","UPPERCASE","Logical Observation Identifiers Names and Codes (LOINC) code for the topic variable such as a lab test.","Logical Observation Identifiers Names and Codes (LOINC) code for the topic variable such as a lab test.","","","","","",""
"Y","Findings","__SPEC","specimen","Specimen Material Type","270","C","80","","text","SPECTYPE","Perm","","RecordQualifier","(SPECTYPE)","","UPPERCASE","Defines the type of specimen used for a measurement. Examples: SERUM, PLASMA, URINE.","Defines the type of specimen used for a measurement. Examples: SERUM, PLASMA, URINE, DNA, RNA.","","","","","",""
"Y","Findings","__ANTREG","anatomical_region","Anatomical Region","280","C","40","","text","","Perm","","VariableQualifierof__SPEC","","","UPPERCASE","","Defines the specific anatomical or biological region of a tissue, organ specimen or the region from which the specimen is obtained, as defined in the protocol, such as a section or part of what is described in the --SPEC variable. Examples: CORTEX, MEDULLA, MUCOSA","","","","","",""
"Y","Findings","__SPCCND","specimen_condition","Specimen Condition","290","C","40","","text","SPECCOND","Perm","","RecordQualifier","(SPECCOND)","","UPPERCASE","Defines the condition of the specimen. Example: CLOUDY.","Defines the condition of the specimen. Example: CLOUDY.","","","","","",""
"Y","Findings","__SPCUFL","","Specimen Usability for the Test","300","C","2","","text","NY","Perm","","RecordQualifier","(NY)","","UPPERCASE","Describes the usability of the specimen for the test. The value will be N if the specimen is not usable, and null if the specimen is usable.","Describes the usability of the specimen for the test. The value will be N if the specimen is not usable, and null if the specimen is usable.","","","","","",""
"Y","Findings","__LOC","location","Location Used for the Measurement","310","C","100","","text","LOC","Perm","","RecordQualifier","(LOC)","","UPPERCASE","Anatomical location of the subject relevant to the collection of the measurement. Examples: RECTAL for temperature, ARM for blood pressure.","Anatomical location of the subject relevant to the collection of the measurement. Examples: RECTAL for temperature, ARM for blood pressure.","","","","","",""
"Y","Findings","__LAT","laterality","Laterality","320","C","40","","text","LAT","Perm","","VariableQualifier","(LAT)","","UPPERCASE","Qualifier for anatomical location or specimen further detailing laterality. Examples: RIGHT, LEFT, BILATERAL","Qualifier for anatomical location or specimen further detailing laterality. Examples: RIGHT, LEFT, BILATERAL","Y","","Y","","",""
"Y","Findings","__DIR","directionality","Directionality","330","C","40","","text","DIR","Perm","","VariableQualifier","(DIR)","","UPPERCASE","Qualifier for anatomical location or specimen further detailing directionality. Examples: ANTERIOR, LOWER, PROXIMAL","Qualifier for anatomical location or specimen further detailing directionality. Examples: ANTERIOR, LOWER, PROXIMAL","","","","","",""
"Y","Findings","__PORTOT","portion","Portion or Totality","340","C","40","","text","PORTOT","Perm","","VariableQualifier","(PORTOT)","","UPPERCASE","Qualifier for anatomical location or specimen further detailing the distribution, which means arrangement of, apportioning of. . Examples: ENTIRE, SINGLE, SEGMENT, MANY.","Qualifier for anatomical location or specimen further detailing the distribution, which means arrangement of, apportioning of. . Examples: ENTIRE, SINGLE, SEGMENT, MANY.","","","","","",""
"Y","Findings","__METHOD","method","Method of Test or Examination","350","C","80","","text","METHOD","Perm","","RecordQualifier","(METHOD)","","UPPERCASE","Method of the test or examination. Examples: EIA (Enzyme Immunoassay), ELECTROPHORESIS, DIPSTICK","Method of the test or examination. Examples: EIA (Enzyme Immunoassay), ELECTROPHORESIS, DIPSTICK","","","","","",""
"Y","Findings","__RUNID","","Run ID","360","C","40","","text","","Perm","","RecordQualifier","","","UPPERCASE","","A unique identifier for a particular run of a test on a particular batch of samples.","","","","","",""
"Y","Findings","__ANMETH","analysis_method","Analysis Method","370","C","80","","text","","Perm","","RecordQualifier","*","","UPPERCASE","","Analysis method applied to obtain a summarized result. Analysis method describes the method of secondary processing applied to a complex observation result (e.g. an image or a genetic sequence).","","","","","",""
"Y","Findings","__LEAD","lead_to_collect_measurement","Lead Identified to Collect Measurements","380","C","40","","text","LOC","Perm","","RecordQualifier","(LOC)","","UPPERCASE","Lead or leads identified to capture the measurement for a test from an instrument. Examples: LEAD I, LEAD V2, LEAD CM5.","Lead or leads identified to capture the measurement for a test from an instrument. Examples: LEAD I, LEAD V2, LEAD CM5.","","","","","",""
"Y","Findings","__CSTATE","","Consciousness State","390","C","40","","text","","Perm","","RecordQualifier","","","UPPERCASE","The consciousness state of the subject at the time of measurement. Examples: CONSCIOUS, SEMI-CONSCIOUS, UNCONSCIOUS","The consciousness state of the subject at the time of measurement. Examples: CONSCIOUS, SEMI-CONSCIOUS, UNCONSCIOUS","","","","","",""
"Y","Findings","__BLFL","","Baseline Flag","400","C","2","","text","NY","Exp","Derived","RecordQualifier","(NY)","","UPPERCASE","Indicator used to identify a baseline value. Should be Y or null.","Indicator used to identify a baseline value. Should be Y or null.","","","","","","Y"
"Y","Findings","__FAST","fasting_status","Fasting Status","410","C","2","","text","NY","Perm","","RecordQualifier","(NY)","","UPPERCASE","Indicator used to identify fasting status. Valid values include Y, N, U or null if not relevant.","Indicator used to identify fasting status. Valid values include Y, N, U or null if not relevant.","","","","","",""
"Y","Findings","__DRVFL","","Derived Flag","420","C","2","","text","NY","Perm","Assigned","RecordQualifier","(NY)","","UPPERCASE","Used to indicate a derived record (e.g., a record that represents the average of other records such as a computed baseline). Should be Y or null.","Used to indicate a derived record (e.g., a record that represents the average of other records such as a computed baseline). Should be Y or null.","","","","","","Y"
"Y","Findings","__EVAL","evaluator","Evaluator","430","C","40","","text","EVAL","Perm","","RecordQualifier","(EVAL)","","UPPERCASE","Role of the person who provided the evaluation. Used only for results that are subjective (e.g., assigned by a person or a group). Examples: ADJUDICATION COMMITTEE, INDEPENDENT ASSESSOR, RADIOLOGIST.","Role of the person who provided the evaluation. Used only for results that are subjective (e.g., assigned by a person or a group). Examples: ADJUDICATION COMMITTEE, INDEPENDENT ASSESSOR, RADIOLOGIST.","","","","","Y",""
"Y","Findings","__EVALID","evaluator_id","Evaluator Identifier","440","C","40","","text","MEDEVAL","Perm","Assigned","VariableQualifier","(MEDEVAL)","","UPPERCASE","Used to distinguish multiple evaluators with the same role recorded in --EVAL. Examples: RADIOLOGIST1 or RADIOLOGIST2","Used to distinguish multiple evaluators with the same role recorded in --EVAL. Examples: RADIOLOGIST1 or RADIOLOGIST2","","","","","Y",""
"Y","Findings","__ACPTFL","","Accepted Record Flag","450","C","2","","text","NY","Perm","","RecordQualifier","(NY)","","UPPERCASE","In cases where more than one assessor provides an evaluation of a result or response, this flag identifies the record that is considered, by an independent assessor, to be the accepted evaluation. Expected to be Y or null.","In cases where more than one assessor provides an evaluation of a result or response, this flag identifies the record that is considered, by an independent assessor, to be the accepted evaluation. Expected to be Y or null.","","","","","",""
"Y","Findings","__TOX","","Toxicity","460","C","80","","text","","Perm","Assigned","VariableQualifier","*","","UPPERCASE","Description of toxicity quantified by --TOXGR such as NCI CTCAE Short Name. Examples: HYPERCALCEMIA, HYPOCALCEMIA. Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define.xml document.","Description of toxicity quantified by --TOXGR such as NCI CTCAE Short Name. Examples: HYPERCALCEMIA, HYPOCALCEMIA. Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define- XML document.","","","","","",""
"Y","Findings","__TOXGR","","Toxicity Grade","470","C","80","","text","","Perm","Assigned","RecordQualifier","*","","UPPERCASE","Records toxicity grade using a standard toxicity scale (such as the NCI CTCAE). Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define data definition document. Example: 2.","Records toxicity grade using a standard toxicity scale (such as the NCI CTCAE). Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define data definition document. Example: 2.","","","","","",""
"Y","Findings","__SEV","","Severity","480","C","80","","text","","Perm","","RecordQualifier","*","","UPPERCASE","Describes the severity or intensity of a particular finding. Examples: MILD, MODERATE, SEVERE.","Describes the severity or intensity of a particular finding. Examples: MILD, MODERATE, SEVERE.","","","","","",""
"Y","Findings","__DTHREL","","Relationship to Death","490","C","2","","text","NY","Perm","","RecordQualifier","(NY)","","UPPERCASE","","Describes the relationship of a particular finding to the death of a subject. Examples: Y, N or U.","","","","","",""
"Y","Findings","__LLOQ","","Lower Limit of Quantitation","500","N","8","","integer","","Exp","","VariableQualifier","","","","Indicates the lower limit of quantitation for an assay. Units will be those used for --STRESU.","Indicates the lower limit of quantitation for an assay. Units will be those used for --STRESU.","","","","","",""
"Y","Findings","__ULOQ","","Upper Limit of Quantitation","510","N","8","","integer","","Perm","","VariableQualifier","","","","","Indicates the upper limit of quantitation for an assay. Units will be those used for --STRESU.","","","","","",""
"Y","Findings","__EXCLFL","","Exclude from Statistics","520","C","2","","text","NY","Perm","","RecordQualifier","(NY)","","UPPERCASE","","Indicates whether the values in the result variables for this record should be excluded from summary statistical calculations such as Mean, Standard Deviation, and Count (and others). Expected to be Y or null. --EXCLFL should not be used when - -STAT is NOT DONE. Not to be used with human clinical trials.","","","","","","Y"
"Y","Findings","__REASEX","","Reason for Exclusion from Statistics","530","C","200","","text","","Perm","","RecordQualifier","","","MIXEDCASE","","Reason excluded from statistics. Used in conjunction with -- EXCLFL when its value is Y. Not to be used with human clinical trials","","","","","",""
"Y","Findings","__OBJ","object_of_observation","Object of the Observation","540","C","200","","text","","Req","","RecordQualifier","","","UPPERCASE","Used in domains modeled as Findings About Events or Findings About Interventions. Describes the event or intervention whose property is being measured in --TESTCD/--TEST. Example: an event of vomiting which has findings, where --OBJ = ""VOMIT"" and the volume of VOMIT is being measured where --TESTCD = ""VOLUME"".","Used in domains modeled as Findings About Events or Findings About Interventions. Describes the event or intervention whose property is being measured in --TESTCD/--TEST. Example: an event of vomiting which has findings, where --OBJ = ""VOMIT"" and the volume of VOMIT is being measured where --TESTCD = ""VOLUME"".","","","","","",""
"","FT","__LOBXFL","","Last Observation Before Exposure Flag","10","C","1","","text","NY","Exp","Derived","RecordQualifier","(NY)","","UPPERCASE","","Operationally-derived indicator used to identify the last non-missing value prior to RFXSTDTC. The value should be ""Y"" or null.","","","","","","Y"
"","FT","__REPNUM","","Repetition Number","20","N","8","","integer","","Perm","Assigned","RecordQualifier","","","","","The incidence number of a test that is repeated within a given timeframe for the same test. The level of granularity can vary, e.g., within a time point or within a visit. For example, multiple measurements of blood pressure or multiple analyses of a sample.","Y","","Y","","",""
"Y","General__Observations","STUDYID","study_id","Study Identifier","10","C","40","","text","","Req","Protocol","Identifier","","","UPPERCASE","Unique identifier for a study.","Unique identifier for a study.","*","","Y","","Y",""
"Y","General__Observations","DOMAIN","domain","Domain Abbreviation","20","C","8","","text","","Req","Assigned","Identifier","","","UPPERCASE","Two-character abbreviation for the domain most relevant to the observation. The Domain abbreviation is also used as a prefix for variables to ensure uniqueness when datasets are merged.","Two-character abbreviation for the domain most relevant to the observation. The Domain abbreviation is also used as a prefix for variables to ensure uniqueness when datasets are merged.","*","","Y","","Y",""
"Y","General__Observations","USUBJID","unique_subject_id","Unique Subject Identifier","30","C","60","","text","","Req","Assigned","Identifier","","","UPPERCASE","Concatenation of STUDYID and DM.SUBJID","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","*","","Y","","Y",""
"Y","General__Observations","POOLID","","Pool Identifier","40","C","40","","text","","Exp","","Identifier","","","UPPERCASE","An identifier used to identify a result from a group of subjects that is not assignable to a specific subject.","An identifier used to identify a result from a group of subjects that is not assignable to a specific subject.","","","","","",""
"Y","General__Observations","SPDEVID","","Sponsor Device Identifier","50","C","40","","text","","Req","","Identifier","","","UPPERCASE","","Sponsor-defined identifier for a device","","","","","Y",""
"Y","General__Observations","__SEQ","","Sequence Number","60","N","8","","integer","","Req","Derived","Identifier","","","","Sequence number to ensure uniqueness of records within a dataset for a subject (or within a parameter, in the case of the Trial Summary domain). May be any valid number (including decimals) and does not have to start at 1.","Sequence number to ensure uniqueness of records within a dataset for a subject (or within a parameter, in the case of the Trial Summary domain). May be any valid number (including decimals) and does not have to start at 1.","*","","Y","","Y",""
"Y","General__Observations","__GRPID","","Group ID","70","C","60","","text","","Perm","","Identifier","","","UPPERCASE","Optional group identifier, used to link together a block of related records within a subject in a domain. Also used to link together a block of related records in the Trial Summary dataset (Section 3.4).","Optional group identifier, used to link together a block of related records within a subject in a domain. Also used to link together a block of related records in the Trial Summary dataset (Section 3.4).","Y","","Y","","Y",""
"","General__Observations","TSVAL","","Parameter Value","80","C","200","","text","","Exp","Protocol","ResultQualifier","*","","MIXEDCASE","","","","","","","",""
"Y","General__Observations","__REFID","","Reference ID","90","C","40","","text","","Perm","CRF","Identifier","","","UPPERCASE","Optional internal or external identifier such as lab specimen ID, or UUID for an ECG waveform or a medical image.","Optional internal or external identifier such as lab specimen ID, or UUID for an ECG waveform or a medical image.","Y","","Y","","Y",""
"Y","General__Observations","__SPID","","Sponsor-Defined Identifier","100","C","40","","text","","Perm","","Identifier","","","UPPERCASE","Sponsor-defined identifier. Example: pre-printed line identifier on a Concomitant Medications page.","Sponsor-defined identifier. Example: pre-printed line identifier on a Concomitant Medications page.","*","","Y","","Y",""
"Y","General__Observations","__LNKID","","Link ID","110","C","40","","text","","Perm","Assigned","Identifier","","","UPPERCASE","Identifier used to link a feature (such as a tumor) initially recorded as a result in one findings domain to assessments of that feature in another findings domain. This may be a one-to-one or a one-to-many relationship. For Example: A single tumor may have multiple measurements/assessment performed at each study visit.","Identifier used to link related records across domains. This may be a one-to- one or a one-to-many relationship. For Example: A single tumor may have multiple measurements/assessments performed at each study visit.","Y","","Y","","",""
"Y","General__Observations","__LNKGRP","","Link Group ID","120","C","40","","text","","Perm","Assigned","Identifier","","","UPPERCASE","A grouping identifier used to identify a group of assessment results in one domain that are evaluated, as a group, and contribute to a (summary) result in another domain. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record.","Identifier used to link related records across domains. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record.","","","","","",""
"","General__Observations","ETCD","","Element Code","130","C","8","","text","","Req","Assigned","Topic","*","","UPPERCASE","","ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.","","","","","",""
"","General__Observations","ELEMENT","","Description of Element","140","C","40","","text","","Req","Protocol","SynonymQualifier","*","","UPPERCASE","","The name of the Element.","","","","","",""
"Y","Interventions","__TRT","treatment","Name of Treatment","10","C","200","","text","","Req","","Topic","*","","UPPERCASE","The topic for the intervention observation, usually the verbatim name of the treatment, drug, medicine, or therapy given during the dosing interval for the observation.","The topic for the intervention observation, usually the verbatim name of the treatment, drug, medicine, or therapy given during the dosing interval for the observation.","Y","","Y","","Y",""
"Y","Interventions","__MODIFY","","Modified Treatment Name","20","C","200","","text","","Perm","","SynonymQualifier","","","UPPERCASE","If the value for --TRT is modified for coding purposes, then the modified text is placed here.","If the value for --TRT is modified for coding purposes, then the modified text is placed here.","Y","","Y","","Y",""
"Y","Interventions","__DECOD","","Standardized Treatment Name","30","C","200","","text","","Perm","Assigned","SynonymQualifier","*","","MIXEDCASE","Standardized or dictionary-derived name of the topic variable, --TRT, or the modified topic variable (--MODIFY), if applicable. Equivalent to the generic drug name in WHO Drug, or a term in SNOMED, ICD9, or other published or sponsor-defined dictionaries.","Standardized or dictionary-derived name of the topic variable, -- TRT, or the modified topic variable (--MODIFY), if applicable. Equivalent to the generic drug name in WHO Drug, or a term in SNOMED, ICD9, or other published or sponsor-defined dictionaries.","Y","","Y","","Y",""
"Y","Interventions","__MOOD","mood","Mood","40","C","80","","text","","Perm","","RecordQualifier","*","","UPPERCASE","","Mode or condition of the record (e.g., SCHEDULED, PERFORMED).","Y","","Y","","Y",""
"Y","Interventions","__CAT","category","Category","50","C","60","","text","","Perm","Assigned","GroupingQualifier","*","","UPPERCASE","Used to define a category of topic-variable values.","Used to define a category of topic-variable values.","Y","src.cat","Y","","Y",""
"Y","Interventions","__SCAT","subcategory","Subcategory","60","C","60","","text","","Perm","Assigned","GroupingQualifier","*","","UPPERCASE","Used to define a further categorization of --CAT values.","Used to define a further categorization of --CAT values.","Y","src.sub_cat","Y","","Y",""
"Y","Interventions","__PRESP","prespecified","Pre-specified","70","C","2","","text","NY","Perm","","VariableQualifier","(NY)","","UPPERCASE","Used when a specific intervention is pre-specified on a CRF. Values should be ""Y"" or null.","Used when a specific intervention is pre-specified on a CRF. Values should be ""Y"" or null.","Y","","Y","","Y","Y"
"Y","Interventions","__OCCUR","occurrence","Occurrence","80","C","2","","text","NY","Perm","","RecordQualifier","(NY)","","UPPERCASE","Used to record whether a pre-specified intervention occurred when information about the occurrence of a specific intervention is solicited.","Used to record whether a pre-specified intervention occurred when information about the occurrence of a specific intervention is solicited.","Y","","Y","","Y","N|Y"
"Y","Interventions","__STAT","completion_status","Completion Status","90","C","40","","text","ND","Perm","","RecordQualifier","(ND)","","UPPERCASE","Used to indicate when a question about the occurrence of a pre-specified intervention was not answered. Should be null or have a value of NOT DONE.","Used to indicate when a question about the occurrence of a pre- specified intervention was not answered. Should be null or have a value of NOT DONE.","Y","","Y","","Y",""
"Y","Interventions","__REASND","reason_not_done","Reason Not Done","100","C","200","","text","","Perm","","RecordQualifier","","","UPPERCASE","Reason not done. Used in conjunction with --STAT when value is NOT DONE.","Reason not done. Used in conjunction with --STAT when value is NOT DONE.","Y","","Y","","Y",""
"Y","Interventions","__INDC","primary_indication","Indication","110","C","200","","text","","Perm","","RecordQualifier","","","UPPERCASE","Denotes the indication for the intervention (e.g., why the therapy was taken or administered).","Denotes the indication for the intervention (e.g., why the therapy was taken or administered).","Y","","Y","","Y",""
"Y","Interventions","__CLAS","","Class","120","C","200","","text","","Perm","Assigned","VariableQualifier","*","","UPPERCASE","Class for a medication or treatment, often obtained from a coding dictionary.","Class for a medication or treatment, often obtained from a coding dictionary.","","","","","",""
"Y","Interventions","__CLASCD","","Class Code","130","C","40","","text","","Perm","Assigned","VariableQualifier","*","","UPPERCASE","Used to represent code for --CLAS.","Used to represent code for --CLAS.","","","","","",""
"Y","Interventions","__DOSE","dose","Dose","140","N","8","8.3","float","","Perm","","RecordQualifier","","","","Amount of --TRT given. Not populated when --DOSTXT is populated.","Amount of --TRT given. Not populated when --DOSTXT is populated.","Y","","Y","","Y",""
"Y","Interventions","__DOSTXT","dose_description","Dose Description","150","C","200","","text","","Perm","CRF","RecordQualifier","","","UPPERCASE","Dosing information collected in text form. Examples: <1 per day, 200-400. Not populated when --DOSE is populated.","Dosing information collected in text form. Examples: <1 per day, 200-400. Not populated when --DOSE is populated.","Y","","Y","","Y",""
