basic_std,table,column,label,order,type,length,displayformat,xmldatatype,xmlcodelist,xmlcodelist_multi,core,origin,role,term,algorithm,qualifiers,comment,IGcomment,class_table,class_column,map_var_flag,fixed_mapping,include_in_raw,nn_internal,value_lvl_where_cols,value_lvl_label_col,value_lvl_collect_ct_val,value_lvl_ct_cdlist_id_col,enrich_build_order,enrich_rule,xmlcodelistvalues
,APCM,CMLNKID,Link ID,160,C,40,,text,,,Perm,,Identifier,,,UPPERCASE,,Identifier used to link related records across domains. This may be a one-to- one or a one-to-many relationship. For Example: A single tumor may have multiple measurements/assessments performed at each study visit.,IDENTIFIERS,__LNKID,Y,,Y,,,,,,,,
,APCM,CMLNKGRP,Link Group ID,170,C,40,,text,,,Perm,Assigned,Identifier,,,UPPERCASE,,Identifier used to link related records across domains. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record.,IDENTIFIERS,__LNKGRP,Y,,Y,,,,,,,,
,APCM,CMTRT,"Reported Name of Drug, Med, or Therapy",180,C,200,,text,,,Req,,Topic,,,UPPERCASE,,Verbatim medication name that is either pre-printed or collected on a CRF.,EVENTS,__TRT,Y,,Y,,,,,,,,
,APCM,CMMODIFY,Modified Reported Name,190,C,200,,text,,,Perm,,SynonymQualifier,,,UPPERCASE,,"If CMTRT is modified to facilitate coding, then CMMODIFY will contain the modified text.",EVENTS,__MODIFY,Y,,Y,,,,,,,,
,APCM,CMDECOD,Standardized Medication Name,200,C,200,,text,,,Perm,Assigned,SynonymQualifier,WHODRUG,,MIXEDCASE,,Standardized or dictionary-derived text description of CMTRT or CMMODIFY. Equivalent to the generic medication name in WHO Drug. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes. If an intervention term does not have a decode value in the dictionary then CMDECOD will be left blank.,EVENTS,__DECOD,Y,,Y,,,,,,,,
,APCM,CMCAT,Category for Medication,210,C,60,,text,CMCAT,,Perm,Assigned,GroupingQualifier,*,,UPPERCASE,,"Used to define a category of medications/treatments. Examples: PRIOR, CONCOMITANT, ANTI-CANCER MEDICATION, or GENERAL CONMED.",EVENTS,__CAT,Y,src.cat,Y,,,,,,,,
,APCM,CMSCAT,Subcategory for Medication,220,C,60,,text,,,Perm,Assigned,GroupingQualifier,*,,UPPERCASE,,"A further categorization of medications/ treatment. Examples: CHEMOTHERAPY, HORMONAL THERAPY, ALTERNATIVE THERAPY.",EVENTS,__SCAT,Y,src.sub_cat,Y,,,,,,,,
,APCM,CMPRESP,CM Pre-Specified,230,C,2,,text,NY,,Perm,,VariableQualifier,(NY),,UPPERCASE,,Used to indicate whether (Y/null) information about the use of a specific medication was solicited on the CRF.,EVENTS,__PRESP,Y,,Y,,,,,,,,Y
,APCM,CMOCCUR,CM Occurrence,240,C,2,,text,NY,,Perm,,RecordQualifier,(NY),,UPPERCASE,,"When the use of specific medications is solicited, CMOCCUR is used to indicate whether or not (Y/N) use of the medication occurred. Values are null for medications not specifically solicited.",EVENTS,__OCCUR,Y,,Y,,,,,,,,Y|N
,APCM,CMSTAT,Completion Status,250,C,40,,text,ND,,Perm,Derived,RecordQualifier,(ND),"Set to NOT DONE if 'ND', 'NA', 'NK' ,' ' have been reported on CRF",UPPERCASE,,Used to indicate that a question about a pre-specified medication was not answered. Should be null or have a value of NOT DONE.,EVENTS,__STAT,Y,,Y,,,,,,,,
,APCM,CMREASND,Reason Medication Not Collected,260,C,200,,text,,,Perm,,RecordQualifier,,,UPPERCASE,,Describes the reason concomitant medication was not collected. Used in conjunction with CMSTAT when value is NOT DONE.,EVENTS,__REASND,Y,,Y,,,,,,,,
,APCM,CMINDC,Indication,270,C,200,,text,,,Perm,CRF,RecordQualifier,,,UPPERCASE,,"Denotes why a medication was taken or administered. Examples: NAUSEA, HYPERTENSION.",EVENTS,__INDC,Y,,Y,,,,,,,,
,APCM,CMCLAS,Medication Class,280,C,200,,text,,,Perm,Assigned,VariableQualifier,WHODRUG,,UPPERCASE,,"Drug class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes, then follow Section 4: 4.1.2.8.3, Multiple Values For A Non-Result Qualifier Variable or omit CMCLAS.",EVENTS,__CLAS,Y,,Y,,,,,,25,sdtme_cm_clas_v$$,
,APCM,CMCLASCD,Medication Class Code,290,C,40,,text,,,Perm,Assigned,VariableQualifier,WHODRUG,,UPPERCASE,,"Class code corresponding to CMCLAS. Drug class. May be obtained from coding. When coding to a single class, populate with class code. If using a dictionary and coding to multiple classes, then follow Section 4: 4.1.2.8.3, Multiple Values For A Non-Result Qualifier Variable or omit CMCLASCD.",EVENTS,__CLASCD,Y,,Y,,,,,,25,sdtme_cm_clas_v$$,
,APCM,CMDOSE,Dose per Administration,300,N,8,8.3,float,,,Perm,,RecordQualifier,,,,,Amount of CMTRT taken. Not populated when CMDOSTXT is populated.,EVENTS,__DOSE,Y,,Y,,,,,,,,
,APCM,CMDOSTXT,Dose Description,310,C,200,,text,,,Perm,,RecordQualifier,,,UPPERCASE,,"Dosing amounts or a range of dosing information collected in text form. Units may be stored in CMDOSU. Example: 200-400, 15-20. Not populated when CMDOSE is populated.",EVENTS,__DOSTXT,Y,,Y,,,,,,,,
,APCM,CMDOSU,Dose Units,320,C,40,,text,UNIT,,Perm,,VariableQualifier,(UNIT),,MIXEDCASE,,"Units for CMDOSE, CMDOSTOT, and CMDOSTXT. Examples: ng, mg, or mg/kg.",EVENTS,__DOSU,Y,,Y,,,,,,60,sdtme_cm_dosufrq_v$$,
,APCM,CMDOSFRM,Dose Form,330,C,80,,text,FRM,,Perm,,VariableQualifier,(FRM),,UPPERCASE,,"Dose form for CMTRT. Examples: TABLET, LOTION.",EVENTS,__DOSFRM,Y,,Y,,,,,,,,
,APCM,CMDOSFRQ,Dosing Frequency per Interval,340,C,40,,text,FREQ,,Perm,CRF,VariableQualifier,(FREQ),,UPPERCASE,,"Usually expressed as the number of repeated administrations of CMDOSE within a specific time period. Examples: BID (twice daily), Q12H (every 12 hours).",EVENTS,__DOSFRQ,Y,,Y,,,,,,60,sdtme_cm_dosufrq_v$$,
,APCM,CMDOSTOT,Total Daily Dose,350,N,8,8.3,float,,,Perm,,RecordQualifier,,,,,Total daily dose of CMTRT using the units in CMDOSU. Used when dosing is collected as Total Daily Dose. Total dose over a period other than day could be recorded in a separate Supplemental Qualifier variable.,EVENTS,__DOSTOT,Y,,Y,,,,,,,,
,APCM,CMDOSRGM,Intended Dose Regimen,360,C,40,,text,,,Perm,,VariableQualifier,,,UPPERCASE,,"Text description of the (intended) schedule or regimen for the Intervention. Examples: TWO WEEKS ON, TWO WEEKS OFF.",EVENTS,__DOSRGM,Y,,Y,,,,,,,,
,APCM,CMROUTE,Route of Administration,370,C,40,,text,ROUTE,,Perm,,VariableQualifier,(ROUTE),,UPPERCASE,,"Route of administration for CMTRT. Examples: ORAL, INTRAVENOUS.",EVENTS,__ROUTE,Y,,Y,,,,,,,,
,APCM,ETCD,Element Code,380,C,8,,text,,,Req,Assigned,RecordQualifier,*,,UPPERCASE,Set based on the SE domain,"ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.",NN DEFINED,ETCD,,,,,,,,,50,sdtme_std_etcd_v$$,
,APCM,ELEMENT,Description of Element,390,C,40,,text,,,Req,Protocol,RecordQualifier,*,,UPPERCASE,Set based on the SE domain,The name of the Element.,NN DEFINED,ELEMENT,,,,,,,,,50,sdtme_std_etcd_v$$,
,APCM,EPOCH,Epoch,400,C,40,,text,EPOCH,,Perm,Protocol,Timing,(EPOCH),,UPPERCASE,Set based on the SE domain,"Epoch associated with the start date/time of the observation, or the date/time of collection if start date/time is not collected. (See Section 3.2.2).",TIMING,EPOCH,,,,,,,,,40,sdtme_std_epoch_v$$,
,APCM,CMSTDTC,Start Date/Time of Medication,410,C,64,,datetime,,,Perm,,Timing,ISO 8601,,UPPERCASE DATETIME,,,TIMING,__STDTC,Y,,Y,,,,,,,,
,APCM,CMENDTC,End Date/Time of Medication,420,C,64,,datetime,,,Perm,,Timing,ISO 8601,,UPPERCASE DATETIME,,,TIMING,__ENDTC,Y,,Y,,,,,,,,
,APCM,CMSTDY,Study Day of Start of Medication,430,N,8,,integer,,,Perm,Derived,Timing,,"Calculation: = CMSTDTC - RFSTDTC+1 if CMSTDTC is on or after RFSTDTC,CMSTDTC - RFSTDTC if CMSTDTC precedes RFSTDTC",,,Study day of start of medication relative to the sponsor-defined RFSTDTC.,TIMING,__STDY,,,,,,,,,10,sdtme_std_dy_v$$,
,APCM,CMENDY,Study Day of End of Medication,440,N,8,,integer,,,Perm,Derived,Timing,,"Calculation: = CMENDTC - RFSTDTC+1 if CMENDTC is on or after RFSTDTC,CMENDTC - RFSTDTC if CMENDTC precedes RFSTDTC",,,Study day of end of medication relative to the sponsor-defined RFSTDTC.,TIMING,__ENDY,,,,,,,,,10,sdtme_std_dy_v$$,
,APCM,CMDUR,Duration of Medication,450,C,64,,text,,,Perm,,Timing,ISO 8601,,UPPERCASE DURATION,,Collected duration for a treatment episode. Used only if collected on the CRF and not derived from start and end date/times.,TIMING,__DUR,Y,,Y,,,,,,,,
,APCM,CMTPT,Planned Time Point Name,460,C,80,,text,,,Perm,,Timing,,,UPPERCASE,,"Text description of time when a measurement or observation should be taken as defined in the protocol. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See --TPTNUM and -- TPTREF.",TIMING,__TPT,Y,,Y,,,,,,,,
,APCM,CMTPTNUM,Planned Time Point Number,470,N,8,8.1,float,,,Perm,,Timing,,,,,Numeric version of planned time point used in sorting.,TIMING,__TPTNUM,Y,,Y,,,,,,,,
,APCM,CMELTM,Planned Elapsed Time from Time Point Ref,480,C,64,,text,,,Perm,,Timing,ISO 8601,,UPPERCASE DURATION,,"Planned Elapsed time in ISO 8601 character format relative to a planned fixed reference (--TPTREF) such as ""Previous Dose"" or ""Previous Meal"". This variable is useful where there are repetitive measures. Not a clock time or a date/time variable, but an interval, represented as ISO duration.",TIMING,__ELTM,Y,,Y,,,,,,,,
,APCM,CMTPTREF,Time Point Reference,490,C,40,,text,,,Perm,,Timing,,,UPPERCASE,,"Description of the fixed reference point referred to by --ELTM, --TPTNUM, and --TPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",TIMING,__TPTREF,Y,,Y,,,,,,,,
,APCM,CMRFTDTC,Date/Time of Reference Time Point,500,C,64,,datetime,,,Perm,,Timing,ISO 8601,,UPPERCASE DATETIME,,Date/time for a fixed reference time point defined by --TPTREF in ISO 8601 character format.,TIMING,__RFTDTC,Y,,Y,,,,,,,,
,APCM,CMSTRF,Start Relative to Reference Period,510,C,20,,text,STENRF,,Perm,Derived,Timing,(STENRF),Classifies the start of the medication relative to reference period as defined by RFSTDTC and RFENDTC in Demographics.,UPPERCASE,,"Describes the start of the medication relative to sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ONGOING or ""CONTINUING"" was collected, this information may be translated into CMSTRF. This variable is proposed for deletion post SDTM V1.4.",TIMING,__STRF,Y,,Y,,,,,,,,
,APCM,CMENRF,End Relative to Reference Period,520,C,20,,text,STENRF,,Perm,Derived,Timing,(STENRF),"Classifies the end of the medication relative to reference period as defined by RFSTDTC and RFENDTC in Demographics. If reported as continuing on the CRF, the value will be set to ONGOING.",UPPERCASE,,"Describes the end of the medication relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING"", or ""CONTINUING"" was collected, this information may be translated into CMENRF. This variable is proposed for deletion post SDTM V1.4.",TIMING,__ENRF,Y,,Y,,,,,,,,
,APCM,CMSTRTPT,Start Relative to Reference Time Point,530,C,40,,text,STENRF,,Perm,Assigned,Timing,(STENRF),,UPPERCASE,,Identifies the start of the medication as being before or after the reference time point defined by variable CMSTTPT.,TIMING,__STRTPT,Y,,Y,,,,,,,,
,APCM,CMSTTPT,Start Reference Time Point,540,C,40,,text,,,Perm,Assigned,Timing,,,UPPERCASE,,"Description or date/time in ISO 8601 character format of the reference point referred to by CMSTRTPT. Examples: ""2003-12-15"" or ""VISIT 1"".",TIMING,__STTPT,Y,,Y,,,,,,,,
,APCM,CMENRTPT,End Relative to Reference Time Point,550,C,40,,text,STENRF,,Perm,Assigned,Timing,(STENRF),,UPPERCASE,,Identifies the end of the medication as being before or after the reference time point defined by variable CMENTPT.,TIMING,__ENRTPT,Y,,Y,,,,,,,,
,APCM,CMENTPT,End Reference Time Point,560,C,40,,text,,,Perm,Assigned,Timing,,,UPPERCASE,,"Description or date/time in ISO 8601 character format of the reference point referred to by CMENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".",TIMING,__ENTPT,Y,,Y,,,,,,,,
,APDD,TOPIC_CD,CDW Topic Code,10,C,80,,text,,,Perm,,Topic,,,,,,NN DEFINED,TOPIC_CD,,src.topic_cd,Y,Y,,,,,,,
Y,APDD,STUDYID,Study Identifier,20,C,40,,text,,,Req,Protocol,Identifier,,,UPPERCASE,,Unique identifier for a study.,IDENTIFIERS,STUDYID,*,,Y,,,,,,,,
Y,APDD,DOMAIN,Domain Abbreviation,30,C,8,,text,,,Req,Assigned,Identifier,,,UPPERCASE,,"Four-character abbreviation for the domain, AP--.",IDENTIFIERS,DOMAIN,*,,Y,,,,,,,,
Y,APDD,APID,Associated Persons Identifier,40,C,60,,text,,,Req,,Identifier,,,UPPERCASE,,"Identifier for a single associated person, a group of associated persons, or a pool of associated persons. If APID identifies a pool, POOLDEF records must exist for each associated person.",IDENTIFIERS,APID,Y,,Y,,,,,,,,
Y,APDD,DDSEQ,Sequence Number,50,N,8,,integer,,,Req,Assigned,Identifier,,,,,Sequence number to ensure uniqueness of records within a domain for associated persons. Unique within APID within the domain.,IDENTIFIERS,__SEQ,*,,Y,,,,,,,,
Y,APDD,RSUBJID,Related Subject,60,C,60,,text,,,Exp,,Identifier,,,UPPERCASE,,Identifier for a related study subject or pool of study subjects. The subject(s) may be human or animal. RSUBJID will be populated with the USUBJID of the related subject or the POOLID of the related pool. RSUBJID will be null for data about associated persons who are related to the study but not to any of the study subjects.,IDENTIFIERS,RSUBJID,Y,,Y,,,,,,,,
,APDD,APDDSPID,Sponsor-Defined Identifier,70,C,40,,text,,,Perm,Assigned,Identifier,,,UPPERCASE,"System generated unique identifier, required for Enriched SDTM generation.",,IDENTIFIERS,__SPID,*,,Y,Y,,,,,,,
Y,APDD,RDEVID,Related Device,80,C,40,,text,,,Perm,,RecordQualifier,,,UPPERCASE,,Identifier for a related device. RDEVID will be populated with the SPDEVID of the related device.,IDENTIFIERS,RDEVID,Y,,Y,,,,,,,,
Y,APDD,SREL,"Subject, Device, or Study Relationship",90,C,40,,text,RELSUB,,Req,,RecordQualifier,(RELSUB),,UPPERCASE,,"If RSUBJID is populated, describes the relationship of the associated person(s) identified in APID to the subject or pool identified in RSUBJID. If RDEVID is populated, describes the relationship of the associated person(s) identified in APID to the device identified in RDEVID. If RSUBJID and RDEVID are null, SREL describes the relationship of the associated person(s) identified in APID to the study identified in STUDYID.",IDENTIFIERS,SREL,Y,,Y,,,,,,,,
,APDD,USUBJID,Unique Subject Identifier,100,C,60,,text,,,Req,Assigned,Identifier,,,UPPERCASE,Concatenation of STUDYID and DM.SUBJID (This is a variable for internal system use),Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,NN DEFINED,USUBJID,*,,Y,Y,,,,,,,
Y,APDD,DDSPID,Sponsor-Defined Identifier,110,C,40,,text,,,Perm,Assigned,Identifier,,,UPPERCASE,Sponsor-defined identifier. Example: pre-printed line identifier on a Concomitant Medications page.,Sponsor-defined identifier. Example: pre-printed line identifier on a Concomitant Medications page.,IDENTIFIERS,__SPID,*,,Y,,,,,,,,
,APDD,DDLNKID,Link ID,120,C,40,,text,,,Perm,,Identifier,,,UPPERCASE,,Identifier used to link related records across domains. This may be a one-to- one or a one-to-many relationship. For Example: A single tumor may have multiple measurements/assessments performed at each study visit.,IDENTIFIERS,__LNKID,Y,,Y,,,,,,,,
,APDD,DDLNKGRP,Link Group ID,130,C,40,,text,,,Perm,Assigned,Identifier,,,UPPERCASE,,Identifier used to link related records across domains. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record.,IDENTIFIERS,__LNKGRP,Y,,Y,,,,,,,,
,APDD,DDTESTCD,Death Detail Assessment Short Name,140,C,8,,text,,,Req,,Topic,*,,UPPERCASE,,"Short name of the measurement, test, or examination described in DDTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in DDTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). DDTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: DIAGPRIM, DIAGSEC, DTHWIT",FINDINGS,__TESTCD,Y,,Y,,,,,,,,
,APDD,DDTEST,Death Detail Assessment Name,150,C,40,,text,,,Req,,SynonymQualifier,*,,MIXEDCASE,,"Long name for DDTESTCD. The value in DDTEST cannot be longer than 40 characters. Examples: Primary Diagnosis, Secondary Diagnosis, Was Death Witnessed?",FINDINGS,__TEST,Y,,Y,,,,,,,,
,APDD,DDORRES,Result or Finding as Collected,160,C,200,,text,,,Exp,,ResultQualifier,,,UPPERCASE,,"Result of the test defined in DDTEST, as originally received or collected.",FINDINGS,__ORRES,Y,,Y,,,,,,,,
,APDD,DDSTRESC,Character Result/Finding in Std Format,170,C,200,,text,,,Exp,,ResultQualifier,,,UPPERCASE,,Contains the result or finding copied or derived from DDORRES in a standard format.,FINDINGS,__STRESC,Y,,Y,,,,,,20,sdtme_std_stres_v$$,
,APDD,DDRESCAT,Result Category,180,C,60,,text,,,Perm,,VariableQualifier,*,,UPPERCASE,,"Used to categorize the result of a finding. Examples: TREATMENT RELATED, NONTREATMENT RELATED, UNDETERMINED, ACCIDENTAL",FINDINGS,__RESCAT,,,,,,,,,,,
,APDD,DDEVAL,Evaluator,190,C,40,,text,EVAL,,Perm,,RecordQualifier,(EVAL),,UPPERCASE,,Role of the person who provided the evaluation.,FINDINGS,__EVAL,Y,,Y,,,,,,,,
,APDD,DDEVALID,Evaluator Identifier,200,C,40,,text,MEDEVAL,,Perm,,VariableQualifier,(MEDEVAL),,UPPERCASE,,Used to distinguish multiple evaluators with the same role recorded in --EVAL. Examples: RADIOLOGIST1 or RADIOLOGIST2,FINDINGS,__EVALID,Y,,Y,,,,,,,,
,APDD,ETCD,Element Code,210,C,8,,text,,,Req,Assigned,RecordQualifier,*,,UPPERCASE,,"ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.",NN DEFINED,ETCD,,,,,,,,,40,sdtme_std_etcd_v$$,
,APDD,ELEMENT,Description of Element,220,C,40,,text,,,Req,Protocol,RecordQualifier,*,,UPPERCASE,Set based on the SE domain,The name of the Element.,NN DEFINED,ELEMENT,,,,,,,,,40,sdtme_std_etcd_v$$,
,APDD,EPOCH,Epoch,230,C,40,,text,EPOCH,,Perm,Protocol,Timing,(EPOCH),,UPPERCASE,Set based on the SE domain,"Epoch associated with the start date/time of the observation, or the date/time of collection if start date/time is not collected. (See Section 3.2.2).",TIMING,EPOCH,,,,,,,,,30,sdtme_std_epoch_v$$,
,APDD,DDDTC,Date/Time of Collection,240,C,64,,datetime,,,Exp,,Timing,ISO 8601,,UPPERCASE DATETIME,,Date/time of collection of the diagnosis or other death assessment data in ISO 8601 format. This is not necessarily the date of death.,TIMING,__DTC,Y,,Y,,,,,,,,
,APDD,DDDY,Study Day of Collection,250,N,8,,integer,,,Perm,Derived,Timing,,"Calculation: = DDDTC - RFSTDTC+1 if DDDTC is on or after RFSTDTC,DDDTC - RFSTDTC if DDDTC precedes RFSTDTC",,,"Study day of the collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.",TIMING,__DY,,,,,,,,,10,sdtme_std_dy_v$$,
Y,APDM,STUDYID,Study Identifier,10,C,40,,text,,,Req,Protocol,Identifier,,,UPPERCASE,,Unique identifier for a study.,IDENTIFIERS,STUDYID,*,,Y,,,,,,,,
Y,APDM,DOMAIN,Domain Abbreviation,20,C,8,,text,,,Req,Assigned,Identifier,,,UPPERCASE,,"Four-character abbreviation for the domain, AP--.",IDENTIFIERS,DOMAIN,*,,Y,,,,,,,,
Y,APDM,APID,Associated Persons Identifier,30,C,60,,text,,,Req,,Identifier,,,UPPERCASE,,"Identifier for a single associated person, a group of associated persons, or a pool of associated persons. If APID identifies a pool, POOLDEF records must exist for each associated person.",IDENTIFIERS,APID,Y,,Y,,,,,,,,
Y,APDM,DMSEQ,Sequence Number,40,N,8,,integer,,,Req,Assigned,Identifier,,,,,Sequence number to ensure uniqueness of records within a domain for associated persons. Unique within APID within the domain.,IDENTIFIERS,__SEQ,*,,Y,,,,,,,,
Y,APDM,RSUBJID,Related Subject,50,C,60,,text,,,Exp,,Identifier,,,UPPERCASE,,Identifier for a related study subject or pool of study subjects. The subject(s) may be human or animal. RSUBJID will be populated with the USUBJID of the related subject or the POOLID of the related pool. RSUBJID will be null for data about associated persons who are related to the study but not to any of the study subjects.,IDENTIFIERS,RSUBJID,Y,,Y,,,,,,,,
,APDM,APDMSPID,Sponsor-Defined Identifier,60,C,40,,text,,,Perm,Assigned,Identifier,,,UPPERCASE,"System generated unique identifier, required for Enriched SDTM generation.",,IDENTIFIERS,__SPID,*,,Y,Y,,,,,,,
Y,APDM,RDEVID,Related Device,70,C,40,,text,,,Perm,,RecordQualifier,,,UPPERCASE,,Identifier for a related device. RDEVID will be populated with the SPDEVID of the related device.,IDENTIFIERS,RDEVID,Y,,Y,,,,,,,,
Y,APDM,SREL,"Subject, Device, or Study Relationship",80,C,40,,text,RELSUB,,Req,,RecordQualifier,(RELSUB),,UPPERCASE,,"If RSUBJID is populated, describes the relationship of the associated person(s) identified in APID to the subject or pool identified in RSUBJID. If RDEVID is populated, describes the relationship of the associated person(s) identified in APID to the device identified in RDEVID. If RSUBJID and RDEVID are null, SREL describes the relationship of the associated person(s) identified in APID to the study identified in STUDYID.",IDENTIFIERS,SREL,Y,,Y,,,,,,,,
,APDM,USUBJID,Unique Subject Identifier,90,C,60,,text,,,Req,Assigned,Identifier,,,UPPERCASE,Concatenation of STUDYID and DM.SUBJID (This is a variable for internal system use),Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,NN DEFINED,USUBJID,*,,Y,Y,,,,,,,
Y,APDM,DMSPID,Sponsor-Defined Identifier,100,C,40,,text,,,Perm,Assigned,Identifier,,,UPPERCASE,Sponsor-defined identifier. Example: pre-printed line identifier on a Concomitant Medications page.,Sponsor-defined identifier. Example: pre-printed line identifier on a Concomitant Medications page.,IDENTIFIERS,__SPID,*,,Y,,,,,,,,
,APDM,DTHDTC,Date/Time of Death,110,C,64,,datetime,,,Exp,CRF,RecordQualifier,ISO 8601,When DTHDTC is missing: if DD record exists with non-missing DDDTC then DTHDTC=DDDTC or AE record exists with AESDTH=Y then DTHDTC=AEENDTC,UPPERCASE DATETIME,,"Date/time of death for any subject who died, in ISO 8601 format. Should represent the date/time that is captured in the clinical-trial database.",DM,DTHDTC,Y,,Y,,,,,,40,sdtme_dm_dth_v$$,
,APDM,DTHFL,Subject Death Flag,120,C,2,,text,NY,,Exp,Derived,RecordQualifier,(NY),If DTHDTC is not missing or APDD record exists or APAE record exists with AESDTH=Y then DTHFL=Y,UPPERCASE,,Indicates the subject died. Should be Y or null. Should be populated even when the death date is unknown.,DM,DTHFL,,,,,,,,,40,sdtme_dm_dth_v$$,Y
,APDM,SITEID,Study Site Identifier,130,C,40,,text,,,Req,Assigned,RecordQualifier,,,UPPERCASE,,Unique identifier for a site within a study.,DM,SITEID,,,,,,,,,,,
,APDM,INVID,Investigator Identifier,140,C,40,,text,,,Perm,Assigned,RecordQualifier,,,UPPERCASE,,An identifier to describe the Investigator for the study. May be used in addition to SITEID. Not needed if SITEID is equivalent to INVID.,DM,INVID,,,,,,,,,,,
,APDM,INVNAM,Investigator Name,150,C,40,,text,,,Perm,Assigned,SynonymQualifier,,,UPPERCASE,,Name of the investigator for a site.,DM,INVNAM,,,,,,,,,,,
,APDM,BRTHDTC,Date/Time of Birth,160,C,64,,datetime,,,Perm,CRF,RecordQualifier,ISO 8601,,UPPERCASE DATETIME,,Date/time of birth of the subject.,DM,BRTHDTC,Y,,Y,,,,,,,,
,APDM,AGE,Age,170,N,8,8.1,float,,,Exp,Derived,RecordQualifier,,!!!,,Age at start of trial,"Age expressed in AGEU. May be derived from RFSTDTC and BRTHDTC, but BRTHDTC may not be available in all cases (due to subject privacy concerns).",DM,AGE,,,,,,,,,30,#age_at_baseline_rl,
,APDM,AGEU,Age Units,180,C,10,,text,AGEU,,Exp,Assigned,VariableQualifier,(AGEU),,UPPERCASE,,Units associated with AGE.,DM,AGEU,,,,,,,,,30,#age_at_baseline_rl,
,APDM,SEX,Sex,190,C,2,,text,SEX,,Req,Assigned,RecordQualifier,(SEX),,UPPERCASE,,Sex of the subject.,DM,SEX,Y,,Y,,,,,,,,
,APDM,RACE,Race,200,C,80,,text,RACE,,Exp,,RecordQualifier,(RACE),,UPPERCASE,,"Race of the subject. Sponsors should refer to ""Collection of Race and Ethnicity Data in Clinical Trials"" (FDA, September 2005) for guidance regarding the collection of race (http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm) See Assumption below regarding RACE.",DM,RACE,Y,,Y,,,,,,,,
,APDM,ETHNIC,Ethnicity,210,C,40,,text,ETHNIC,,Perm,CRF,RecordQualifier,(ETHNIC),,UPPERCASE,,"The ethnicity of the subject. Sponsors should refer to ""Collection of Race and Ethnicity Data in Clinical Trials"" (FDA, September 2005) for guidance regarding the collection of ethnicity (http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm).",DM,ETHNIC,Y,,Y,,,,,,,,
,APDM,COUNTRY,Country,220,C,3,,text,COUNTRY,,Req,Assigned,RecordQualifier,(COUNTRY) ISO 3166,,UPPERCASE,,Country of the investigational site in which the subject participated in the trial.,DM,COUNTRY,,,,,,,,,,,
,APFACE,CDMS_SUB_EVT_NUM,CDMS Repeat Sequence Number,10,N,8,,integer,,,Perm,,RecordQualifier,,,,,,NN DEFINED,CDMS_SUB_EVT_NUM,,src.cdms_sub_evt_num,Y,Y,,,,,,,
,APFACE,SRC_FIND_COLL_UNIT,CDW SRC Finding Collection Unit,20,C,80,,text,,,Perm,,RecordQualifier,,,,,,NN DEFINED,SRC_FIND_COLL_UNIT,,src.find_coll_unit,Y,Y,,,,,,,
,APFACE,SRC_TOPIC_CD,CDW SRC Topic Code,30,C,200,,text,,,Perm,,Topic,,,,,,NN DEFINED,SRC_TOPIC_CD,,src.src_topic_cd,Y,Y,,,,,,,
,APFACE,TOPIC_CD,CDW Topic Code,40,C,80,,text,,,Perm,,Topic,,,,,,NN DEFINED,TOPIC_CD,,src.topic_cd,Y,Y,,,,,,,
Y,APFACE,STUDYID,Study Identifier,50,C,40,,text,,,Req,Protocol,Identifier,,,UPPERCASE,,Unique identifier for a study.,IDENTIFIERS,STUDYID,*,,Y,,,,,,,,
Y,APFACE,DOMAIN,Domain Abbreviation,60,C,8,,text,,,Req,Assigned,Identifier,,,UPPERCASE,,"Four-character abbreviation for the domain, AP--.",IDENTIFIERS,DOMAIN,*,,Y,,,,,,,,
