Row # (not a code),UCUM_CODE,"Description of the Unit (using UCUM descriptions where they exist)",Comment,Last Updated (see Revisions tab for details),Version correction published,Corrected by (initials RG = Rebecca Goodwin),"Row #
at time of correction (not a code)",Previous UCUM version (with Errors or Omissions),Description of Change Made
500,umol/min/L,micromole per minute per liter,,,,,,,
501,umol/mol,micromole per mole,,,,,,,
502,umol/mol{creat},micromole per mole of creatinine,,,,,,,
503,umol/mol{Hb},micromole per mole of hemoglobin,,,,,,,
504,um/s,microns per second,,,,,,,
505,uOhm,microOhm,,,,,,,
506,us,microsecond,,,,,,,
507,uV,microvolt,,,,,,,
508,[mi_i],mile (international),,,,,,,
509,mU/g,milli  enzyme unit per gram,,,,,,,
510,mU/mL,milli  enzyme unit per milliliter,,,,,,,
511,mU/mL/min,milli  enzyme unit per milliliter per minute,,,,,,,
512,mU/mmol{creat},milli  enzyme unit per millimole of creatinine,,,,,,,
513,mU/mmol{RBCs},milli  enzyme unit per millimole of red blood cells,,,,,,,
514,m[IU]/mL,milli  international unit per milliliter,,,,,,,
515,mU/g{Hb},milli enzyme unit per gram of hemoglobin,,,,,,,
516,mU/g{prot},milli enzyme unit per gram of protein,,30-07-2014,v 1.3 released 9/26/2014,RG,382.0,mU/g{protein},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
517,mU/L,milli enzyme unit per liter,,,,,,,
518,mU/mg,milli enzyme unit per milligram,,,,,,,
519,mU/mg{creat},milli enzyme unit per milligram of creatinine,,,,,,,
520,m[IU]/L,milli international unit per liter,,,,,,,
521,mA,milliampere,,,,,,,
522,mbar,millibar,,,,,,,
523,mbar/L/s,millibar per liter per second,,,,,,,
524,mbar.s/L,millibar second per liter,,,,,,,
525,meq,milliequivalent,,,,,,,
526,meq/(2.h),milliequivalent per 2 hour,,,,,,,
527,meq/(24.h),milliequivalent per 24 hour,,,,,,,
528,meq/(8.h),milliequivalent per 8 hour,,,,,,,
529,meq/d,milliequivalent per day,,,,,,,
530,meq/dL,milliequivalent per deciliter,,,,,,,
531,meq/g,milliequivalent per gram,,,,,,,
532,meq/g{creat},milliequivalent per gram of creatinine,,,,,,,
533,meq/h,milliequivalent per hour,,,,,,,
534,meq/kg,milliequivalent per kilogram,,,,,,,
535,meq/kg/h,milliequivalent per kilogram per hour,,,,,,,
536,meq/L,milliequivalent per liter,,,,,,,
537,meq/mL,milliequivalent per milliliter,,,,,,,
538,meq/min,milliequivalent per minute,,,,,,,
539,meq/{specimen},milliequivalent per specimen,,,,,,,
540,meq/m2,milliequivalent per square meter,,,,,,,
541,meq/{total_volume},milliequivalent per total volume,,,,,,,
542,mg,milligram,,,,,,,
543,mg{FEU}/L,milligram fibrinogen equivalent unit per liter,,,,,,,
544,mg/(10.h),milligram per 10 hour,,,,,,,
545,mg/(12.h),milligram per 12 hour,,,,,,,
546,mg/(2.h),milligram per 2 hour,,,,,,,
547,mg/(24.h),milligram per 24 hour,,,,,,,
548,mg/(6.h),milligram per 6 hour,,,,,,,
549,mg/(72.h),milligram per 72 hour,,,,,,,
550,mg/(8.h),milligram per 8 hour,,,,,,,
551,mg/{collection},milligram per collection,,,,,,,
552,mg/m3,milligram per cubic meter,,,,,,,
553,mg/d,milligram per day,,,,,,,
554,mg/d/{1.73_m2},milligram per day per 1.73 square meter,,31-01-2014,v 1.2 released 2/6/2014,RG,422.0,mg/d/(1.73_m2),Changed parentheses to curly brackets
555,mg/dL,milligram per deciliter,,,,,,,
556,mg/dL{RBCs},milligram per deciliter of red blood cells,,,,,,,
557,mg/g,milligram per gram,,,,,,,
558,mg/g{creat},milligram per gram of creatinine,,,,,,,
559,mg/g{dry_tissue},milligram per gram of dry tissue,,,,,,,
560,mg/g{feces},milligram per gram of feces,,,,,,,
561,mg/g{tissue},milligram per gram of tissue,,,,,,,
562,mg/g{wet_tissue},milligram per gram of wet tissue,,,,,,,
563,mg/h,milligram per hour,,,,,,,
564,mg/kg,milligram per kilogram,,,,,,,
565,mg/kg/(8.h),milligram per kilogram per 8 hour,,,,,,,
566,mg/kg/d,milligram per kilogram per day,,,,,,,
567,mg/kg/h,milligram per kilogram per hour,,,,,,,
568,mg/kg/min,milligram per kilogram per minute,,,,,,,
569,mg/L,milligram per liter,,,,,,,
570,mg/L{RBCs},milligram per liter of red blood cells,,,,,,,
571,mg/mg,milligram per milligram,,,,,,,
572,mg/mg{creat},milligram per milligram of creatinine,,,,,,,
573,mg/mL,milligram per milliliter,,,,,,,
574,mg/mmol,milligram per millimole,,,,,,,
575,mg/mmol{creat},milligram per millimole of creatinine,,,,,,,
576,mg/min,milligram per minute,,,,,,,
577,mg/{specimen},milligram per specimen,,,,,,,
578,mg/m2,milligram per square meter,,,,,,,
579,mg/{total_output},milligram per total output,,,,,,,
580,mg/{total_volume},milligram per total volume,,,,,,,
581,mg/wk,milligram per week,,,,,,,
582,mL,milliliter,,,,,,,
583,mL{fetal_RBCs},milliliter of fetal red blood cells,,,,,,,
584,mL/(10.h),milliliter per 10 hour,,,,,,,
585,mL/(12.h),milliliter per 12 hour,,,,,,,
586,mL/(2.h),milliliter per 2 hour,,,,,,,
587,mL/(24.h),milliliter per 24 hour,,,,,,,
588,mL/(4.h),milliliter per 4 hour,,,,,,,
589,mL/(5.h),milliliter per 5 hour,,,,,,,
590,mL/(6.h),milliliter per 6 hour,,,,,,,
591,mL/(72.h),milliliter per 72 hour,,,,,,,
592,mL/(8.h),milliliter per 8 hour,,,,,,,
593,mL/(8.h)/kg,milliliter per 8 hour per kilogram,,23-09-2014,v 1.3 released 9/26/2014,RG,459.0,mL(8.h)/kg,Corrected syntax to match narrative definition.
594,mL/cm[H2O],milliliter per centimeter of water,,,,,,,
595,mL/d,milliliter per day,,,,,,,
596,mL/dL,milliliter per deciliter,,,,,,,
597,mL/{beat},milliliter per heart beat,,,,,,,
598,mL/{beat}/m2,milliliter per heart beat per  square meter,,,,,,,
599,mL/h,milliliter per hour,,,,,,,
600,mL/kg,milliliter per kilogram,,,,,,,
601,mL/kg/(8.h),milliliter per kilogram per 8 hour,,,,,,,
602,mL/kg/d,milliliter per kilogram per day,,,,,,,
603,mL/kg/h,milliliter per kilogram per hour,,,,,,,
604,mL/kg/min,milliliter per kilogram per minute,,,,,,,
605,mL/mbar,milliliter per millibar,,,,,,,
606,mL/mm,milliliter per millimeter,,,,,,,
607,mL/min,milliliter per minute,,,,,,,
608,mL/min/{1.73_m2},milliliter per minute per 1.73 square meter,,,,,,,
609,mL/min/m2,milliliter per minute per square meter,,,,,,,
610,mL/s,milliliter per second,,,,,,,
611,mL/[sin_i],milliliter per square inch (international),,,,,,,
612,mL/m2,milliliter per square meter,,,,,,,
613,mm,millimeter,,,,,,,
614,mm[Hg],millimeter of mercury,Note:  1atm=760Torr=760mmHg=101kPa=101000Pa=14.7psi,,,,,,
615,mm[H2O],millimeter of water,,,,,,,
616,mm/h,millimeter per hour,,,,,,,
617,mm/min,millimeter per minute,,,,,,,
618,mmol,millimole,,,,,,,
619,mmol/(12.h),millimole per 12 hour,,,,,,,
620,mmol/(2.h),millimole per 2 hour,,,,,,,
621,mmol/(24.h),millimole per 24 hour,,,,,,,
622,mmol/(5.h),millimole per 5 hour,,,,,,,
623,mmol/(6.h),millimole per 6 hour,,,,,,,
624,mmol/(8.h),millimole per 8 hour,,,,,,,
625,mmol/d,millimole per day,,,,,,,
626,mmol/dL,millimole per deciliter,,,,,,,
627,mmol/{ejaculate},millimole per ejaculate,,,,,,,
628,mmol/g,millimole per gram,,,,,,,
629,mmol/g{creat},millimole per gram of creatinine,,,,,,,
630,mmol/h,millimole per hour,,,,,,,
631,mmol/h/mg{Hb},millimole per hour per milligram of hemoglobin,,,,,,,
632,mmol/h/mg{prot},millimole per hour per milligram of protein,,30-07-2014,v 1.3 released 9/26/2014,RG,498.0,mmol/h/mg{protein},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
633,mmol/kg,millimole per kilogram,,,,,,,
634,mmol/kg/(8.h),millimole per kilogram per 8 hour,,,,,,,
635,mmol/kg/d,millimole per kilogram per day,,,,,,,
636,mmol/kg/h,millimole per kilogram per hour,,,,,,,
637,mmol/kg/min,millimole per kilogram per minute,,,,,,,
638,mmol/L,millimole per liter,,,,,,,
639,mmol/L{RBCs},millimole per liter of red blood cells,,,,,,,
640,mmol/mmol,millimole per millimole,,,,,,,
641,mmol/mmol{urea},millimole per millimole of urea,,,,,,,
642,mmol/mmol{creat},millimole per millmole of creatinine,,,,,,,
643,mmol/min,millimole per minute,,,,,,,
644,mmol/mol,millimole per mole,,,,,,,
645,mmol/mol{creat},millimole per mole of creatinine,,,,,,,
646,mmol/s/L,millimole per second per liter,,,,,,,
647,mmol/{specimen},millimole per specimen,,,,,,,
648,mmol/m2,millimole per square meter,,,,,,,
649,mmol/{total_vol},millimole per total volume,,,,,,,
650,10*6,million,,,,,,,
651,10*6.[CFU]/L,million colony forming unit per liter,,,,,,,
652,10*6.[IU],million international unit,,,,,,,
653,10*6/(24.h),million per 24 hour,,,,,,,
654,10*6/kg,million per kilogram,,,,,,,
655,10*6/L,million per liter,,,,,,,
656,10*6/uL,million per microliter,,,,,,,
657,10*6/mL,million per milliliter,,,,,,,
658,mosm,milliosmole,,,,,,,
659,mosm/kg,milliosmole per kilogram,,,,,,,
660,mosm/L,milliosmole per liter,,,,,,,
661,mPa,millipascal,,,,,,,
662,mPa.s,millipascal second,,,,,,,
663,ms,millisecond,,,,,,,
664,mV,millivolt,,,,,,,
665,mV/s,millivolt per second,,,,,,,
666,{minidrop}/min,minidrop per minute,,,,,,,
667,{minidrop}/s,minidrop per second,,,,,,,
668,min,minute,,,,,,,
669,min/d,minute per day,,,,,,,
670,min/wk,minute per week,,,,,,,
671,mol,mole,,,,,,,
672,mol/m3,mole per cubic meter,,,,,,,
673,mol/kg,mole per kilogram,,,,,,,
674,mol/kg/s,mole per kilogram per second,,,,,,,
675,mol/L,mole per liter,,,,,,,
676,mol/mL,mole per milliliter,,,,,,,
677,mol/mol,mole per mole,,,,,,,
678,mol/s,mole per second,,,,,,,
679,{#}/{platelet},molecule per platelet,,30-07-2014,v 1.3 released 9/26/2014,RG,543.0,{molecule}/{platelet},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
680,mo,month,,,,,,,
681,{mm/dd/yyyy},month-day-year,,,,,,,
682,{M.o.M},multiple of the median,,,,,,,
683,{mutation},mutation,,,,,,,
684,nU/mL,nanoenzyme unit per milliliter,,,,,,,
685,nU/{RBC},nanoenzyme unit per red blood cell,,,,,,,
686,ng,nanogram,,,,,,,
687,ng{FEU}/mL,nanogram fibrinogen equivalent unit per milliliter ,,,,,,,
688,ng/(24.h),nanogram per 24 hour,,,,,,,
689,ng/(8.h),nanogram per 8 hour,,,,,,,
690,ng/d,nanogram per day,,,,,,,
691,ng/dL,nanogram per deciliter,,,,,,,
692,ng/U,nanogram per enzyme unit,,,,,,,
693,ng/g,nanogram per gram,,,,,,,
694,ng/g{creat},nanogram per gram of creatinine,,,,,,,
695,ng/h,nanogram per hour,,,,,,,
696,ng/kg,nanogram per kilogram,,,,,,,
697,ng/kg/(8.h),nanogram per kilogram per 8 hour,,,,,,,
698,ng/kg/h,nanogram per kilogram per hour,,,,,,,
699,ng/kg/min,nanogram per kilogram per minute,,,,,,,
700,ng/L,nanogram per liter,,,,,,,
701,ng/mg,nanogram per milligram,,,,,,,
702,ng/mg{creat},nanogram per milligram of creatinine,,,,,,,
703,ng/mg{prot},nanogram per milligram of protein,,30-07-2014,v 1.3 released 9/26/2014,RG,567.0,ng/mg{protein},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
704,ng/mg/h,nanogram per milligram per hour,,,,,,,
705,ng/mL{RBCs},nanogram per milliliter of red blood cells,,,,,,,
706,ng/mL/h,nanogram per milliliter per hour,,,,,,,
707,ng/10*6,nanogram per million,,,,,,,
708,ng/10*6{RBCs},nanogram per million red blood cells,,,,,,,
709,ng/mL,nanogram per millliiter,,,,,,,
710,ng/min,nanogram per minute,,,,,,,
711,ng/s,nanogram per second,,,,,,,
712,ng/m2,nanogram per square meter,,,,,,,
713,nkat,nanokatal,,,,,,,
714,nL,nanoliter,,,,,,,
715,nm,nanometer,,,,,,,
716,nm/s/L,nanometer per second per liter,,,,,,,
717,nmol,nanomole,,,,,,,
718,nmol{BCE},nanomole bone collagen equivalent,,,,,,,
719,nmol{BCE}/L,nanomole bone collagen equivalent per liter,,,,,,,
720,nmol/mmol{creat},nanomole bone collagen equivalent per millimole of creatinine,,30-07-2014,v 1.3 released 9/26/2014,RG,584.0,nmol{BCE}/mmol{creat},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
721,nmol/mg{prot},nanomole of 1/2 cystine per milligram of protein,,30-07-2014,v 1.3 released 9/26/2014,RG,585.0,nmol{1/2cys}/mg{protein},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
722,nmol{ATP},nanomole of ATP ,,,,,,,
723,nmol/(24.h),nanomole per 24 hour,,,,,,,
724,nmol/d,nanomole per day,,,,,,,
725,nmol/dL,nanomole per deciliter,,,,,,,
726,nmol/dL{GF},nanomole per deciliter of glomerular filtrate,,,,,,,
727,nmol/g,nanomole per gram,,,,,,,
728,nmol/g{creat},nanomole per gram of creatinine,,,,,,,
729,nmol/g{dry_wt},nanomole per gram of dry weight,,,,,,,
730,nmol/h/L,nanomole per hour per liter,,,,,,,
731,nmol/h/mg{prot},nanomole per hour per milligram of protein,,30-07-2014,v 1.3 released 9/26/2014,RG,595.0,nmol/h/mg{protein},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
732,nmol/h/mL,nanomole per hour per milliliter,,,,,,,
733,nmol/L,nanomole per liter,,,,,,,
734,nmol/L{RBCs},nanomole per liter of red blood cells,,,,,,,
735,nmol/L/mmol{creat},nanomole per liter per millimole of creatinine,,,,,,,
736,nmol/m/mg{prot},nanomole per meter per milligram of protein,,30-07-2014,v 1.3 released 9/26/2014,RG,599.0,nmol/m/mg{protein},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
737,nmol/umol{creat},nanomole per micromole  of creatinine,,,,,,,
738,nmol/mg,nanomole per milligram,,,,,,,
739,nmol/mg{creat},nanomole per milligram of creatinine,,,,,,,
740,nmol/mg{prot},nanomole per milligram of protein,,30-07-2014,v 1.3 released 9/26/2014,RG,603.0,nmol/mg{protein},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
741,nmol/mg{prot}/h,nanomole per milligram of protein per hour,,30-07-2014,v 1.3 released 9/26/2014,RG,604.0,nmol/mg{protein}/h,abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
742,nmol/mg/h,nanomole per milligram per hour,,,,,,,
743,nmol/mL,nanomole per milliliter,,,,,,,
744,nmol/mL/h,nanomole per milliliter per hour,,,,,,,
745,nmol/mL/min,nanomole per milliliter per minute,,,,,,,
746,nmol/mmol,nanomole per millimole,,,,,,,
747,nmol/mmol{creat},nanomole per millimole of creatinine,,,,,,,
748,nmol/min,nanomole per minute,,,,,,,
749,nmol/min/mg{Hb},nanomole per minute per milligram of hemoglobin,,,,,,,
750,nmol/min/mg{prot},nanomole per minute per milligram of protein,,30-07-2014,v 1.3 released 9/26/2014,RG,613.0,nmol/min/mg{protein},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
751,nmol/min/mg{protein},nanomole per minute per milligram protein,,,,,,,
752,nmol/min/mL,nanomole per minute per milliliter,,,,,,,
753,nmol/min/10*6{cells},nanomole per minute per million cells,,,,,,,
754,nmol/mol,nanomole per mole,,,,,,,
755,nmol/mol{creat},nanomole per mole creatinine,,,,,,,
756,nmol/nmol,nanomole per nanomole,,,,,,,
757,nmol/s,nanomole per second,,,,,,,
758,nmol/s/L,nanomole per second per liter,,,,,,,
759,ns,nanosecond,,,,,,,
760,N,Newton,,,,,,,
761,N.cm,Newton centimeter,,,,,,,
762,N.s,Newton second,,,,,,,
763,{#},number,,,,,,,
764,{#}/a,number per annum (year),,,,,,,
765,{#}/d,number per day,,,,,,,
766,{#}/g,number per gram,,,,,,,
767,{#}/[HPF],number per high power field,,,,,,,
768,{#}/L,number per liter,,,,,,,
769,{#}/[LPF],number per low power field,,,,,,,
770,{#}/uL,number per microliter,,,,,,,
771,{#}/mL,number per milliliter,,,,,,,
772,{#}/min,number per minute,,,,,,,
773,{#}/wk,number per week,,,,,,,
774,Ohm,Ohm,,,,,,,
775,Ohm.m,Ohm meter,,,,,,,
776,10*5,one hundred thousand,,,,,,,
777,{OD_unit},optical density unit,,,,,,,
778,osm,osmole,,,,,,,
779,osm/kg,osmole per kilogram,,,,,,,
780,osm/L,osmole per liter,,,,,,,
781,[oz_av],ounce (US and British),,,,,,,
782,{Pan_Bio'U},panbio unit,,,,,,,
783,[ppb],part per billion,,,,,,,
784,[ppm],part per million,,,,,,,
785,[ppm]{v/v},part per million in volume per volume,,,,,,,
786,[ppth],part per thousand,,,,,,,
787,[pptr],part per trillion,,31-01-2014,v 1.2 released 2/6/2014,RG,646.0,[ppt],Added missing r
788,Pa,Pascal,,,,,,,
789,/10*10,per 10 billion  ,,,,,,,
790,/10*4{RBCs},per 10 thousand red blood cells,,,,,,,
791,/100,per 100,,,,,,,
792,/100{cells},per 100 cells,,,,,,,
793,/100{neutrophils},per 100 neutrophils,,,,,,,
794,/100{spermatozoa},per 100 spermatozoa,,,,,,,
795,/100{WBCs},per 100 white blood cells,,,,,,,
796,/[arb'U],per arbitrary unit,,,,,,,
797,/10*9,per billion,,,,,,,
798,/cm[H2O],per centimeter of water,,,,,,,
799,/m3,per cubic meter,,,,,,,
800,/d,per day,,,,,,,
801,/dL,per deciliter,,,,,,,
802,/{entity},per entity,,,,,,,
803,/U,per enzyme unit,,,,,,,
804,/g,per gram,,,,,,,
805,/g{creat},per gram of creatinine,,,,,,,
806,/g{Hb},per gram of hemoglobin,,,,,,,
807,/g{tot_nit},per gram of total nitrogen,,,,,,,
808,/g{tot_prot},per gram of total protein,,,,,,,
809,/g{wet_tis},per gram of wet tissue,,,,,,,
810,/[HPF],per high power field,,,,,,,
811,/h,per hour,,,,,,,
812,/[IU],per international unit,,,,,,,
813,/kg,per kilogram,,,,,,,
814,/kg{body_wt},per kilogram of body weight,,,,,,,
815,/L,per liter,,,,,,,
816,/[LPF],per low power field,,,,,,,
817,/uL,per microliter,,,,,,,
818,/mg,per milligram,,,,,,,
819,/mL,per milliliter,,,,,,,
820,/mm,per millimeter,,,,,,,
821,/mmol{creat},per millimole of creatinine,,,,,,,
822,/10*6,per million,,,,,,,
823,/min,per minute,,,,,,,
824,/mo,per month,,,,,,,
825,/{OIF},per oil immersion field,,,,,,,
826,/s,per second,,,,,,,
827,/m2,per square meter,,,,,,,
828,/10*3,per thousand,,,,,,,
829,/10*3{RBCs},per thousand red blood cells,,,,,,,
830,/10*12,per trillion ,,,,,,,
831,/10*12{RBCs},per trillion red blood cells,,,,,,,
832,/(12.h),per twelve hour,,,,,,,
833,/wk,per week,,,,,,,
834,/a,per year,,,,,,,
835,%,percent,,,,,,,
836,%{loss_AChR},percent  loss of acetylcholine receptor,,,,,,,
837,%{penetration},percent  penetration,,,,,,,
838,%{abnormal},percent abnormal,,,,,,,
839,%{activity},percent activity,,,,,,,
840,%{aggregation},percent aggregation,,,,,,,
841,%{at_60_min},percent at 60 minute,,,,,,,
842,%{basal_activity},percent basal activity,,,,,,,
843,%{binding},percent binding,,,,,,,
844,%{blockade},percent blockade,,,,,,,
845,%{blocked},percent blocked,,,,,,,
846,%{bound},percent bound,,,,,,,
847,%{breakdown},percent breakdown,,,,,,,
848,%{vol},percent by volume,,,,,,,
849,%{deficient},percent deficient,,,,,,,
850,%{dose},percent dose,,,,,,,
851,%{excretion},percent excretion,,,,,,,
852,%{Hb},percent hemoglobin,,,,,,,
853,%{hemolysis},percent hemolysis,,,,,,,
854,%{index},percent index,,,,,,,
855,%{inhibition},percent inhibition,,,,,,,
856,%{loss},percent loss,,,,,,,
857,%{lysis},percent lysis,,,,,,,
858,%{normal},percent normal,,,,,,,
859,%{pooled_plasma},percent normal pooled plasma,,30-07-2014,v 1.3 released 9/26/2014,RG,716.0,%{normal_pooled_plasma},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
860,%{bacteria},percent of bacteria,,,,,,,
861,%{baseline},percent of baseline,,,,,,,
862,%{cells},percent of cells,,,,,,,
863,%{RBCs},percent of red blood cells,,,,,,,
864,%{WBCs},percent of white blood cells,,,,,,,
865,%{positive},percent positive,,,,,,,
866,%{reactive},percent reactive,,,,,,,
867,%{recovery},percent recovery,,,,,,,
868,%{reference},percent reference,,,,,,,
869,%{residual},percent residual,,,,,,,
870,%{response},percent response,,,,,,,
871,%{saturation},percent saturation,,,,,,,
872,%{total},percent total,,,,,,,
873,%{uptake},percent uptake,,,,,,,
874,%{viable},percent viable,,,,,,,
875,{percentile},percentile,,,,,,,
876,[pH],pH,,,,,,,
877,{phenotype},phenotype,,,,,,,
878,pA,picoampere,,,,,,,
879,pg,picogram,,,,,,,
880,pg/{cell},picogram per cell,,,,,,,
881,pg/dL,picogram per deciliter,,,,,,,
882,pg/L,picogram per liter,,,,,,,
883,pg/mg,picogram per milligram,,,,,,,
884,pg/mg{creat},picogram per milligram of creatinine,,,,,,,
885,pg/mL,picogram per milliliter,,,,,,,
886,pg/mL{sLT},picogram per milliliter sulfidoleukotrienes,,,,,,,
887,pg/mm,picogram per millimeter,,,,,,,
888,pg/{RBC},picogram per red blood cell,,,,,,,
889,pkat,picokatal,,,,,,,
890,pL,picoliter,,,,,,,
891,pm,picometer,,,,,,,
892,pmol,picomole,,,,,,,
893,pmol/(24.h),picomole per 24 hour,,,,,,,
894,pmol/d,picomole per day,,,,,,,
895,pmol/dL,picomole per deciliter,,,,,,,
896,pmol/g,picomole per gram,,,,,,,
897,pmol/h/mg{prot},picomole per hour per milligram of protein,,30-07-2014,v 1.3 released 9/26/2014,RG,752.0,pmol/h/mg{protein},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
898,pmol/H/mg{protein},picomole per hour per milligram protein,,,,,,,
899,pmol/h/mL,picomole per hour per milliliter ,,,,,,,
900,pmol/L,picomole per liter,,,,,,,
901,pmol/umol,picomole per micromole,,,,,,,
902,pmol/umol{creat},picomole per micromole of creatinine,,,,,,,
903,pmol/mg{prot},picomole per milligram of protein,,30-07-2014,v 1.3 released 9/26/2014,RG,757.0,pmol/mg{protein},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
904,pmol/mL,picomole per milliliter,,,,,,,
905,pmol/mmol{creat},picomole per millimole of creatinine,,,,,,,
906,pmol/min,picomole per minute,,,,,,,
907,pmol/min/mg{prot},picomole per minute per milligram of protein,,30-07-2014,v 1.3 released 9/26/2014,RG,761.0,pmol/min/mg{protein},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
908,pmol/{RBC},picomole per red blood cell,,,,,,,
909,ps,picosecond,,,,,,,
910,pT,picotesla,,,,,,,
911,[pt_us],pint (US),,,,,,,
912,[lb_av],pound (US and British),,,,,,,
913,[psi],pound per square inch,,,,,,,
914,[qt_us],quart (US),,,,,,,
915,{ratio},ratio,,,,,,,
916,{RBC}/uL,red blood cell per microliter,,,,,,,
917,%{relative},relative percent,,,,,,,
918,{rel_saturation},relative saturation,,30-07-2014,v 1.3 released 9/26/2014,RG,772.0,{relative_saturation},abbreviated to shorten string to less than 20 characters to conform to HL7 prescribed field lengths
919,{risk},risk,,,,,,,
920,{Rubella_virus},rubella virus,,,,,,,
921,{saturation},saturation,,,,,,,
922,{score},score,,,,,,,
923,s,second,,,,,,,
924,s/{control},second per control,,,,,,,
925,{shift},shift,,,,,,,
926,S,Siemens,,,,,,,
927,Sv,Sievert,,,,,,,
928,{s_co_ratio},signal to cutoff ratio,,,,,,,
929,{spermatozoa}/mL,spermatozoa per milliliter,,,,,,,
930,cm2,square centimeter,,,,,,,
931,cm2/s,square centimeter per second,,,,,,,
932,dm2/s2,square decimeter per square second,,,,,,,
933,[sft_i],square foot (international),,,,,,,
934,[sin_i],square inch (international),,,,,,,
935,m2,square meter,,,,,,,
936,m2/s,square meter per second,,,,,,,
937,mm2,square millimeter,,,,,,,
938,[syd_i],square yard (international),,,,,,,
939,{STDV},standard deviation,,,,,,,
940,{Tscore},t score,,,,,,,
941,[tbs_us],tablespoon (US),,,,,,,
942,[tsp_us],teaspoon (US),,,,,,,
943,T,Tesla,,,,,,,
944,10*3,thousand,,,,,,,
945,10*3{copies}/mL,thousand copies per milliliter,,,,,,,
946,10*3/L,thousand per liter,,,,,,,
947,10*3/uL,thousand per microliter,,,,,,,
948,10*3/mL,thousand per milliliter,,,,,,,
949,10*3{RBCs},thousand red blood cells,,,,,,,
950,{TSI_index},thyroid-stimulating immunoglobulin index,,,,,,,
951,{TmStp},time stamp,,,,,,,
952,{titer},titer,,,,,,,
953,[todd'U],Todd unit,,31-01-2014,v 1.2 released 2/6/2014,RG,805.0,[ToddU],Changed apostrophe format from  to '
954,Torr,"Torr 
",Note:  1atm=760Torr=760mmHg=101kPa=101000Pa=14.7psi,,,,,,
955,10*12/L,trillion per liter,,,,,,,
956,[oz_tr],Troy ounce,,,,,,,
957,[tb'U],tuberculin unit,,,,,,,
958,V,volt,,,,,,,
959,Wb,Weber,,,,,,,
960,wk,week,,,,,,,
961,{WBCs},white blood cells,,,,,,,
962,[yd_i],yard (international),,,,,,,
963,a,year,,,,,,,
964,{yyyy},year,,,,,,,
965,{Zscore},z score,,,,,,,
966,{CARTRIDGE},cartridge dosing unit,,,,,,,
967,{cup},cup dosing unit,,,,,,,
968,{Ampule},ampule dosing unit,,,,,,,
969,{Tablet},tablet dosing unit,,,,,,,
970,{Pack},pack dosage form,,,,,,,
971,{CAN},can dosing unit,,,,,,,
972,{Capsule},capsule dosing unit,,,,,,,
973,{SPRAY},spray dosing unit,,,,,,,
974,{DROP},drop,,,,,,,
975,kBq/uL,kilobecquerel per microliter,,,,,,,
976,{PUFF},puff dosing unit,,,,,,,
977,{GLOBULE},globule unit,,,,,,,
