TOPIC_CD,adam_param_code,SDTM_DOMAIN,activity,activity_instance,specimen,laterality,location,legacy_description,sub_domain_class,GENERAL_DOMAIN_CLASS,stdm_codelist,sdtm_variable,sdtm_cat,sdtm_sub_cat,std_unit,unit_dimension,molecular_weight,si_unit,us_conv_unit
ACUTE_KIDNEY_INJURY_RENAL_VEIN_THROMBOSIS,AKIREVET,FA,Acute Kidney Injury - Renal Vein Thrombosis,Acute Kidney Injury - Renal Vein Thrombosis,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Renal vein thrombosis",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Renal Vein Thrombosis,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_RENAL_VEIN_THROMBOSIS,AKIREVET,FA,Acute Kidney Injury - Renal Vein Thrombosis,Acute Kidney Injury - Renal Vein Thrombosis,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Renal vein thrombosis",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIREVET,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_SYSTEMIC_AUTOIMMUNE DISEASE,AKISYAUD,FA,Acute Kidney Injury - Systemic Autoimmune Disease,Acute Kidney Injury - Systemic Autoimmune Disease,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Systemic autoimmune disease",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Systemic Autoimmune Disease,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_SYSTEMIC_AUTOIMMUNE DISEASE,AKISYAUD,FA,Acute Kidney Injury - Systemic Autoimmune Disease,Acute Kidney Injury - Systemic Autoimmune Disease,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Systemic autoimmune disease",CATEGORIC FINDING,FINDINGS,FATESTCD,AKISYAUD,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_ULTRASOUND,AKIULTRA,FA,Acute Kidney Injury - Ultrasound Performed,Acute Kidney Injury - Ultrasound Performed,,,,"Acute Kidney Injury: Was imaging performed in relation to the event: 
Ultrasound",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Ultrasound,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY IMAGING,,,,,
ACUTE_KIDNEY_INJURY_ULTRASOUND,AKIULTRA,FA,Acute Kidney Injury - Ultrasound Performed,Acute Kidney Injury - Ultrasound Performed,,,,"Acute Kidney Injury: Was imaging performed in relation to the event: 
Ultrasound",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIULTRA,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY IMAGING,,,,,
ACUTE_KIDNEY_INJURY_URINE_VOLUME_FOR_6_HOURS,AKIUV6HU,FA,Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,URINE,,,"Acute Kidney Injury: How did the event present itself. 
Urine volume < 0.5 mL/kg/h for 6 hours",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Urine Vol < 0.5 mL/kg/h for 6 Hours,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY PRESENT,,,,,
ACUTE_KIDNEY_INJURY_URINE_VOLUME_FOR_6_HOURS,AKIUV6HU,FA,Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,URINE,,,"Acute Kidney Injury: How did the event present itself. 
Urine volume < 0.5 mL/kg/h for 6 hours",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIUV6H,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY PRESENT,,,,,
ACUTE_KIDNEY_INJURY_VOLUME_DEPLETION_OTHER_THAN_GASTROINTESTINAL_SYMPTOMS,AKIVDOTG,FA,Acute Kidney Injury - Volume Depletion Reasons than Gastrointestinal Symptoms,Acute Kidney Injury - Volume Depletion Reasons than Gastrointestinal Symptoms,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Volume depletion for other reasons than gastrointestinal symptoms",CATEGORIC FINDING,FINDINGS,FATEST,AKI-Volume Depletion Not GI Symptoms,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ACUTE_KIDNEY_INJURY_VOLUME_DEPLETION_OTHER_THAN_GASTROINTESTINAL_SYMPTOMS,AKIVDOTG,FA,Acute Kidney Injury - Volume Depletion Reasons than Gastrointestinal Symptoms,Acute Kidney Injury - Volume Depletion Reasons than Gastrointestinal Symptoms,,,,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Volume depletion for other reasons than gastrointestinal symptoms",CATEGORIC FINDING,FINDINGS,FATESTCD,AKIVDOTG,AE REQUIRING ADDITIONAL DATA,ACUTE KIDNEY INJURY CONDITIONS,,,,,
ADJUDICATION OUTCOME,ADJOUT,ZA,Adjudication Outcome,Adjudication Outcome,,,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS,ZATEST,Adjudication Outcome,EVENT ADJUDICATION,,,,,,
ADJUDICATION OUTCOME,ADJOUT,ZA,Adjudication Outcome,Adjudication Outcome,,,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS,ZATESTCD,ADJOUT,EVENT ADJUDICATION,,,,,,
ADVERSE EVENT,AE,AE,Adverse Event,Adverse Event,,,,"Any untoward medical occurrence in a patient or clinical investigation subject administered a pharmaceutical product and which does not necessarily have to have a causal relationship with this treatment.
An AE can therefore be any unfavourable and unintended sign (including an abnormal laboratory finding, for example), symptom, or disease temporally associated with the use of a medicinal product, whether or not considered related to the medicinal product.
Note: This includes events from the first trial related activity after the subject has signed the informed consent and
until post treatment follow-up period as defined in the protocol. (SOP 110072 List of Roles/Groups and Definitions within Clinical Research and Observational Studies)",ADVERSE EVENT,EVENTS,NO_LINKAGE_NEEDED,No Linkage Needed,ADVERSE EVENT,ADVERSE EVENT,,,,,
ALBUMIN,ALB,LB,Albumin,Albumin,,,,"Albumin

For Lab codes in AE Requiring Additional Data, there should be no SCATs",NUMERIC FINDING,FINDINGS,LBTEST,Albumin,AE REQUIRING ADDITIONAL DATA,,g/L,CONCENTRATION,67000.0,g/L,
ALBUMIN IN URINE,ALBU2,LB,Albumin,Urinary albumin excretion,URINE,,,"Urine albumin excretion.
Code: C64431
CDISC: A measurement of the albumin protein in a biological specimen.
CDISC Synonym(s): Albumin
CDISC Submission Value: ALB
NCI Preferred Term: ALB",TEXTUAL FINDING,FINDINGS,LBTEST,Albumin,AE REQUIRING ADDITIONAL DATA,RENAL EVENT,,,,,
ALBUMIN_CREATINE_RATIO,ALBCRAT,LB,Albumin/Creatinine,Albumin/Creatinine,,,,"CDISC: C74761
A relative measurement (ratio) of the albumin to the creatinine in a biological specimen.",NUMERIC FINDING,FINDINGS,LBTEST,Albumin/Creatinine,AE REQUIRING ADDITIONAL DATA,,mg/mmol,CONCENTRATION,,,
ALBUMIN_CREAT_URINE,ALBCRTU,LB,Albumin/Creatinine,Albumin/Creatinine Ratio,URINE,,,"Albumin/creatinine ratio in urine
CDISC code: C74761
CDISC submission value: ALBCREAT
CDISC synonym(s): Albumin/Creatinine; Microalbumin/Creatinine Ratio
CDISC Description: A relative measurement (ratio or percentage) of the albumin to the creatinine in a biological specimen.
NCI preferred term: Albumin To Creatinine Protein Ratio Measurement

Convert values collected  in mg/g to values in mg/mmol by dividing with 8,84",NUMERIC FINDING,FINDINGS,LBTEST,Albumin/Creatinine,URINALYSIS,,mg/mmol,CONCENTRATION,,g/L,mg/g
ALBUMIN_N_URINE,ALBU,LB,Albumin,Albumin Urine,URINE,,,"Molecular Weight (MW): Confirmed by CHHE, Maaloev, 06-06-2013
Albumin in urine
Code: C64431
CDISC: A measurement of the albumin protein in a biological specimen.
CDISC Synonym(s): Albumin
CDISC Submission Value: ALB
NCI Preferred Term: ALB",NUMERIC FINDING,FINDINGS,LBTEST,Albumin,URINALYSIS,,mg/L,CONCENTRATION,67000.0,g/L,
ALBUMIN_SERUM,ALBS,LB,Albumin,Albumin,SERUM,,,"Albumin in serum
CDISC code: C64431
CDISC submission value: ALB
CDISC synonym(s): Albumin; Microalbumin
CDISC Description: A measurement of the albumin protein in a biological specimen.
NCI preferred term: Albumin Measurement",NUMERIC FINDING,FINDINGS,LBTEST,Albumin,BIOCHEMISTRY,,g/dL,CONCENTRATION,67000.0,g/L,g/L
ALP,ALP,LB,Alkaline Phosphatase,Alkaline Phosphatase,,,,"A measurement of the alkaline phosphatase in a biological specimen.
NCI preferred term: Alkaline Phosphatase Measurement",NUMERIC FINDING,FINDINGS,LBTEST,Alkaline Phosphatase,AE REQUIRING ADDITIONAL DATA,,IU/L,U_IU Concentration,,ukat/L,
ALT,ALT,LB,Alanine Aminotransferase,Alanine Aminotransferase,,,,"A measurement of the alanine aminotransferase in a biological specimen.
NCI preferred term: Alanine Aminotransferase Measurement",NUMERIC FINDING,FINDINGS,LBTEST,Alanine Aminotransferase,AE REQUIRING ADDITIONAL DATA,,U/L,U_IU Concentration,,ukat/L,
ALT_SERUM,ALTS,LB,Alanine Aminotransferase,Alanine Aminotransferase,SERUM,,,"Alanine Aminotransferase in Serum
CDISC code: C64433
CDISC submission value: ALT
CDISC synonym(s): Alanine Aminotransferase; SGPT
CDISC Description: A measurement of the alanine aminotransferase in a biological specimen.
NCI preferred term: Alanine Aminotransferase Measurement",NUMERIC FINDING,FINDINGS,LBTEST,Alanine Aminotransferase,BIOCHEMISTRY,,U/L,U_IU Concentration,,ukat/L,
AMMONIA,AMMONIA,LB,Ammonia,Ammonia,,,,A measurement of the ammonia; NH3,NUMERIC FINDING,FINDINGS,LBTEST,Ammonia,AE REQUIRING ADDITIONAL DATA,,mg/L,CONCENTRATION,,,
AMYLASE,AMYLASE,LB,Amylase,Amylase,,,,"CDISC code: C64434
CDISC submission value: AMYLASE
CDISC synonym(s): Amylase
CDISC definition: A measurement of the total enzyme amylase in a biological specimen.
NCI preferred term: Amylase Measurement",NUMERIC FINDING,FINDINGS,LBTEST,Amylase,AE REQUIRING ADDITIONAL DATA,,U/L,U_IU Concentration,,ukat/L,
AMYLASE_SERUM,AMYLAES,LB,Amylase,Amylase,SERUM,,,"Amylase in serum
CDISC code: C64434
CDISC submission value: AMYLASE
CDISC synonym(s): Amylase
CDISC Description: A measurement of the total enzyme amylase in a biological specimen.
NCI preferred term: Amylase Measurement",NUMERIC FINDING,FINDINGS,LBTEST,Amylase,BIOCHEMISTRY,,U/L,U_IU Concentration,,ukat/L,
AP_SERUM,ALPS,LB,Alkaline Phosphatase,Alkaline Phosphatase,SERUM,,,"Alkaline phosphatase in serum
CDISC code: C64432
CDISC submission value: ALP
CDISC synonym(s): Alkaline Phosphatase
CDISC Description: A measurement of the alkaline phosphatase in a biological specimen.
NCI preferred term: Alkaline Phosphatase Measurement",NUMERIC FINDING,FINDINGS,LBTEST,Alkaline Phosphatase,BIOCHEMISTRY,,U/L,U_IU Concentration,,ukat/L,
AST,AST,LB,Aspartate Aminotransferase,Aspartate Aminotransferase,,,,"A measurement of the aspartate aminotransferase in a biological specimen.
NCI preferred term: Aspartate Aminotransferase Measurement",NUMERIC FINDING,FINDINGS,LBTEST,Aspartate Aminotransferase,AE REQUIRING ADDITIONAL DATA,,U/L,U_IU Concentration,,ukat/L,
AST_SERUM,ASTS,LB,Aspartate Aminotransferase,Aspartate Aminotransferase,SERUM,,,"CDISC code: C64467
CDISC submission value: AST/Aspartate Aminotransferase
CDISC synonym(s): Aspartate Aminotransferase; SGOT
CDISC definition: A measurement of the aspartate aminotransferase in a biological specimen.
NCI preferred term: Aspartate Aminotransferase Measurement",NUMERIC FINDING,FINDINGS,LBTEST,Aspartate Aminotransferase,BIOCHEMISTRY,,U/L,U_IU Concentration,,ukat/L,
BG_SUPER_GL_ANALYZER,BGSUPGLA,LB,Glucose,BG Super GL analyzer,,,,A measurement of the glucose in blood.,NUMERIC FINDING,FINDINGS,LBTEST,Glucose,GLUCOSE METABOLISM,,mmol/L,CONCENTRATION,180.2,,mg/dL
BILDIR,BILDIR,LB,Direct Bilirubin,Direct Bilirubin,,,,"CDISC code: C64481
CDISC submission value: BILDIR 
CDISC synonym(s): Direct Bilirubin 
CDISC definition: A measurement of the conjugated or water-soluble bilirubin in a biological specimen.
NCI preferred term: Direct Bilirubin Measurement",NUMERIC FINDING,FINDINGS,LBTEST,Direct Bilirubin,AE REQUIRING ADDITIONAL DATA,,umol/L,CONCENTRATION,584.66,umol/L,
BILI,BILI,LB,Bilirubin,Bilirubin,,,,"A measurement of the total bilirubin in a biological specimen.
NCI preferred term: Total Bilirubin Measurement",NUMERIC FINDING,FINDINGS,LBTEST,Bilirubin,AE REQUIRING ADDITIONAL DATA,,umol/L,CONCENTRATION,584.66,umol/L,
BILIND,BILIND,LB,Indirect Bilirubin,Indirect Bilirubin,,,,"CDISC code: C64483
CDISC submission value: BILIND
CDISC synonym(s): Indirect Bilirubin 
CDISC definition: A measurement of the unconjugated or non-water-soluble bilirubin in a biological specimen.
NCI preferred term: Indirect Bilirubin Measurement",NUMERIC FINDING,FINDINGS,LBTEST,Indirect Bilirubin,AE REQUIRING ADDITIONAL DATA,,umol/L,CONCENTRATION,584.66,umol/L,
BILIRUBIN_SERUM,BILIS3,LB,Bilirubin,Bilirubin,SERUM,,,"CDISC code: C38037
CDISC submission value: BILI
CDISC synonym(s): Bilirubin; Total Bilirubin
CDISC Description: A measurement of the total bilirubin in a biological specimen.
NCI preferred term: Total Bilirubin Measurement",NUMERIC FINDING,FINDINGS,LBTEST,Bilirubin,BIOCHEMISTRY,,umol/L,CONCENTRATION,584.66,,mg/dL
BILIRUBIN_URINE,BILIU2,LB,Bilirubin,Bilirubin urine,URINE,,,"CDISC:A measurement of the total bilirubin in a biological specimen.
CDISC synonym: Bilirubin
CDISC preferred term: BILI
CDISC code: C38037",CATEGORIC FINDING,FINDINGS,LBTEST,Bilirubin,URINALYSIS,,,,,,
BILI_UR,BILIU,LB,Bilirubin,Bilirubin dipstick,URINE,,,Sponsordefined: The investigators evaluation of a measurement of the total bilirubin in urine,CATEGORIC FINDING,FINDINGS,LBTEST,Bilirubin,URINALYSIS,,,,,,
BLOOD_SAMPLES_COLLECTED,BLOODCLB,LB,Have all blood samples been taken,Have all blood samples been taken,BLOOD,,,"<CodeLists>
<CodeList Value=""LBTEST"" CodeSubmValue=""Have all samples been taken"" SpecimenType=""BLOOD""></CodeList>
<CodeList Value=""LBTESTCD"" CodeSubmValue=""LBALL""></CodeList>
</CodeLists>
Have all blood samples been taken?",CATEGORIC FINDING,FINDINGS,LBTEST,Have All Samples Been Taken,COLLECTION OF SAMPLES,,,,,,
BLOOD_SAMPLES_COLLECTED,BLOODCLB,LB,Have all blood samples been taken,Have all blood samples been taken,BLOOD,,,"<CodeLists>
<CodeList Value=""LBTEST"" CodeSubmValue=""Have all samples been taken"" SpecimenType=""BLOOD""></CodeList>
<CodeList Value=""LBTESTCD"" CodeSubmValue=""LBALL""></CodeList>
</CodeLists>
Have all blood samples been taken?",CATEGORIC FINDING,FINDINGS,LBTESTCD,LBALL,COLLECTION OF SAMPLES,,,,,,
BLOOD_UREA_NITROGEN,UREANB,LB,Urea Nitrogen,Urea Nitrogen,BLOOD,,,"CDISC: C125949
A measurement of the urea nitrogen in a biological specimen.

For Lab codes in AE Requiring Additional Data, there should be no SCATS",NUMERIC FINDING,FINDINGS,LBTEST,Urea Nitrogen,AE REQUIRING ADDITIONAL DATA,,mg/dL,CONCENTRATION,,,
BODY_TEMPERATURE,TEMP,VS,Temperature,Body Temperature,,,,"CDISC code: C25206
CDISC Submission Value: TEMP
CDISC: The property of a body or region of space that determines whether or not there will be a net flow of heat into it or out of it from a neighboring body or region and in which direction (if any) the heat will flow, perceptible by living organism as a somatic sensation of cold or heat. It is a measure of the average translational kinetic energy associated with the disordered microscopic motion of atoms and molecules. Temperature is measured in one of the three standard temperature scales: Celsius, Kelvin, and Fahrenheit. (NCI)",NUMERIC FINDING,FINDINGS,VSTEST,Temperature,VITAL SIGNS,,C,TEMPERATURE,,K,
BODY_WEIGHT,WEIGHT,VS,Weight,Body Weight,,,,"CDISC code: C25208
CDISC submission value: WEIGHT
CDISC synonym(s): Weight
CDISC Description: The vertical force exerted by a mass as a result of gravity. (NCI)
NCI preferred term: Weight",NUMERIC FINDING,FINDINGS,VSTEST,Weight,BODY MEASUREMENT,,kg,WEIGHT,,kg,lb
BP_DIASTOLIC,DIABP,VS,Diastolic Blood Pressure,Diastolic Blood Pressure,,,,"CDISC code: C25299
CDISC submission value: DIABP
CDISC synonym(s): Diastolic Blood Pressure
CDISC Description: The blood pressure after the contraction of the heart while the chambers of the heart refill with blood. (NCI)
NCI preferred term: Diastolic Blood Pressure",NUMERIC FINDING,FINDINGS,VSTEST,Diastolic Blood Pressure,VITAL SIGNS,,mmHg,PRESSURE,,mmHg,
BP_SYSTOLIC,SYSBP,VS,Systolic Blood Pressure,Systolic Blood Pressure,,,,"CDISC code: C25298
CDISC submission value: SYSBP
CDISC synonym(s): Systolic Blood Pressure
CDISC Description: The blood pressure during the contraction of the left ventricle of the heart.
NCI preferred term: Systolic Blood Pressure",NUMERIC FINDING,FINDINGS,VSTEST,Systolic Blood Pressure,VITAL SIGNS,,mmHg,PRESSURE,,mmHg,
CAUSE OF DEATH,CAUSEDEA,ZA,Cause of Death,Cause of Death,,,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS,ZATEST,Cause of Death,EVENT ADJUDICATION,,,,,,
CAUSE OF DEATH,CAUSEDEA,ZA,Cause of Death,Cause of Death,,,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS,ZATESTCD,CAUSEDEA,EVENT ADJUDICATION,,,,,,
CGM_SENSOR_VALUE,GLUC02,LB,Glucose,CGM - Sensor value,,,,"Continous Glucose Monitoring - Sensor value
CDISC Submission value: GLUC
CDISC synonym: Glucose
CDISC code: C105585
CDISC definition: A measurement of the glucose in a biological specimen.",NUMERIC FINDING,FINDINGS,LBTEST,Glucose,CGM,,mmol/L,CONCENTRATION,180.2,,mg/dL
CHARACTERISTIC_IMAGING_FINDINGS,IMAGFIND,ZA,Imaging Findings Characteristic of Pancreatitis,Imaging Findings Characteristic of Pancreatitis,,,,Imaging findings characteristic of pancreatitis,CATEGORIC FINDING,FINDINGS,ZATEST,Imaging Characteristic of Pancreatitis,EVENT ADJUDICATION,,,,,,
CHARACTERISTIC_IMAGING_FINDINGS,IMAGFIND,ZA,Imaging Findings Characteristic of Pancreatitis,Imaging Findings Characteristic of Pancreatitis,,,,Imaging findings characteristic of pancreatitis,CATEGORIC FINDING,FINDINGS,ZATESTCD,IMAGFIND,EVENT ADJUDICATION,,,,,,
CHILDBEARING_POTENTIAL,CHILDPOT,RP,Childbearing Potential,Is the Subject of Childbearing Potential,,,,"SDTM Terminology 2017-06-30
Code:C106508
CDISC Code Value: CHILDPOT
CDISC Value Label: Childbearing Potential
CDISC synonym(s): Childbearing Potential
CDISC definition: An indicator as to whether the female subject has the potential to become pregnant. (NCI)
NCI preferred term: Childbearing Potential",CATEGORIC FINDING,FINDINGS,RPTEST,Childbearing Potential,,,,,,,
CLASSIFICATION OF MYOCARDIAL INFARCTION,CLASSMYF,ZA,Classification of Myocardial Infarction,Classification of Myocardial Infarction,,,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS,ZATEST,Classification of Myocardial Infarction,EVENT ADJUDICATION,,,,,,
CLASSIFICATION OF MYOCARDIAL INFARCTION,CLASSMYF,ZA,Classification of Myocardial Infarction,Classification of Myocardial Infarction,,,,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDING,FINDINGS,ZATESTCD,CLASSMYF,EVENT ADJUDICATION,,,,,,
CREATININE_CLEARANCE,CREATCLR,LB,Creatinine Clearance,Creatinine Clearance,,,,"CDISC: C25747
A measurement of the volume of serum or plasma that would be cleared of creatinine by excretion of urine for a specified unit of time (e.g. one minute).",NUMERIC FINDING,FINDINGS,LBTEST,Creatinine Clearance,AE REQUIRING ADDITIONAL DATA,,mL/min,FLOW,,,
CREATININE_SERUM,CREATS,LB,Creatinine,Creatinine,SERUM,,,"Creatinine in serum
CDISC code: C64547
CDISC submission value: CREAT
CDISC synonym(s): Creatinine
CDISC Description: A measurement of the creatinine in a biological specimen.
NCI preferred term: Creatinine Measurement",NUMERIC FINDING,FINDINGS,LBTEST,Creatinine,BIOCHEMISTRY,,umol/L,CONCENTRATION,113.118,umol/L,mg/dL
CRP,CRP,LB,C Reactive Protein,C-Reactive Protein,,,,"A measurement of the C reactive protein in a biological specimen.
NCI preferred term: C-Reactive Protein Measurement",NUMERIC FINDING,FINDINGS,LBTEST,C Reactive Protein,AE REQUIRING ADDITIONAL DATA,,mg/L,CONCENTRATION,,mg/L,
CRP_HS_SERUM,CRPS,LB,C Reactive Protein,High Sensitive C-Reactive Protein,SERUM,,,"CDISC code: C64548
CDISC submission value: CRP
CDISC synonym(s): C Reactive Protein
CDISC Description: A measurement of the C reactive protein in a biological specimen.
NCI preferred term: C-Reactive Protein Measurement",NUMERIC FINDING,FINDINGS,LBTEST,C Reactive Protein,BIOCHEMISTRY,,mg/L,CONCENTRATION,105000.0,mg/L,
CYSTATIN_C,CYSTATC,LB,Cystatin C,Cystatin C,,,,A measurement of the cystatin C in a biological specimen.,NUMERIC FINDING,FINDINGS,LBTEST,Cystatin C,AE REQUIRING ADDITIONAL DATA,,ug/L,CONCENTRATION,,,
CYSTATIN_C,CYSTATC,LB,Cystatin C,Cystatin C,,,,A measurement of the cystatin C in a biological specimen.,NUMERIC FINDING,FINDINGS,LBTESTCD,CYSTATC,AE REQUIRING ADDITIONAL DATA,,ug/L,CONCENTRATION,,,
C_PEPTIDE_SERUM,CPEPTES,LB,C-peptide,C-peptide,SERUM,,,"CDISC code: C74736
CDISC submission value: CPEPTIDE
CDISC synonym(s): C-peptide
CDISC Description: A measurement of the C (connecting) peptide of insulin in a biological specimen.
NCI preferred term: C-peptide Measurement
<molecularweight checked_with_Maaloev=""Y"" molecular_formula=C129H211N35O48></molecularweight>",NUMERIC FINDING,FINDINGS,LBTEST,C-peptide,GLUCOSE METABOLISM,,nmol/L,CONCENTRATION,3020.0,,ng/mL
C_REACT_PROT_PLASMA,CRPP,LB,C Reactive Protein,C-Reactive Protein Plasma,PLASMA,,,"CDISC: A measurement of the C reactive protein in a biological specimen.
CDIS synonym: C Reactive Protein
CDISC submission value: CRP
CDISC: preferred term: CRP 
Code: C64548",NUMERIC FINDING,FINDINGS,LBTEST,C Reactive Protein,BIOCHEMISTRY,,mg/L,CONCENTRATION,,mg/L,
DATE_OF_BIRTH,BRTHDTC,,Date of Birth,Date of Birth,,,,"Date of birth of the subject.
variable name: BRTHDTC in subj. demographics domain",DISPOSITION,EVENTS,NO_LINKAGE_NEEDED,No Linkage Needed,DEMOGRAPHY,,,,,,
DEATH_LOCATION,DEATHLOC,ZA,Location of Death Occurrence,Location of Death Occurrence,,,,"Location of death occurrence:
Home
Hospital
Other
Unknown",CATEGORIC FINDING,FINDINGS,ZATEST,Death Location,EVENT ADJUDICATION,,,,,,
DEATH_LOCATION,DEATHLOC,ZA,Location of Death Occurrence,Location of Death Occurrence,,,,"Location of death occurrence:
Home
Hospital
Other
Unknown",CATEGORIC FINDING,FINDINGS,ZATESTCD,DEATHLOC,EVENT ADJUDICATION,,,,,,
EGFR_CKD_EPI_SERUM,GFRES2,LB,"Glomerular Filtration Rate, Estimated",eGFR Using CKD-EPI Formula,SERUM,,,"This code can both be used as derived and as non-derived. Please, see definition for both below:
The CKD-EPI equation, is (x indicates multiplication):
GFR = 141 x min(Scr/kappa,1)alpha x max(Scr/kappa, 1) -1.209 x 0.993 Age x 1.018 [if female] X 1.159 [if Black or Afro-American], where Scr is serum creatinine (mg/dL), kappa is 0.7 for females and 0.9 for males, alpha is 0.329 for females and 0.411 for males, min indicates the minimum of Scr/kappa or 1, and max indicates the maximum of Scr/kappa or 1.

Code:C110935
CDISC Code Value: GFRE
CDISC Value Label: Glomerular Filtration Rate, Estimated
CDISC synonym(s): Glomerular Filtration Rate, Estimated
CDISC definition:  A kidney function test that estimates the fluid volume that is filtered from the kidney glomeruli to the Bowman's capsule per unit of time.
NCI preferred term: Estimated Glomerular Filtration Rate",NUMERIC FINDING,FINDINGS,LBTEST,"Glomerular Filtration Rate, Estimated",BIOCHEMISTRY,,mL/min/1.73m2,VOLUMETRIC FLOW RATE,,mL/s/m2,
ELEVATED_BLOOD_LEVELS_OF_PANCREATIC_ENZYMES,LEVELENZ,ZA,"Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL","Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL",,,,"Elevated blood levels of pancreatic enzymes (lipase, amylase) >/= 3xUNL",CATEGORIC FINDING,FINDINGS,ZATEST,Elevated Pancreatic Enzymes,EVENT ADJUDICATION,,,,,,
ELEVATED_BLOOD_LEVELS_OF_PANCREATIC_ENZYMES,LEVELENZ,ZA,"Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL","Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL",,,,"Elevated blood levels of pancreatic enzymes (lipase, amylase) >/= 3xUNL",CATEGORIC FINDING,FINDINGS,ZATESTCD,LEVELENZ,EVENT ADJUDICATION,,,,,,
ELIGIBILITY CRITERIA MET,ELICRIMT,DS,Eligibility Criteria Met,Subject Eligible to Continue the Trial,,,,"Having evaluated all the criteria, the subject is eligible to continue the trial",DISPOSITION,EVENTS,PROTMLST,ELIGIBILITY CRITERIA MET,PROTOCOL MILESTONE,,,,,,
END_OF_TRIAL,EOT,DS,End of Study,End of Study,,,,End of Study,DISPOSITION,EVENTS,NO_LINKAGE_NEEDED,No Linkage Needed,DISPOSITION EVENT,,,,,,
EOSINOPHIL_ABS_BLOOD,EOSB,LB,Eosinophils,Eosinophils Blood,BLOOD,,,"Eosinophils count in blood
CDISC code: C64550
CDISC submission value: EOS
CDISC synonym(s): Eosinophils
CDISC Description: A measurement of the eosinophils in a biological specimen.
NCI preferred term: Eosinophil Count",NUMERIC FINDING,FINDINGS,LBTEST,Eosinophils,HAEMATOLOGY,DIFFERENTIAL COUNT,10^9/L,CELL COUNT,,10^9/L,
EOS_CELL_COUNT,EOS2,LB,Eosinophils,Eosinophils cell count (AE),,,,Eosinophils cell count,NUMERIC FINDING,FINDINGS,LBTEST,Eosinophils,AE REQUIRING ADDITIONAL DATA,,10^9/L,CELL COUNT,,,
ERCS_BLOOD,RBCB,LB,Erythrocytes,Erythrocytes,BLOOD,,,"CDISC code: C51946
CDISC submission value: RBC
CDISC synonym(s): Erythrocytes; Red Blood Cells
CDISC Description: A measurement of the total erythrocytes in a biological specimen.
NCI preferred term: Erythrocyte Count",NUMERIC FINDING,FINDINGS,LBTEST,Erythrocytes,HAEMATOLOGY,,10^12/L,CELL COUNT,,10^12/L,10^6/uL
