basic_std;table;column;label;order;type;length;displayformat;xmldatatype;xmlcodelist;xmlcodelist_multi;core;origin;origintype;originsource;role;term;algorithm;qualifiers;isnotcdiscstd;comment;IGcomment;class_table;class_column;map_var_flag;fixed_mapping;include_in_raw;nn_internal;value_lvl_where_cols;value_lvl_label_col;value_lvl_collect_ct_val;value_lvl_ct_cdlist_id_col;enrich_build_order;enrich_rule;xmlcodelistvalues
Y;BE;BECAT;Category for Biospecimen Event;160;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;Used to define a category of topic-variable values. Example: COLLECTION, PREPARATION, TRANSPORT;EVENTS;__CAT;Y;;Y;;;;;;;;
Y;BE;BESCAT;Subcategory for Biospecimen Event;170;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;A further categorization of BECAT values.;EVENTS;__SCAT;Y;;Y;;;;;;;;
Y;BE;BELOC;Anatomical Location of Event;180;C;100;;text;LOC;;Perm;;;;Record Qualifier;(LOC);;UPPERCASE;;;Describes the anatomical location relevant for the event (e.g. BRAIN, LUNG).;EVENTS;__LOC;Y;;Y;;;;;;;;
Y;BE;BEPARTY;Accountable Party;190;C;80;;text;;;Perm;;;;Record Qualifier;*;;UPPERCASE;;;Party accountable for the transferable object (e.g. specimen) as a result of the activity performed in the associated BETERM variable. The party could be an individual (e.g., subject), an organization (e.g., sponsor), or a location that is a proxy for an individual or organization (e.g., site). It is usually a somewhat general term that is further identified in the BEPRTYID variable.;EVENTS;__PARTY;Y;;Y;;;;;;;;
Y;BE;BEPRTYID;Identification of Accountable Party;200;C;40;;text;;;Perm;;;;Record Qualifier;;;UPPERCASE;;;Identification of the specific party accountable for the transferable object (e.g. Specimen) after the action in BETERM is taken. Used in conjunction with BEPARTY.;EVENTS;__PRTYID;Y;;Y;;;;;;;;
;BE;ETCD;Element Code;210;C;8;;text;;;Req;Assigned;Assigned;Sponsor;Record Qualifier;*;;UPPERCASE;;Set based on the SE domain;ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.;NN DEFINED;ETCD;;;;;;;;;100;sdtme_std_etcd_v$$;
;BE;ELEMENT;Description of Element;220;C;40;;text;;;Req;Protocol;Protocol;Sponsor;Record Qualifier;*;;UPPERCASE;;Set based on the SE domain;The name of the Element.;NN DEFINED;ELEMENT;;;;;;;;;100;sdtme_std_etcd_v$$;
Y;BE;VISITNUM;Visit Number;230;N;8;9,3;float;;;Exp;Protocol;Protocol;Sponsor;Timing;;;;;;Clinical encounter number. Numeric version of VISIT, used for sorting.;TIMING;VISITNUM;Y;;Y;;;;;;;;
Y;BE;VISIT;Visit Name;240;C;40;;text;;;Perm;Assigned;Assigned;Sponsor;Timing;;;UPPERCASE;;;Protocol-defined description of clinical encounter.;TIMING;VISIT;;;;;;;;;11;sdtme_std_visit_v$$;
Y;BE;VISITDY;Planned Study Day of Visit;250;N;8;;integer;;;Perm;Assigned;Assigned;Sponsor;Timing;;;;;;Planned study day of VISIT. Should be an integer.;TIMING;VISITDY;;;;;;;;;12;sdtme_std_visitdy_v$$;
;BE;TAETORD;Planned Order of Element within Arm;260;N;8;;integer;;;Perm;Protocol;Protocol;Sponsor;Timing;;;;;;Number that gives the planned order of the Element within the Arm for the element in which the assessment was made;TIMING;TAETORD;;;;;;;;;;;
;BE;EPOCH;Epoch;270;C;40;;text;EPOCH;;Perm;Protocol;Protocol;Sponsor;Timing;(EPOCH);;UPPERCASE;;Set based on the SE domain;Epoch associated with the start date/time of the observation, or the date/time of collection if start date/time is not collected. (See Section 3.2.2).;TIMING;EPOCH;;;;;;;;;90;sdtme_std_epoch_v$$;
Y;BE;BEDTC;Date/Time of Specimen Collection;280;C;64;;datetime;;;Exp;;Collected;;Timing;ISO 8601;;UPPERCASE;;;Date and time of specimen collection.;TIMING;__DTC;Y;;Y;;;;;;;;
Y;BE;BESTDTC;Start Date/Time of Biospecimen Event;290;C;64;;datetime;;;Exp;;Collected;;Timing;ISO 8601;;UPPERCASE;;;Start date/time of the event.;TIMING;__STDTC;Y;;Y;;;;;;;;
Y;BE;BEENDTC;End Date/Time of Biospecimen Event;300;C;64;;datetime;;;Exp;;Collected;;Timing;ISO 8601;;UPPERCASE;;;End date/time of the event.;TIMING;__ENDTC;Y;;Y;;;;;;;;
;BE;BEDY;Study Day of Specimen Collection;310;N;8;;integer;;;Perm;Derived;Derived;Sponsor;Timing;;"If BEDTC GE RFSTDTC then BEDY=BEDTC-RFSTDTC+1; otherwise BEDY=BEDTC-RFSTDTC.";;;;Actual study day of visit/collection/exam expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics.;TIMING;__DY;;;;;;;;;10;sdtme_std_dy_v$$;
Y;BE;BESTDY;Study Day of Start of Biospecimen Event;320;N;8;;integer;;;Perm;Derived;Derived;Sponsor;Timing;;"If BESTDTC GE RFSTDTC then BESTDY=BESTDTC-RFSTDTC+1; otherwise BESTDY=BESTDTC-RFSTDTC.";;;;Actual study day of start of observation expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics.;TIMING;__STDY;;;;;;;;;10;sdtme_std_dy_v$$;
Y;BE;BEENDY;Study Day of End of Biospecimen Event;330;N;8;;integer;;;Perm;Derived;Derived;Sponsor;Timing;;"If BEENDTC GE RFSTDTC then BEENDY=BEENDTC-RFSTDTC+1; otherwise BEENDY=BEENDTC-RFSTDTC.";;;;Actual study day of end of observation expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics.;TIMING;__ENDY;;;;;;;;;10;sdtme_std_dy_v$$;
Y;BE;BEDUR;Duration of Biospecimen Event;340;N;8;;integer;;;Perm;Derived;Derived;Sponsor;Timing;;!!!;;;;Collected duration and unit of a biospecimen event. Used only if collected on the CRF and not derived from start and end date/times. Example: P1DT2H (for 1day, 2 hours).;TIMING;__DUR;Y;;Y;;;;;;;;
;BS;CDMS_SUB_EVT_NUM;CDMS Repeat Sequence Number;10;N;8;;integer;;;Perm;;;;Record Qualifier;;;;;;;NN DEFINED;CDMS_SUB_EVT_NUM;;subevnum;Y;Y;;;;;;;
;BS;SRC_FIND_COLL_UNIT;CDW SRC Finding Collection Unit;20;C;80;;text;;;Perm;;;;Record Qualifier;;;UPPERCASE;;;;NN DEFINED;SRC_FIND_COLL_UNIT;;unitcoll;Y;Y;;;;;;;
;BS;SRC_TOPIC_CD;CDW SRC Topic Code;30;C;200;;text;;;Perm;;;;Topic;;;UPPERCASE;;;;NN DEFINED;SRC_TOPIC_CD;;;Y;Y;;;;;;;
;BS;TOPIC_CD;CDW Topic Code;40;C;80;;text;;;Perm;;;;Topic;;;;;;;NN DEFINED;TOPIC_CD;;topiccd;Y;Y;;;;;;;
Y;BS;STUDYID;Study Identifier;50;C;40;;text;;;Req;Protocol;Protocol;Sponsor;Identifier;;;UPPERCASE;;;Unique identifier for a study.;IDENTIFIERS;STUDYID;*;;Y;;;;;;;;
Y;BS;DOMAIN;Domain Abbreviation;60;C;8;;text;;;Req;Assigned;Assigned;Sponsor;Identifier;BS;;UPPERCASE;;;Two-character abbreviation for the domain.;IDENTIFIERS;DOMAIN;*;;Y;;;;;;;;
Y;BS;USUBJID;Unique Subject Identifier;70;C;60;;text;;;Req;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.;IDENTIFIERS;USUBJID;*;;Y;;;;;;;;
Y;BS;SPDEVID;Sponsor Device Identifier;80;C;80;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Sponsor-defined identifier for a device.;IDENTIFIERS;SPDEVID;Y;;Y;;;;;;;;
Y;BS;BSSEQ;Sequence Number;90;N;8;;integer;;;Req;Assigned;Assigned;Sponsor;Identifier;;;;;;Sequence number given to ensure uniqueness within a dataset for a subject. May be any valid number (including decimals) and does not have to start at 1.;IDENTIFIERS;__SEQ;*;;Y;;;;;;;;
Y;BS;BSGRPID;Group ID;100;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Optional group identifier, used to link together a block of related records within a subject in a domain.;IDENTIFIERS;__GRPID;Y;;Y;;;;;;;;
Y;BS;BSREFID;Reference ID;110;C;40;;text;;;Exp;;Collected;;Identifier;;;UPPERCASE;;;Internal or external identifier such as lab specimen ID.;IDENTIFIERS;__REFID;Y;;Y;;;;;;;;
Y;BS;BSSPID;Sponsor-Defined Identifier;120;C;40;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Sponsor-defined identifier.;IDENTIFIERS;__SPID;*;;Y;;;;;;;;
;BS;LBLNKID;Link ID;130;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Identifier used to link related records across domains. This may be a one-to- one or a one-to-many relationship. For Example: A single tumor may have multiple measurements/assessments performed at each study visit.;IDENTIFIERS;__LNKID;Y;;Y;;;;;;;;
;BS;LBLNKGRP;Link Group ID;140;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Identifier used to link related records across domains. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record.;IDENTIFIERS;__LNKGRP;Y;;Y;;;;;;;;
Y;BS;BSTESTCD;Biospecimen Test Short Name;150;C;40;;text;BSTESTCD;;Req;;Assigned;Sponsor;Topic;(BSTESTCD);;UPPERCASE;;;Short character value for BSTEST used as a column name when converting a dataset from a vertical format to a horizontal format. The short value can be up to 8 characters. Examples: VOLUME, RIN;FINDINGS;__TESTCD;Y;;Y;;;;;;;;
Y;BS;BSTEST;Biospecimen Test Name;160;C;8;;text;BSTEST;;Req;;Assigned;Sponsor;Synonym Qualifier;(BSTEST);;UPPERCASE;;;Long name for BSTESTCD. Examples: Volume, RNA Integrity Number;FINDINGS;__TEST;Y;;Y;;;;;;;;
Y;BS;BSCAT;Category for Biospecimen Test;170;C;60;;text;;;Exp;;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;Used to define a category of topic-variable values. Example: MEASUREMENT, QUALITY;FINDINGS;__CAT;Y;;Y;;;;;;;;
Y;BS;BSSCAT;Subcategory for Biospecimen Test;180;C;60;;text;;;Perm;;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;Used to define a further categorization of BSCAT values.;FINDINGS;__SCAT;Y;;Y;;;;;;;;
Y;BS;BSORRES;Result or Finding in Original Units;190;C;200;;text;;;Exp;;;;Result Qualifier;;;UPPERCASE;;;Result of the measurement or finding as originally received or collected.;FINDINGS;__ORRES;Y;;Y;;;;;;;;
Y;BS;BSORRESU;Original Units;200;C;40;;text;UNIT;;Exp;;;;Variable Qualifier;(UNIT);;MIXEDCASE;;;Unit for BSORRES. Examples: mg, mL;FINDINGS;__ORRESU;;unitcoll;Y;;;;;;;;
Y;BS;BSSTRESC;Character Result/Finding in Std Format;210;C;200;;text;;;Exp;Derived;Derived;Sponsor;Result Qualifier;;!!!;UPPERCASE;;;"Contains the result value for all findings, copied or derived from BSORRES in a standard format or standard units. BSSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in BSSTRESN.";FINDINGS;__STRESC;Y;;Y;;;;;;70;sdtme_std_res_v$$;
Y;BS;BSSTRESN;Numeric Result/Finding in Standard Units;220;N;8;8,3;float;;;Exp;Derived;Derived;Sponsor;Result Qualifier;;!!!;;;;"Used for continuous or numeric results or findings in standard format; copied in numeric format from BSSTRESC. BSSTRESN should store all numeric test results or findings.";FINDINGS;__STRESN;;;;;;;;;70;sdtme_std_res_v$$;
Y;BS;BSSTRESU;Standard Units;230;C;40;;text;UNIT;;Exp;;;;Variable Qualifier;(UNIT);;MIXEDCASE;;;Standardized unit used for BSSTRESC and BSSTRESN.;FINDINGS;__STRESU;;;;;;;;;70;sdtme_std_res_v$$;
Y;BS;BSSTAT;Completion Status;240;C;40;;text;ND;;Perm;;;;Record Qualifier;(ND);;UPPERCASE;;;Used to indicate that a test was not done, or was attempted but did not generate a result. Should be null or have a value of NOT DONE.;FINDINGS;__STAT;Y;;Y;;;;;;;;
Y;BS;BSREASND;Reason Test Not Done;250;C;200;;text;;;Perm;;;;Record Qualifier;;;UPPERCASE;;;Reason not done. Used in conjunction with BSSTAT when value is NOT DONE.;FINDINGS;__REASND;Y;;Y;;;;;;;;
Y;BS;BSNAM;Vendor Name;260;C;40;;text;;;Perm;;;;Record Qualifier;;;UPPERCASE;;;Name or identifier of the vendor (e.g., laboratory) that provided the test results.;FINDINGS;__NAM;Y;;Y;;;;;;;;
Y;BS;BSSPEC;Specimen Type;270;C;80;;text;;;Perm;;;;Record Qualifier;*;;UPPERCASE;;;Defines the type of specimen used for a measurement. Examples: SERUM, PLASMA, URINE, SOFT TISSUE.;FINDINGS;__SPEC;Y;;Y;;;;;;;;
Y;BS;BSANTREG;Anatomical Region of Specimen;280;C;40;;text;;;Perm;;;;Variable Qualifier;*;;UPPERCASE;;;Defines the specific anatomical or biological region of a tissue, organ specimen or the region from which the specimen is obtained, as defined in the protocol, such as a section or part of what is described in the BSSPEC variable. Examples: CORTEX, MEDULLA, MUCOSA.;FINDINGS;__ANTREG;;;;;;;;;;;
Y;BS;BSSPCCND;Specimen Condition;290;C;40;;text;SPECCOND;;Perm;;;;Record Qualifier;(SPECCOND);;UPPERCASE;;;Defines the condition of the specimen. Examples: HEMOLYZED, ICTERIC, LIPEMIC.;FINDINGS;__SPCCND;Y;;Y;;;;;;;;
Y;BS;BSMETHOD;Method of Test or Examination;300;C;80;;text;METHOD;;Perm;;;;Record Qualifier;(METHOD);;UPPERCASE;;;Method of the test or examination. Examples: SPECTROPHOTOMETRY, ELECTROPHORESIS.;FINDINGS;__METHOD;Y;;Y;;;;;;;;
;BS;BSANMETH;Analysis Method;310;C;80;;text;;;Perm;;;;Record Qualifier;*;;UPPERCASE;;;Analysis method applied to obtain a summarized result. Analysis method describes the method of secondary processing applied to a complex observation result (e.g. an image or a genetic sequence).;FINDINGS;__ANMETH;;;;;;;;;;;
;BS;BSLOBXFL;Last Observation Before Exposure Flag;320;C;1;;text;NY;;Exp;;;;Record Qualifier;(NY);;UPPERCASE;;;"Operationally-derived indicator used to identify the last non-missing value prior to RFXSTDTC. The value should be ""Y"" or null.";FINDINGS;__LOBXFL;;;;;;;;;;;Y
Y;BS;BSBLFL;Baseline Flag;330;C;2;;text;NY;;Perm;Derived;Derived;Sponsor;Record Qualifier;(NY);Baseline flag set to Y when the assessment is collected at the visit marked as baseline in the trial flowchart;UPPERCASE;;;Indicator used to identify a baseline value.;FINDINGS;__BLFL;;;;;;;;;20;sdtme_std_blfl_v$$;Y
;BS;BSEVAL;Evaluator;340;C;40;;text;EVAL;;Perm;;;;Record Qualifier;(EVAL);;UPPERCASE;;;Role of the person who provided the evaluation. Used only for results that are subjective (e.g., assigned by a person or a group). Examples: ADJUDICATION COMMITTEE, INDEPENDENT ASSESSOR, RADIOLOGIST.;FINDINGS;__EVAL;Y;;Y;;;;;;;;
;BS;BSEVALID;Evaluator Identifier;350;C;40;;text;MEDEVAL;;Perm;;;;Variable Qualifier;(MEDEVAL);;UPPERCASE;;;Used to distinguish multiple evaluators with the same role recorded in --EVAL. Examples: RADIOLOGIST1 or RADIOLOGIST2;FINDINGS;__EVALID;Y;;Y;;;;;;;;
;BS;BSREPNUM;Repetition Number;360;N;8;;integer;;;Perm;;;;Record Qualifier;;;;;;The incidence number of a test that is repeated within a given timeframe for the same test. The level of granularity can vary, e.g., within a time point or within a visit. For example, multiple measurements of blood pressure or multiple analyses of a sample.;FINDINGS;__REPNUM;Y;;Y;;;;;;;;
;BS;ETCD;Element Code;370;C;8;;text;;;Req;Assigned;Assigned;Sponsor;Record Qualifier;*;;UPPERCASE;;Set based on the SE domain;ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.;NN DEFINED;ETCD;;;;;;;;;100;sdtme_std_etcd_v$$;
;BS;ELEMENT;Description of Element;380;C;40;;text;;;Req;Protocol;Protocol;Sponsor;Record Qualifier;*;;UPPERCASE;;Set based on the SE domain;The name of the Element.;NN DEFINED;ELEMENT;;;;;;;;;100;sdtme_std_etcd_v$$;
Y;BS;VISITNUM;Visit Number;390;N;8;9,3;float;;;Exp;Protocol;Protocol;Sponsor;Timing;;;;;;Clinical encounter number. Numeric version of VISIT, used for sorting.;TIMING;VISITNUM;Y;;Y;;;;;;;;
Y;BS;VISIT;Visit Name;400;C;40;;text;;;Perm;;;;Timing;;;UPPERCASE;;;Protocol-defined description of clinical encounter.;TIMING;VISIT;;;;;;;;;30;sdtme_std_visit_v$$;
Y;BS;VISITDY;Planned Study Day of Visit;410;N;8;;integer;;;Perm;Assigned;Assigned;Sponsor;Timing;;;;;;Planned study day of VISIT. Should be an integer.;TIMING;VISITDY;;;;;;;;;80;sdtme_std_visitdy_v$$;
;BS;TAETORD;Planned Order of Element within Arm;420;N;8;;integer;;;Perm;Protocol;Protocol;Sponsor;Timing;;;;;;Number that gives the planned order of the Element within the Arm for the element in which the assessment was made;TIMING;TAETORD;;;;;;;;;;;
;BS;EPOCH;Epoch;430;C;40;;text;EPOCH;;Perm;Protocol;Protocol;Sponsor;Timing;(EPOCH);;UPPERCASE;;Set based on the SE domain;Epoch associated with the start date/time of the observation, or the date/time of collection if start date/time is not collected. (See Section 3.2.2).;TIMING;EPOCH;;;;;;;;;90;sdtme_std_epoch_v$$;
Y;BS;BSDTC;Date/Time of Specimen Collection;440;C;64;;datetime;;;Exp;;Collected;;Timing;ISO 8601;;UPPERCASE;;;Date and time of specimen collection.;TIMING;__DTC;Y;;Y;;;;;;;;
;BS;BSENDTC;End Date/Time of Observation;450;C;64;;datetime;;;Perm;;Collected;;Timing;ISO 8601;;UPPERCASE DATETIME;;;End date/time of the observation represented in IS0 8601 character format.;TIMING;__ENDTC;Y;;Y;;;;;;;;
Y;BS;BSDY;Study Day of Specimen Collection;460;N;8;;integer;;;Perm;Derived;Derived;Sponsor;Timing;;"If BSDTC GE RFSTDTC then BSDY=BSDTC-RFSTDTC+1; otherwise BSDY=BSDTC-RFSTDTC.";;;;Study day of specimen collection relative to the sponsor-defined RFSTDTC.;TIMING;__DY;;;;;;;;;10;sdtme_std_dy_v$$;
;BS;BSENDY;Study Day of End of Observation;470;N;8;;integer;;;Perm;Derived;Derived;Sponsor;Timing;;"If BSENDTC GE RFSTDTC then BSENDY=BSENDTC-RFSTDTC+1; otherwise BSENDY=BSENDTC-RFSTDTC.";;;;Actual study day of end of observation expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics.;TIMING;__ENDY;;;;;;;;;10;sdtme_std_dy_v$$;
Y;BS;BSTPT;Planned Time Point Name;480;C;80;;text;;;Perm;;;;Timing;;;UPPERCASE;;;Text description of time when a measurement or observation should be taken as defined in the protocol. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See BSTPTNUM and BSTPTREF.;TIMING;__TPT;Y;;Y;;;;;;;;
Y;BS;BSTPTNUM;Planned Time Point Number;490;N;8;8,1;float;;;Perm;;;;Timing;;;;;;Numerical version of BSTPT used in sorting.;TIMING;__TPTNUM;Y;;Y;;;;;;;;
Y;BS;BSELTM;Planned Elapsed Time from Time Point Ref;500;C;64;;text;;;Perm;;;;Timing;ISO 8601;;UPPERCASE;;;Elapsed time relative to a planned fixed reference (BSTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable, but an interval, represented as ISO duration.;TIMING;__ELTM;Y;;Y;;;;;;;;
Y;BS;BSTPTREF;Time Point Reference;510;C;40;;text;;;Perm;;;;Timing;;;UPPERCASE;;;Name of the fixed reference point referred to by BSELTM, BSTPTNUM, and BSTPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.;TIMING;__TPTREF;Y;;Y;;;;;;;;
Y;BS;BSRFTDTC;Date/Time of Reference Time Point;520;C;64;;datetime;;;Perm;;;;Timing;ISO 8601;;UPPERCASE;;;Date/time for a fixed reference time point defined by PFTPTREF.;TIMING;__RFTDTC;Y;;Y;;;;;;;;
;CE;CDMS_SUB_EVT_NUM;CDMS Repeat Sequence Number;10;N;8;;integer;;;Perm;;;;Record Qualifier;;;;;;;NN DEFINED;CDMS_SUB_EVT_NUM;;subevnum;Y;Y;;;;;;;
;CE;TOPIC_CD;CDW Topic Code;20;C;80;;text;;;Perm;;;;Topic;;;;;;;NN DEFINED;TOPIC_CD;;topiccd;Y;Y;;;;;;;
Y;CE;STUDYID;Study Identifier;30;C;40;;text;;;Req;Protocol;Protocol;Sponsor;Identifier;;;UPPERCASE;;;Unique identifier for a study.;IDENTIFIERS;STUDYID;*;;Y;;;;;;;;
Y;CE;DOMAIN;Domain Abbreviation;40;C;8;;text;;;Req;Assigned;Assigned;Sponsor;Identifier;CE;;UPPERCASE;;;Two-character abbreviation for the domain.;IDENTIFIERS;DOMAIN;*;;Y;;;;;;;;
Y;CE;USUBJID;Unique Subject Identifier;50;C;60;;text;;;Req;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;Concatenation of STUDYID and DM.SUBJID;Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.;IDENTIFIERS;USUBJID;*;;Y;;;;;;;;
;CE;SPDEVID;Sponsor Device Identifier;60;C;80;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Sponsor-defined identifier for a device;IDENTIFIERS;SPDEVID;Y;;Y;;;;;;;;
Y;CE;CESEQ;Sequence Number;70;N;8;;integer;;;Req;Assigned;Assigned;Sponsor;Identifier;;Sequential number identifying records within each USUBJID;;;;Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.;IDENTIFIERS;__SEQ;*;;Y;;;;;;;;
Y;CE;CEGRPID;Group ID;80;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Used to tie together a block of related records for a subject within a domain.;IDENTIFIERS;__GRPID;Y;;Y;;;;;;;;
Y;CE;CEREFID;Reference ID;90;C;40;;text;;;Perm;;Collected;;Identifier;;;UPPERCASE;;;Internal or external identifier.;IDENTIFIERS;__REFID;Y;;Y;;;;;;;;
Y;CE;CESPID;Sponsor-Defined Identifier;100;C;40;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF page.;IDENTIFIERS;__SPID;*;;Y;;;;;;;;
;CE;CELNKID;Link ID;110;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Identifier used to link related records across domains. This may be a one-to- one or a one-to-many relationship. For Example: A single tumor may have multiple measurements/assessments performed at each study visit.;IDENTIFIERS;__LNKID;Y;;Y;;;;;;;;
;CE;CELNKGRP;Link Group ID;120;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Identifier;;;UPPERCASE;;;Identifier used to link related records across domains. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record.;IDENTIFIERS;__LNKGRP;Y;;Y;;;;;;;;
Y;CE;CETERM;Reported Term for the Clinical Event;130;C;200;;text;;;Req;;Collected;;Topic;;;UPPERCASE;;;Term for the medical condition or event. Most likely pre-printed on CRF.;EVENTS;__TERM;Y;;Y;;;;;;;;
Y;CE;CEDECOD;Dictionary-Derived Term;140;C;200;;text;;;Perm;Assigned;Assigned;Sponsor;Synonym Qualifier;*;;MIXEDCASE;;;Controlled terminology for the name of the clinical event. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes;EVENTS;__DECOD;Y;;Y;;;;;;;;
Y;CE;CECAT;Category for the Clinical Event;150;C;60;;text;CECAT;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;Used to define a category of related records.;EVENTS;__CAT;Y;;Y;;;;;;;;
Y;CE;CESCAT;Subcategory for the Clinical Event;160;C;60;;text;;;Perm;Assigned;Assigned;Sponsor;Grouping Qualifier;*;;UPPERCASE;;;A further categorization of the condition or event.;EVENTS;__SCAT;Y;;Y;;;;;;;;
Y;CE;CEPRESP;Clinical Event Pre-specified;170;C;2;;text;NY;;Perm;Assigned;Assigned;Sponsor;Variable Qualifier;(NY);;UPPERCASE;;;Used to indicate whether the Event in CETERM was pre-specified. Value is Y for pre-specified events, null for spontaneously reported events.;EVENTS;__PRESP;Y;;Y;;;;;;;;Y
Y;CE;CEOCCUR;Clinical Event Occurrence;180;C;2;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;Used when the occurrence of specific events is solicited to indicate whether or not a clinical event occurred. Values are null for spontaneously reported events.;EVENTS;__OCCUR;Y;;Y;;;;;;;;Y|N
Y;CE;CESTAT;Completion Status;190;C;40;;text;ND;;Perm;Derived;Derived;Sponsor;Record Qualifier;(ND);Set to NOT DONE if 'ND', 'NA', 'NK' ,' ' have been reported on CRF;UPPERCASE;;;The status indicates that a question from a pre-specified list was not answered.;EVENTS;__STAT;Y;;Y;;;;;;;;
Y;CE;CEREASND;Reason Clinical Event Not Collected;200;C;200;;text;;;Perm;;;;Record Qualifier;;;UPPERCASE;;;Describes the reason clinical event data was not collected. Used in conjunction with CESTAT when value is NOT DONE.;EVENTS;__REASND;Y;;Y;;;;;;;;
Y;CE;CEBODSYS;Body System or Organ Class;210;C;200;;text;;;Perm;Assigned;Assigned;Sponsor;Record Qualifier;MedDRA;;MIXEDCASE;;;Dictionary-derived. Body system or organ class that is involved in an event or measurement from a standard hierarchy (e.g., MedDRA). When using a multi- axial dictionary such as MedDRA, this should contain the SOC used for the sponsor's analyses and summary tables which may not necessarily be the primary SOC.;EVENTS;__BODSYS;Y;;Y;;;;;;;;
;CE;CELOC;Location of Event;220;C;100;;text;LOC;;Perm;;;;Record Qualifier;(LOC);;UPPERCASE;;;;EVENTS;__LOC;Y;;Y;;;;;;;;
;CE;CELAT;Laterality;230;C;40;;text;LAT;;Perm;;;;Variable Qualifier;(LAT);;UPPERCASE;;;Qualifier for anatomical location further detailing laterality. Examples: RIGHT, LEFT, BILATERAL;EVENTS;__LAT;Y;;Y;;;;;;;;
Y;CE;CESEV;Severity/Intensity;240;C;80;;text;;;Perm;;;;Record Qualifier;*;;UPPERCASE;;;The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE;EVENTS;__SEV;Y;;Y;;;;;;;;
;CE;CEOUT;Outcome of Event;250;C;40;;text;OUT;;Perm;;;;Record Qualifier;(OUT);;UPPERCASE;;;Description of the outcome of an event.;EVENTS;__OUT;Y;;Y;;;;;;;;
;CE;CESCAN;Involves Cancer;260;C;2;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;Was the serious event associated with the development of cancer?;EVENTS;__SCAN;;;;;;;;;;;
;CE;CESCONG;Congenital Anomaly or Birth Defect;270;C;2;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;Was the serious event associated with congenital anomaly or birth defect?;EVENTS;__SCONG;Y;;Y;;;;;;;;
;CE;CESDISAB;Persist or Signif Disability/Incapacity;280;C;2;;text;NY;;Perm;;;;Record Qualifier;(NY);;UPPERCASE;;;Did the serious event result in persistent or significant disability/incapacity?;EVENTS;__SDISAB;Y;;Y;;;;;;;;
;CE;CESDTH;Results in Death;290;C;2;;text;NY;;Perm;Derived;Derived;Sponsor;Record Qualifier;(NY);If CE record exists with CEOUT=FATAL then CESDTH=Y;UPPERCASE;;;Did the serious event result in death?;EVENTS;__SDTH;Y;;Y;;;;;;;;
